t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.916854, actvprof=,0.007500, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.138617, id=,B08, PRDE,actvstrat=,-0.524466, actvprof=,2.101754, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.634124, id=,S00, PRDE,actvstrat=,0.980864, actvprof=,8.201453, id=,S02, PRDE,actvstrat=,-0.669706, actvprof=,0.678362, id=,S04, PRDE,actvstrat=,-0.840938, actvprof=,0.014445, id=,S07, PRDE,actvstrat=,0.122689, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.804066, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.634124, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.201453, best_S_strat=,0.980864, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.916854, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.126807, id=,B08, PRDE,actvstrat=,-0.524466, actvprof=,2.091279, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.634800, id=,S00, PRDE,actvstrat=,0.980864, actvprof=,8.180530, id=,S02, PRDE,actvstrat=,-0.669706, actvprof=,0.640287, id=,S04, PRDE,actvstrat=,-0.840938, actvprof=,0.010417, id=,S07, PRDE,actvstrat=,0.122689, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.804066, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.634800, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.180530, best_S_strat=,0.980864, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.443480, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.916854, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,0.855033, actvprof=,0.093895, id=,B08, PRDE,actvstrat=,0.842331, actvprof=,4.320022, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.198139, id=,S00, PRDE,actvstrat=,-0.972839, actvprof=,0.527814, id=,S02, PRDE,actvstrat=,0.875477, actvprof=,4.780332, id=,S04, PRDE,actvstrat=,-0.852189, actvprof=,0.004723, id=,S07, PRDE,actvstrat=,-0.624691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.368502, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.198139, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.780332, best_S_strat=,0.875477, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.443480, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.916854, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.855033, actvprof=,0.102643, id=,B08, PRDE,actvstrat=,0.842331, actvprof=,4.307124, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.340361, id=,S00, PRDE,actvstrat=,-0.972839, actvprof=,0.474742, id=,S02, PRDE,actvstrat=,0.875477, actvprof=,4.761448, id=,S04, PRDE,actvstrat=,-0.852189, actvprof=,0.003472, id=,S07, PRDE,actvstrat=,-0.624691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.368502, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.340361, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.761448, best_S_strat=,0.875477, 
t=,97200, id=,B00, PRDE,actvstrat=,0.904513, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.419226, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.119454, id=,B08, PRDE,actvstrat=,-0.079528, actvprof=,2.817457, id=,B09, PRDE,actvstrat=,-0.967138, actvprof=,1.277051, id=,S00, PRDE,actvstrat=,-0.483422, actvprof=,2.086563, id=,S02, PRDE,actvstrat=,0.309100, actvprof=,2.374642, id=,S04, PRDE,actvstrat=,-0.300914, actvprof=,0.032781, id=,S07, PRDE,actvstrat=,0.306038, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.817457, best_B_strat=,-0.079528, best_S_id=,S02, best_S_prof=,2.374642, best_S_strat=,0.309100, 
t=,100800, id=,B00, PRDE,actvstrat=,0.904513, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.419226, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.146812, id=,B08, PRDE,actvstrat=,-0.079528, actvprof=,2.835813, id=,B09, PRDE,actvstrat=,-0.967138, actvprof=,1.374780, id=,S00, PRDE,actvstrat=,-0.483422, actvprof=,2.128700, id=,S02, PRDE,actvstrat=,0.309100, actvprof=,2.353015, id=,S04, PRDE,actvstrat=,-0.300914, actvprof=,0.038335, id=,S07, PRDE,actvstrat=,0.306038, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.835813, best_B_strat=,-0.079528, best_S_id=,S02, best_S_prof=,2.353015, best_S_strat=,0.309100, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.881679, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.403875, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.865829, actvprof=,0.432814, id=,B08, PRDE,actvstrat=,0.003345, actvprof=,3.351946, id=,B09, PRDE,actvstrat=,-0.516652, actvprof=,4.199794, id=,S00, PRDE,actvstrat=,0.352516, actvprof=,4.631219, id=,S02, PRDE,actvstrat=,0.194242, actvprof=,1.642081, id=,S04, PRDE,actvstrat=,0.728005, actvprof=,0.385588, id=,S07, PRDE,actvstrat=,-0.958471, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.558605, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.199794, best_B_strat=,-0.516652, best_S_id=,S00, best_S_prof=,4.631219, best_S_strat=,0.352516, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.881679, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.403875, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,0.865829, actvprof=,0.445019, id=,B08, PRDE,actvstrat=,0.003345, actvprof=,3.332500, id=,B09, PRDE,actvstrat=,-0.516652, actvprof=,4.111005, id=,S00, PRDE,actvstrat=,0.352516, actvprof=,4.565607, id=,S02, PRDE,actvstrat=,0.194242, actvprof=,1.682292, id=,S04, PRDE,actvstrat=,0.728005, actvprof=,0.401683, id=,S07, PRDE,actvstrat=,-0.958471, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.558605, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.111005, best_B_strat=,-0.516652, best_S_id=,S00, best_S_prof=,4.565607, best_S_strat=,0.352516, 
t=,111600, id=,B00, PRDE,actvstrat=,-0.763628, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.549426, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.367888, actvprof=,0.263633, id=,B08, PRDE,actvstrat=,0.532007, actvprof=,4.738450, id=,B09, PRDE,actvstrat=,0.517925, actvprof=,6.299414, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.900575, id=,S02, PRDE,actvstrat=,-0.120792, actvprof=,0.686446, id=,S04, PRDE,actvstrat=,0.778861, actvprof=,0.441426, id=,S07, PRDE,actvstrat=,-0.227051, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.299414, best_B_strat=,0.517925, best_S_id=,S00, best_S_prof=,6.900575, best_S_strat=,1.000000, 
t=,115200, id=,B00, PRDE,actvstrat=,-0.763628, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.549426, actvprof=,0.007639, id=,B05, PRDE,actvstrat=,0.367888, actvprof=,0.259733, id=,B08, PRDE,actvstrat=,0.532007, actvprof=,4.696585, id=,B09, PRDE,actvstrat=,0.517925, actvprof=,6.344014, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.883759, id=,S02, PRDE,actvstrat=,-0.120792, actvprof=,0.690584, id=,S04, PRDE,actvstrat=,0.778861, actvprof=,0.409462, id=,S07, PRDE,actvstrat=,-0.227051, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.344014, best_B_strat=,0.517925, best_S_id=,S00, best_S_prof=,6.883759, best_S_strat=,1.000000, 
