t=,79200, id=,B00, PRDE,actvstrat=,0.531812, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.646696, actvprof=,0.009862, id=,B06, PRDE,actvstrat=,0.075615, actvprof=,2.131800, id=,B07, PRDE,actvstrat=,-0.577016, actvprof=,2.410012, id=,B09, PRDE,actvstrat=,0.858836, actvprof=,8.359272, id=,S01, PRDE,actvstrat=,-0.840467, actvprof=,0.321687, id=,S06, PRDE,actvstrat=,-0.554745, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.160049, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.193256, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.318431, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.359272, best_B_strat=,0.858836, best_S_id=,S01, best_S_prof=,0.321687, best_S_strat=,-0.840467, 
t=,82800, id=,B00, PRDE,actvstrat=,0.834031, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.047495, actvprof=,0.070010, id=,B06, PRDE,actvstrat=,-0.086398, actvprof=,1.582720, id=,B07, PRDE,actvstrat=,0.739997, actvprof=,4.750938, id=,B09, PRDE,actvstrat=,0.443445, actvprof=,7.766356, id=,S01, PRDE,actvstrat=,0.192662, actvprof=,2.019169, id=,S06, PRDE,actvstrat=,0.988407, actvprof=,0.013335, id=,S07, PRDE,actvstrat=,0.361124, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-0.120775, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.691703, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.766356, best_B_strat=,0.443445, best_S_id=,S01, best_S_prof=,2.019169, best_S_strat=,0.192662, 
t=,86400, id=,B00, PRDE,actvstrat=,0.834031, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.047495, actvprof=,0.061532, id=,B06, PRDE,actvstrat=,-0.086398, actvprof=,1.679133, id=,B07, PRDE,actvstrat=,0.739997, actvprof=,4.782799, id=,B09, PRDE,actvstrat=,0.443445, actvprof=,7.778125, id=,S01, PRDE,actvstrat=,0.192662, actvprof=,2.072491, id=,S06, PRDE,actvstrat=,0.988407, actvprof=,0.009306, id=,S07, PRDE,actvstrat=,0.361124, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-0.120775, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.691703, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.778125, best_B_strat=,0.443445, best_S_id=,S01, best_S_prof=,2.072491, best_S_strat=,0.192662, 
t=,90000, id=,B00, PRDE,actvstrat=,0.838384, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.206280, actvprof=,0.100571, id=,B06, PRDE,actvstrat=,0.089279, actvprof=,2.040312, id=,B07, PRDE,actvstrat=,0.802018, actvprof=,4.898804, id=,B09, PRDE,actvstrat=,0.443445, actvprof=,7.665616, id=,S01, PRDE,actvstrat=,0.642790, actvprof=,3.145758, id=,S06, PRDE,actvstrat=,-0.292648, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.986353, actvprof=,0.007501, id=,S08, PRDE,actvstrat=,-0.120775, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.695685, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.665616, best_B_strat=,0.443445, best_S_id=,S01, best_S_prof=,3.145758, best_S_strat=,0.642790, 
t=,93600, id=,B00, PRDE,actvstrat=,0.838384, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.206280, actvprof=,0.089314, id=,B06, PRDE,actvstrat=,0.089279, actvprof=,2.027683, id=,B07, PRDE,actvstrat=,0.802018, actvprof=,4.785293, id=,B09, PRDE,actvstrat=,0.443445, actvprof=,7.705279, id=,S01, PRDE,actvstrat=,0.642790, actvprof=,3.200567, id=,S06, PRDE,actvstrat=,-0.292648, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,0.986353, actvprof=,0.006251, id=,S08, PRDE,actvstrat=,-0.120775, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.695685, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.705279, best_B_strat=,0.443445, best_S_id=,S01, best_S_prof=,3.200567, best_S_strat=,0.642790, 
t=,97200, id=,B00, PRDE,actvstrat=,0.685930, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.047495, actvprof=,0.075291, id=,B06, PRDE,actvstrat=,0.308750, actvprof=,2.426549, id=,B07, PRDE,actvstrat=,-0.832517, actvprof=,1.549169, id=,B09, PRDE,actvstrat=,0.863947, actvprof=,8.455971, id=,S01, PRDE,actvstrat=,-0.481948, actvprof=,0.667065, id=,S06, PRDE,actvstrat=,0.595212, actvprof=,0.021115, id=,S07, PRDE,actvstrat=,0.221606, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.849145, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.691703, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.455971, best_B_strat=,0.863947, best_S_id=,S01, best_S_prof=,0.667065, best_S_strat=,-0.481948, 
t=,100800, id=,B00, PRDE,actvstrat=,0.685930, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.047495, actvprof=,0.078757, id=,B06, PRDE,actvstrat=,0.308750, actvprof=,2.522450, id=,B07, PRDE,actvstrat=,-0.832517, actvprof=,1.529999, id=,B09, PRDE,actvstrat=,0.863947, actvprof=,8.559384, id=,S01, PRDE,actvstrat=,-0.481948, actvprof=,0.792710, id=,S06, PRDE,actvstrat=,0.595212, actvprof=,0.017085, id=,S07, PRDE,actvstrat=,0.221606, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-0.849145, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.691703, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.559384, best_B_strat=,0.863947, best_S_id=,S01, best_S_prof=,0.792710, best_S_strat=,-0.481948, 
t=,104400, id=,B00, PRDE,actvstrat=,0.685930, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.047495, actvprof=,0.061956, id=,B06, PRDE,actvstrat=,0.936197, actvprof=,3.470627, id=,B07, PRDE,actvstrat=,-0.902122, actvprof=,1.027963, id=,B09, PRDE,actvstrat=,-0.822721, actvprof=,4.876158, id=,S01, PRDE,actvstrat=,-0.643602, actvprof=,0.613166, id=,S06, PRDE,actvstrat=,-0.267911, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.995784, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.193256, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.749671, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.876158, best_B_strat=,-0.822721, best_S_id=,S01, best_S_prof=,0.613166, best_S_strat=,-0.643602, 
t=,108000, id=,B00, PRDE,actvstrat=,0.685930, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.047495, actvprof=,0.080563, id=,B06, PRDE,actvstrat=,0.936197, actvprof=,3.537705, id=,B07, PRDE,actvstrat=,-0.902122, actvprof=,0.984123, id=,B09, PRDE,actvstrat=,-0.822721, actvprof=,4.953259, id=,S01, PRDE,actvstrat=,-0.643602, actvprof=,0.646452, id=,S06, PRDE,actvstrat=,-0.267911, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.995784, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,-0.193256, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.749671, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.953259, best_B_strat=,-0.822721, best_S_id=,S01, best_S_prof=,0.646452, best_S_strat=,-0.643602, 
t=,111600, id=,B00, PRDE,actvstrat=,0.190477, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.047495, actvprof=,0.085850, id=,B06, PRDE,actvstrat=,0.308750, actvprof=,2.593560, id=,B07, PRDE,actvstrat=,-0.666583, actvprof=,2.392965, id=,B09, PRDE,actvstrat=,0.863947, actvprof=,8.615286, id=,S01, PRDE,actvstrat=,0.089100, actvprof=,1.680049, id=,S06, PRDE,actvstrat=,0.595212, actvprof=,0.012225, id=,S07, PRDE,actvstrat=,0.361124, actvprof=,0.003612, id=,S08, PRDE,actvstrat=,-0.849145, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.691703, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.615286, best_B_strat=,0.863947, best_S_id=,S01, best_S_prof=,1.680049, best_S_strat=,0.089100, 
