t=,75600, id=,B00, PRDE,actvstrat=,0.451346, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.715036, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.775053, actvprof=,0.071394, id=,B06, PRDE,actvstrat=,0.571141, actvprof=,2.772693, id=,S01, PRDE,actvstrat=,0.471405, actvprof=,2.798250, id=,S03, PRDE,actvstrat=,0.544793, actvprof=,0.453643, id=,S06, PRDE,actvstrat=,0.437378, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.033743, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.772693, best_B_strat=,0.571141, best_S_id=,S01, best_S_prof=,2.798250, best_S_strat=,0.471405, 
t=,79200, id=,B00, PRDE,actvstrat=,0.451346, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.715036, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.775053, actvprof=,0.095281, id=,B06, PRDE,actvstrat=,0.571141, actvprof=,2.714955, id=,S01, PRDE,actvstrat=,0.471405, actvprof=,2.810236, id=,S03, PRDE,actvstrat=,0.544793, actvprof=,0.450571, id=,S06, PRDE,actvstrat=,0.437378, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.033743, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.714955, best_B_strat=,0.571141, best_S_id=,S01, best_S_prof=,2.810236, best_S_strat=,0.471405, 
t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.565977, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.153362, actvprof=,0.583374, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.516703, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.269116, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.370303, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.516703, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.269116, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.565977, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.153362, actvprof=,0.533213, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.444599, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.381784, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.419876, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.444599, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.381784, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.617979, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.026044, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.126892, actvprof=,0.023891, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.147163, id=,S01, PRDE,actvstrat=,0.300572, actvprof=,2.552122, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.450656, id=,S06, PRDE,actvstrat=,0.796119, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.968405, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.922945, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.147163, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.552122, best_S_strat=,0.300572, 
t=,93600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.617979, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.026044, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.126892, actvprof=,0.020695, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.221640, id=,S01, PRDE,actvstrat=,0.300572, actvprof=,2.491614, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.417133, id=,S06, PRDE,actvstrat=,0.796119, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.968405, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.922945, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.221640, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.491614, best_S_strat=,0.300572, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.604839, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.126108, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.919786, id=,B06, PRDE,actvstrat=,-0.255351, actvprof=,1.992638, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.301618, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.714494, id=,S06, PRDE,actvstrat=,0.600782, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.681454, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.787301, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.992638, best_B_strat=,-0.255351, best_S_id=,S01, best_S_prof=,3.301618, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.604839, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.126108, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.992257, id=,B06, PRDE,actvstrat=,-0.255351, actvprof=,2.101184, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.286781, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.665301, id=,S06, PRDE,actvstrat=,0.600782, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.681454, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.787301, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.101184, best_B_strat=,-0.255351, best_S_id=,S01, best_S_prof=,3.286781, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.272096, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.250358, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.081556, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.099729, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.072436, id=,S01, PRDE,actvstrat=,0.761831, actvprof=,4.062504, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.468158, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.683192, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.136765, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.072436, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.062504, best_S_strat=,0.761831, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.272096, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.250358, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.081556, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.115558, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.091453, id=,S01, PRDE,actvstrat=,0.761831, actvprof=,4.041473, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.447808, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000694, id=,S07, PRDE,actvstrat=,0.683192, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.136765, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.091453, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.041473, best_S_strat=,0.761831, 
