t=,75600, id=,B02, PRDE,actvstrat=,0.409377, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.846998, actvprof=,0.007779, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.931396, id=,B08, PRDE,actvstrat=,-0.174592, actvprof=,2.557193, id=,B09, PRDE,actvstrat=,-0.399728, actvprof=,3.745086, id=,S00, PRDE,actvstrat=,-0.239907, actvprof=,3.457558, id=,S01, PRDE,actvstrat=,-0.694561, actvprof=,1.772395, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.414957, id=,S05, PRDE,actvstrat=,0.300331, actvprof=,0.033614, id=,S08, PRDE,actvstrat=,0.962473, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.745086, best_B_strat=,-0.399728, best_S_id=,S00, best_S_prof=,3.457558, best_S_strat=,-0.239907, 
t=,79200, id=,B02, PRDE,actvstrat=,0.409377, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.846998, actvprof=,0.008195, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.944171, id=,B08, PRDE,actvstrat=,-0.174592, actvprof=,2.542901, id=,B09, PRDE,actvstrat=,-0.399728, actvprof=,3.759766, id=,S00, PRDE,actvstrat=,-0.239907, actvprof=,3.297383, id=,S01, PRDE,actvstrat=,-0.694561, actvprof=,1.792587, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.396505, id=,S05, PRDE,actvstrat=,0.300331, actvprof=,0.030696, id=,S08, PRDE,actvstrat=,0.962473, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.759766, best_B_strat=,-0.399728, best_S_id=,S00, best_S_prof=,3.297383, best_S_strat=,-0.239907, 
t=,82800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.027503, id=,B07, PRDE,actvstrat=,-0.507207, actvprof=,2.303002, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,6.087536, id=,B09, PRDE,actvstrat=,-0.318374, actvprof=,5.579431, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.144208, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.562666, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.294570, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.029725, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.087536, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.144208, best_S_strat=,1.000000, 
t=,86400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.032918, id=,B07, PRDE,actvstrat=,-0.507207, actvprof=,2.290945, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,6.087796, id=,B09, PRDE,actvstrat=,-0.318374, actvprof=,5.646108, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.081129, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.541471, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.275618, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.023612, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.087796, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.081129, best_S_strat=,1.000000, 
t=,90000, id=,B02, PRDE,actvstrat=,0.340154, actvprof=,0.011668, id=,B03, PRDE,actvstrat=,0.858313, actvprof=,0.062228, id=,B07, PRDE,actvstrat=,-0.461931, actvprof=,2.134652, id=,B08, PRDE,actvstrat=,-0.577552, actvprof=,3.619796, id=,B09, PRDE,actvstrat=,0.364367, actvprof=,6.915950, id=,S00, PRDE,actvstrat=,0.821173, actvprof=,5.695554, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.202075, id=,S03, PRDE,actvstrat=,0.900166, actvprof=,1.330963, id=,S05, PRDE,actvstrat=,-0.047914, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.313974, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.915950, best_B_strat=,0.364367, best_S_id=,S00, best_S_prof=,5.695554, best_S_strat=,0.821173, 
t=,93600, id=,B02, PRDE,actvstrat=,0.340154, actvprof=,0.006945, id=,B03, PRDE,actvstrat=,0.858313, actvprof=,0.066532, id=,B07, PRDE,actvstrat=,-0.461931, actvprof=,2.142495, id=,B08, PRDE,actvstrat=,-0.577552, actvprof=,3.630505, id=,B09, PRDE,actvstrat=,0.364367, actvprof=,6.772507, id=,S00, PRDE,actvstrat=,0.821173, actvprof=,5.791751, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.046086, id=,S03, PRDE,actvstrat=,0.900166, actvprof=,1.379392, id=,S05, PRDE,actvstrat=,-0.047914, actvprof=,0.005695, id=,S08, PRDE,actvstrat=,-0.313974, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.772507, best_B_strat=,0.364367, best_S_id=,S00, best_S_prof=,5.791751, best_S_strat=,0.821173, 
t=,97200, id=,B02, PRDE,actvstrat=,0.654222, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.590194, actvprof=,0.001667, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.030059, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.435493, id=,B09, PRDE,actvstrat=,0.032045, actvprof=,5.051672, id=,S00, PRDE,actvstrat=,-0.175455, actvprof=,3.555117, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.106123, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.473608, id=,S05, PRDE,actvstrat=,0.517725, actvprof=,0.039171, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.051672, best_B_strat=,0.032045, best_S_id=,S01, best_S_prof=,5.106123, best_S_strat=,-1.000000, 
t=,100800, id=,B02, PRDE,actvstrat=,0.654222, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-0.590194, actvprof=,0.000833, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.086860, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.411109, id=,B09, PRDE,actvstrat=,0.032045, actvprof=,5.088512, id=,S00, PRDE,actvstrat=,-0.175455, actvprof=,3.545916, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.084762, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.436541, id=,S05, PRDE,actvstrat=,0.517725, actvprof=,0.039308, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.088512, best_B_strat=,0.032045, best_S_id=,S01, best_S_prof=,5.084762, best_S_strat=,-1.000000, 
t=,104400, id=,B02, PRDE,actvstrat=,0.410847, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.010835, id=,B07, PRDE,actvstrat=,-0.507207, actvprof=,1.528503, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.182242, id=,B09, PRDE,actvstrat=,0.334834, actvprof=,6.222914, id=,S00, PRDE,actvstrat=,0.301076, actvprof=,4.924714, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.308368, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.852150, id=,S05, PRDE,actvstrat=,-0.950859, actvprof=,0.061118, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.222914, best_B_strat=,0.334834, best_S_id=,S01, best_S_prof=,5.308368, best_S_strat=,1.000000, 
t=,108000, id=,B02, PRDE,actvstrat=,0.410847, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.013195, id=,B07, PRDE,actvstrat=,-0.507207, actvprof=,1.525095, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.255884, id=,B09, PRDE,actvstrat=,0.334834, actvprof=,6.193443, id=,S00, PRDE,actvstrat=,0.301076, actvprof=,4.827941, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.320471, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.871089, id=,S05, PRDE,actvstrat=,-0.950859, actvprof=,0.055003, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.193443, best_B_strat=,0.334834, best_S_id=,S01, best_S_prof=,5.320471, best_S_strat=,1.000000, 
