t=,75600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.159558, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.769482, actvprof=,0.501410, id=,B06, PRDE,actvstrat=,0.790652, actvprof=,1.743962, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.522411, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.646624, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.912107, id=,S05, PRDE,actvstrat=,-0.676949, actvprof=,0.004722, id=,S06, PRDE,actvstrat=,-0.254352, actvprof=,0.003056, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.522411, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.646624, best_S_strat=,1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.159558, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.769482, actvprof=,0.539463, id=,B06, PRDE,actvstrat=,0.790652, actvprof=,1.866176, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.663079, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.565193, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.886385, id=,S05, PRDE,actvstrat=,-0.676949, actvprof=,0.005000, id=,S06, PRDE,actvstrat=,-0.254352, actvprof=,0.001528, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.663079, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.565193, best_S_strat=,1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.620020, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.405276, actvprof=,0.223071, id=,B06, PRDE,actvstrat=,0.872813, actvprof=,1.912911, id=,B08, PRDE,actvstrat=,0.292183, actvprof=,4.083895, id=,S01, PRDE,actvstrat=,-0.729667, actvprof=,0.638100, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.649698, id=,S05, PRDE,actvstrat=,-0.248749, actvprof=,0.006112, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.016112, id=,S09, PRDE,actvstrat=,-0.009786, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.083895, best_B_strat=,0.292183, best_S_id=,S02, best_S_prof=,3.649698, best_S_strat=,-1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.620020, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.405276, actvprof=,0.274037, id=,B06, PRDE,actvstrat=,0.872813, actvprof=,2.009792, id=,B08, PRDE,actvstrat=,0.292183, actvprof=,4.148755, id=,S01, PRDE,actvstrat=,-0.729667, actvprof=,0.564603, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.672905, id=,S05, PRDE,actvstrat=,-0.248749, actvprof=,0.003056, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.022640, id=,S09, PRDE,actvstrat=,-0.009786, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.148755, best_B_strat=,0.292183, best_S_id=,S02, best_S_prof=,3.672905, best_S_strat=,-1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.136837, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.829954, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.374464, actvprof=,0.917286, id=,B06, PRDE,actvstrat=,-0.446002, actvprof=,1.074797, id=,B08, PRDE,actvstrat=,0.505341, actvprof=,5.809848, id=,S01, PRDE,actvstrat=,0.230624, actvprof=,1.762345, id=,S02, PRDE,actvstrat=,0.810732, actvprof=,1.960414, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.039447, id=,S06, PRDE,actvstrat=,-0.293822, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.169532, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.809848, best_B_strat=,0.505341, best_S_id=,S02, best_S_prof=,1.960414, best_S_strat=,0.810732, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.136837, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.829954, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.374464, actvprof=,0.890309, id=,B06, PRDE,actvstrat=,-0.446002, actvprof=,1.058231, id=,B08, PRDE,actvstrat=,0.505341, actvprof=,5.838814, id=,S01, PRDE,actvstrat=,0.230624, actvprof=,1.794785, id=,S02, PRDE,actvstrat=,0.810732, actvprof=,1.992014, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.041529, id=,S06, PRDE,actvstrat=,-0.293822, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.169532, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.838814, best_B_strat=,0.505341, best_S_id=,S02, best_S_prof=,1.992014, best_S_strat=,0.810732, 
t=,97200, id=,B01, PRDE,actvstrat=,0.119942, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.414076, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.005625, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.508230, id=,B08, PRDE,actvstrat=,-0.840561, actvprof=,2.125703, id=,S01, PRDE,actvstrat=,-0.548544, actvprof=,0.594764, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.433572, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.043059, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.508230, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.433572, best_S_strat=,-1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,0.119942, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.414076, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.034897, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.517171, id=,B08, PRDE,actvstrat=,-0.840561, actvprof=,2.166186, id=,S01, PRDE,actvstrat=,-0.548544, actvprof=,0.593632, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.364422, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.051113, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.517171, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.364422, best_S_strat=,-1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.842657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.718680, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,0.767515, actvprof=,0.868949, id=,B06, PRDE,actvstrat=,0.969572, actvprof=,2.432947, id=,B08, PRDE,actvstrat=,-0.898815, actvprof=,1.784291, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.984513, id=,S02, PRDE,actvstrat=,0.713371, actvprof=,2.268213, id=,S05, PRDE,actvstrat=,-0.248749, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.550902, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.798872, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.432947, best_B_strat=,0.969572, best_S_id=,S01, best_S_prof=,4.984513, best_S_strat=,1.000000, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.842657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.718680, actvprof=,0.001250, id=,B05, PRDE,actvstrat=,0.767515, actvprof=,0.825862, id=,B06, PRDE,actvstrat=,0.969572, actvprof=,2.392861, id=,B08, PRDE,actvstrat=,-0.898815, actvprof=,1.623806, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.040453, id=,S02, PRDE,actvstrat=,0.713371, actvprof=,2.274107, id=,S05, PRDE,actvstrat=,-0.248749, actvprof=,0.000556, id=,S06, PRDE,actvstrat=,0.550902, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.798872, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.392861, best_B_strat=,0.969572, best_S_id=,S01, best_S_prof=,5.040453, best_S_strat=,1.000000, 
