t=,79200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.677284, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.273448, actvprof=,0.000972, id=,B05, PRDE,actvstrat=,-0.481816, actvprof=,0.429459, id=,B08, PRDE,actvstrat=,-0.223349, actvprof=,4.655995, id=,S02, PRDE,actvstrat=,-0.317064, actvprof=,0.145144, id=,S04, PRDE,actvstrat=,-0.831514, actvprof=,0.001945, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.008750, id=,S08, PRDE,actvstrat=,0.917115, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.185213, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.655995, best_B_strat=,-0.223349, best_S_id=,S02, best_S_prof=,0.145144, best_S_strat=,-0.317064, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.449754, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.861861, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,0.396525, actvprof=,0.810890, id=,B08, PRDE,actvstrat=,-0.084264, actvprof=,4.132231, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.877422, id=,S04, PRDE,actvstrat=,-0.568837, actvprof=,0.010556, id=,S05, PRDE,actvstrat=,-0.637442, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.845006, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.132231, best_B_strat=,-0.084264, best_S_id=,S02, best_S_prof=,2.877422, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.449754, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.861861, actvprof=,0.004722, id=,B05, PRDE,actvstrat=,0.396525, actvprof=,0.800444, id=,B08, PRDE,actvstrat=,-0.084264, actvprof=,4.089725, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.893850, id=,S04, PRDE,actvstrat=,-0.568837, actvprof=,0.005834, id=,S05, PRDE,actvstrat=,-0.637442, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.845006, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.089725, best_B_strat=,-0.084264, best_S_id=,S02, best_S_prof=,2.893850, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.449754, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.719877, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.395235, actvprof=,0.026669, id=,B05, PRDE,actvstrat=,0.396525, actvprof=,2.009028, id=,B08, PRDE,actvstrat=,0.116453, actvprof=,6.519897, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,1.698451, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.044448, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.273425, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.519897, best_B_strat=,0.116453, best_S_id=,S02, best_S_prof=,1.698451, best_S_strat=,1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.449754, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.719877, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.395235, actvprof=,0.026945, id=,B05, PRDE,actvstrat=,0.396525, actvprof=,2.025751, id=,B08, PRDE,actvstrat=,0.116453, actvprof=,6.488652, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,1.681158, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.046529, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.005139, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.273425, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.488652, best_B_strat=,0.116453, best_S_id=,S02, best_S_prof=,1.681158, best_S_strat=,1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.564139, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.112370, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.587197, actvprof=,0.920342, id=,B08, PRDE,actvstrat=,-0.597810, actvprof=,3.864157, id=,S02, PRDE,actvstrat=,-0.457131, actvprof=,0.180290, id=,S04, PRDE,actvstrat=,0.474458, actvprof=,0.036947, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.013056, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.057807, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.864157, best_B_strat=,-0.597810, best_S_id=,S02, best_S_prof=,0.180290, best_S_strat=,-0.457131, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.564139, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.112370, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.587197, actvprof=,0.838501, id=,B08, PRDE,actvstrat=,-0.597810, actvprof=,3.696795, id=,S02, PRDE,actvstrat=,-0.457131, actvprof=,0.182784, id=,S04, PRDE,actvstrat=,0.474458, actvprof=,0.036946, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.018334, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.057807, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.696795, best_B_strat=,-0.597810, best_S_id=,S02, best_S_prof=,0.182784, best_S_strat=,-0.457131, 
t=,104400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.788035, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.861861, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.711870, actvprof=,0.811445, id=,B08, PRDE,actvstrat=,0.517193, actvprof=,5.171192, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.219112, id=,S04, PRDE,actvstrat=,-0.345821, actvprof=,0.002222, id=,S05, PRDE,actvstrat=,-0.510461, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.216208, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.079805, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.171192, best_B_strat=,0.517193, best_S_id=,S02, best_S_prof=,3.219112, best_S_strat=,-1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.788035, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.861861, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.711870, actvprof=,0.750304, id=,B08, PRDE,actvstrat=,0.517193, actvprof=,5.077121, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.356505, id=,S04, PRDE,actvstrat=,-0.345821, actvprof=,0.002222, id=,S05, PRDE,actvstrat=,-0.510461, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.216208, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.079805, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.077121, best_B_strat=,0.517193, best_S_id=,S02, best_S_prof=,3.356505, best_S_strat=,-1.000000, 
t=,111600, id=,B00, PRDE,actvstrat=,0.491408, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,-0.325213, actvprof=,0.146955, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.799847, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.463296, id=,S04, PRDE,actvstrat=,0.381573, actvprof=,0.038336, id=,S05, PRDE,actvstrat=,-0.543557, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.262167, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.799847, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.463296, best_S_strat=,1.000000, 
