t=,79200, id=,B00, PRDE,actvstrat=,0.226127, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.803688, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.503619, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.480431, actvprof=,0.014584, id=,B07, PRDE,actvstrat=,-0.597547, actvprof=,2.144489, id=,S00, PRDE,actvstrat=,-0.260264, actvprof=,1.568227, id=,S04, PRDE,actvstrat=,0.392277, actvprof=,0.067779, id=,S05, PRDE,actvstrat=,0.316850, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,0.076069, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.938848, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.144489, best_B_strat=,-0.597547, best_S_id=,S00, best_S_prof=,1.568227, best_S_strat=,-0.260264, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.069977, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.449708, actvprof=,0.064170, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.464192, id=,S00, PRDE,actvstrat=,-0.558444, actvprof=,0.986444, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.166954, id=,S05, PRDE,actvstrat=,-0.943490, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.310187, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.464192, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.986444, best_S_strat=,-0.558444, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.069977, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.449708, actvprof=,0.063474, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.684741, id=,S00, PRDE,actvstrat=,-0.558444, actvprof=,0.856968, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.091947, id=,S05, PRDE,actvstrat=,-0.943490, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.310187, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.684741, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.856968, best_S_strat=,-0.558444, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.777000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.069977, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.872391, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.101853, actvprof=,0.030835, id=,B07, PRDE,actvstrat=,0.696762, actvprof=,3.935496, id=,S00, PRDE,actvstrat=,0.209226, actvprof=,3.669093, id=,S04, PRDE,actvstrat=,0.184049, actvprof=,0.108062, id=,S05, PRDE,actvstrat=,0.774279, actvprof=,0.018057, id=,S08, PRDE,actvstrat=,-0.500447, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.653317, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.935496, best_B_strat=,0.696762, best_S_id=,S00, best_S_prof=,3.669093, best_S_strat=,0.209226, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.777000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.069977, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.872391, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.101853, actvprof=,0.022084, id=,B07, PRDE,actvstrat=,0.696762, actvprof=,3.905942, id=,S00, PRDE,actvstrat=,0.209226, actvprof=,3.799828, id=,S04, PRDE,actvstrat=,0.184049, actvprof=,0.106253, id=,S05, PRDE,actvstrat=,0.774279, actvprof=,0.022640, id=,S08, PRDE,actvstrat=,-0.500447, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.653317, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.905942, best_B_strat=,0.696762, best_S_id=,S00, best_S_prof=,3.799828, best_S_strat=,0.209226, 
t=,97200, id=,B00, PRDE,actvstrat=,0.858610, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.635562, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.779346, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B07, PRDE,actvstrat=,-0.399048, actvprof=,1.598422, id=,S00, PRDE,actvstrat=,-0.100768, actvprof=,2.680427, id=,S04, PRDE,actvstrat=,-0.572777, actvprof=,0.010834, id=,S05, PRDE,actvstrat=,0.676139, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.598422, best_B_strat=,-0.399048, best_S_id=,S00, best_S_prof=,2.680427, best_S_strat=,-0.100768, 
t=,100800, id=,B00, PRDE,actvstrat=,0.858610, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.635562, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.779346, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.003056, id=,B07, PRDE,actvstrat=,-0.399048, actvprof=,1.700047, id=,S00, PRDE,actvstrat=,-0.100768, actvprof=,2.452846, id=,S04, PRDE,actvstrat=,-0.572777, actvprof=,0.007084, id=,S05, PRDE,actvstrat=,0.676139, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.700047, best_B_strat=,-0.399048, best_S_id=,S00, best_S_prof=,2.452846, best_S_strat=,-0.100768, 
t=,104400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.494097, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.465544, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.530484, actvprof=,0.005000, id=,B07, PRDE,actvstrat=,0.906710, actvprof=,3.366576, id=,S00, PRDE,actvstrat=,0.201392, actvprof=,4.413856, id=,S04, PRDE,actvstrat=,-0.419223, actvprof=,0.036391, id=,S05, PRDE,actvstrat=,-0.570495, actvprof=,0.005000, id=,S08, PRDE,actvstrat=,-0.875110, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.809773, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.366576, best_B_strat=,0.906710, best_S_id=,S00, best_S_prof=,4.413856, best_S_strat=,0.201392, 
t=,108000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.494097, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.465544, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.530484, actvprof=,0.005695, id=,B07, PRDE,actvstrat=,0.906710, actvprof=,3.490791, id=,S00, PRDE,actvstrat=,0.201392, actvprof=,4.446929, id=,S04, PRDE,actvstrat=,-0.419223, actvprof=,0.031806, id=,S05, PRDE,actvstrat=,-0.570495, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,-0.875110, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.809773, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.490791, best_B_strat=,0.906710, best_S_id=,S00, best_S_prof=,4.446929, best_S_strat=,0.201392, 
t=,111600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.545858, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.042541, actvprof=,0.060003, id=,B07, PRDE,actvstrat=,0.341194, actvprof=,4.406911, id=,S00, PRDE,actvstrat=,-0.433495, actvprof=,1.217568, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.133063, id=,S05, PRDE,actvstrat=,0.758496, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,-0.182937, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.622302, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.406911, best_B_strat=,0.341194, best_S_id=,S00, best_S_prof=,1.217568, best_S_strat=,-0.433495, 
