t=,75600, id=,B02, PRDE,actvstrat=,-0.797133, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.265061, actvprof=,0.005278, id=,B05, PRDE,actvstrat=,-0.406791, actvprof=,0.180566, id=,B06, PRDE,actvstrat=,-0.043788, actvprof=,1.592033, id=,B09, PRDE,actvstrat=,0.633910, actvprof=,7.260959, id=,S02, PRDE,actvstrat=,-0.223306, actvprof=,0.220290, id=,S03, PRDE,actvstrat=,0.736210, actvprof=,0.786433, id=,S05, PRDE,actvstrat=,0.541096, actvprof=,0.036113, id=,S06, PRDE,actvstrat=,-0.974657, actvprof=,0.035002, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.012223, best_B_id=,B09, best_B_prof=,7.260959, best_B_strat=,0.633910, best_S_id=,S03, best_S_prof=,0.786433, best_S_strat=,0.736210, 
t=,79200, id=,B02, PRDE,actvstrat=,-0.797133, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.265061, actvprof=,0.010556, id=,B05, PRDE,actvstrat=,-0.406791, actvprof=,0.189589, id=,B06, PRDE,actvstrat=,-0.043788, actvprof=,1.521014, id=,B09, PRDE,actvstrat=,0.633910, actvprof=,7.264368, id=,S02, PRDE,actvstrat=,-0.223306, actvprof=,0.220423, id=,S03, PRDE,actvstrat=,0.736210, actvprof=,0.827662, id=,S05, PRDE,actvstrat=,0.541096, actvprof=,0.028473, id=,S06, PRDE,actvstrat=,-0.974657, actvprof=,0.038751, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.010000, best_B_id=,B09, best_B_prof=,7.264368, best_B_strat=,0.633910, best_S_id=,S03, best_S_prof=,0.827662, best_S_strat=,0.736210, 
t=,82800, id=,B02, PRDE,actvstrat=,-0.331086, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.096136, actvprof=,0.011945, id=,B05, PRDE,actvstrat=,-0.541498, actvprof=,0.118340, id=,B06, PRDE,actvstrat=,0.210380, actvprof=,1.792600, id=,B09, PRDE,actvstrat=,-0.473041, actvprof=,5.231680, id=,S02, PRDE,actvstrat=,-0.840201, actvprof=,0.053336, id=,S03, PRDE,actvstrat=,-0.286026, actvprof=,0.038891, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.057503, id=,S06, PRDE,actvstrat=,0.446789, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.231680, best_B_strat=,-0.473041, best_S_id=,S05, best_S_prof=,0.057503, best_S_strat=,1.000000, 
t=,86400, id=,B02, PRDE,actvstrat=,-0.331086, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.096136, actvprof=,0.008056, id=,B05, PRDE,actvstrat=,-0.541498, actvprof=,0.117225, id=,B06, PRDE,actvstrat=,0.210380, actvprof=,1.655324, id=,B09, PRDE,actvstrat=,-0.473041, actvprof=,5.115281, id=,S02, PRDE,actvstrat=,-0.840201, actvprof=,0.050835, id=,S03, PRDE,actvstrat=,-0.286026, actvprof=,0.045557, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.060002, id=,S06, PRDE,actvstrat=,0.446789, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,5.115281, best_B_strat=,-0.473041, best_S_id=,S05, best_S_prof=,0.060002, best_S_strat=,1.000000, 
t=,90000, id=,B02, PRDE,actvstrat=,-0.943830, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.713643, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.136430, actvprof=,0.552523, id=,B06, PRDE,actvstrat=,-0.460036, actvprof=,0.969485, id=,B09, PRDE,actvstrat=,-0.473041, actvprof=,5.257441, id=,S02, PRDE,actvstrat=,-0.336421, actvprof=,0.194175, id=,S03, PRDE,actvstrat=,0.369473, actvprof=,0.332236, id=,S05, PRDE,actvstrat=,0.535072, actvprof=,0.016390, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.008611, id=,S07, PRDE,actvstrat=,0.940042, actvprof=,0.001667, best_B_id=,B09, best_B_prof=,5.257441, best_B_strat=,-0.473041, best_S_id=,S03, best_S_prof=,0.332236, best_S_strat=,0.369473, 
t=,93600, id=,B02, PRDE,actvstrat=,-0.943830, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.713643, actvprof=,0.002639, id=,B05, PRDE,actvstrat=,0.136430, actvprof=,0.533904, id=,B06, PRDE,actvstrat=,-0.460036, actvprof=,0.855302, id=,B09, PRDE,actvstrat=,-0.473041, actvprof=,5.052918, id=,S02, PRDE,actvstrat=,-0.336421, actvprof=,0.210006, id=,S03, PRDE,actvstrat=,0.369473, actvprof=,0.366538, id=,S05, PRDE,actvstrat=,0.535072, actvprof=,0.014445, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.016945, id=,S07, PRDE,actvstrat=,0.940042, actvprof=,0.000833, best_B_id=,B09, best_B_prof=,5.052918, best_B_strat=,-0.473041, best_S_id=,S03, best_S_prof=,0.366538, best_S_strat=,0.369473, 
t=,97200, id=,B02, PRDE,actvstrat=,-0.963440, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.105352, actvprof=,0.039447, id=,B05, PRDE,actvstrat=,0.005964, actvprof=,0.628924, id=,B06, PRDE,actvstrat=,0.289988, actvprof=,2.147619, id=,B09, PRDE,actvstrat=,0.483896, actvprof=,6.991222, id=,S02, PRDE,actvstrat=,0.288491, actvprof=,1.043669, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.394522, id=,S05, PRDE,actvstrat=,0.837537, actvprof=,0.177788, id=,S06, PRDE,actvstrat=,0.208114, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,-0.237769, actvprof=,0.001667, best_B_id=,B09, best_B_prof=,6.991222, best_B_strat=,0.483896, best_S_id=,S03, best_S_prof=,1.394522, best_S_strat=,-1.000000, 
t=,100800, id=,B02, PRDE,actvstrat=,-0.963440, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.105352, actvprof=,0.036112, id=,B05, PRDE,actvstrat=,0.005964, actvprof=,0.625434, id=,B06, PRDE,actvstrat=,0.289988, actvprof=,2.125892, id=,B09, PRDE,actvstrat=,0.483896, actvprof=,6.926304, id=,S02, PRDE,actvstrat=,0.288491, actvprof=,1.027251, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.409484, id=,S05, PRDE,actvstrat=,0.837537, actvprof=,0.159171, id=,S06, PRDE,actvstrat=,0.208114, actvprof=,0.004445, id=,S07, PRDE,actvstrat=,-0.237769, actvprof=,0.000833, best_B_id=,B09, best_B_prof=,6.926304, best_B_strat=,0.483896, best_S_id=,S03, best_S_prof=,1.409484, best_S_strat=,-1.000000, 
t=,104400, id=,B02, PRDE,actvstrat=,0.850627, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.234921, actvprof=,0.004167, id=,B05, PRDE,actvstrat=,-0.936365, actvprof=,0.015557, id=,B06, PRDE,actvstrat=,0.289988, actvprof=,2.299326, id=,B09, PRDE,actvstrat=,-0.597997, actvprof=,5.902632, id=,S02, PRDE,actvstrat=,-0.690701, actvprof=,0.161956, id=,S03, PRDE,actvstrat=,0.305957, actvprof=,0.240850, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.012779, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.072361, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.902632, best_B_strat=,-0.597997, best_S_id=,S03, best_S_prof=,0.240850, best_S_strat=,0.305957, 
t=,108000, id=,B02, PRDE,actvstrat=,0.850627, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.234921, actvprof=,0.005695, id=,B05, PRDE,actvstrat=,-0.936365, actvprof=,0.011250, id=,B06, PRDE,actvstrat=,0.289988, actvprof=,2.287564, id=,B09, PRDE,actvstrat=,-0.597997, actvprof=,5.772244, id=,S02, PRDE,actvstrat=,-0.690701, actvprof=,0.147643, id=,S03, PRDE,actvstrat=,0.305957, actvprof=,0.240562, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.015278, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.072361, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.772244, best_B_strat=,-0.597997, best_S_id=,S03, best_S_prof=,0.240562, best_S_strat=,0.305957, 
