t=,75600, id=,B00, PRDE,actvstrat=,0.840995, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.261992, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.218907, id=,B06, PRDE,actvstrat=,0.243001, actvprof=,0.804511, id=,B07, PRDE,actvstrat=,-0.124091, actvprof=,1.449565, id=,S00, PRDE,actvstrat=,0.232868, actvprof=,4.592327, id=,S01, PRDE,actvstrat=,0.560579, actvprof=,4.268967, id=,S02, PRDE,actvstrat=,-0.857967, actvprof=,0.108898, id=,S08, PRDE,actvstrat=,0.688327, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.644700, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.449565, best_B_strat=,-0.124091, best_S_id=,S00, best_S_prof=,4.592327, best_S_strat=,0.232868, 
t=,79200, id=,B00, PRDE,actvstrat=,0.840995, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.261992, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.261261, id=,B06, PRDE,actvstrat=,0.243001, actvprof=,0.882398, id=,B07, PRDE,actvstrat=,-0.124091, actvprof=,1.487006, id=,S00, PRDE,actvstrat=,0.232868, actvprof=,4.425045, id=,S01, PRDE,actvstrat=,0.560579, actvprof=,4.179757, id=,S02, PRDE,actvstrat=,-0.857967, actvprof=,0.109866, id=,S08, PRDE,actvstrat=,0.688327, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.644700, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.487006, best_B_strat=,-0.124091, best_S_id=,S00, best_S_prof=,4.425045, best_S_strat=,0.232868, 
t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.667763, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.551617, actvprof=,0.171403, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.830514, id=,B07, PRDE,actvstrat=,0.540713, actvprof=,3.936995, id=,S00, PRDE,actvstrat=,-0.290806, actvprof=,1.434564, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.908742, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.929689, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.572458, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.936995, best_B_strat=,0.540713, best_S_id=,S01, best_S_prof=,4.908742, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.667763, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.551617, actvprof=,0.162646, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.850813, id=,B07, PRDE,actvstrat=,0.540713, actvprof=,3.941831, id=,S00, PRDE,actvstrat=,-0.290806, actvprof=,1.467006, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.938122, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.849841, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.572458, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.941831, best_B_strat=,0.540713, best_S_id=,S01, best_S_prof=,4.938122, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,0.317982, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.110133, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.679509, actvprof=,0.580326, id=,B06, PRDE,actvstrat=,0.940505, actvprof=,2.281857, id=,B07, PRDE,actvstrat=,0.318415, actvprof=,2.937467, id=,S00, PRDE,actvstrat=,-0.756444, actvprof=,1.230658, id=,S01, PRDE,actvstrat=,0.810004, actvprof=,4.898464, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.442231, id=,S08, PRDE,actvstrat=,0.281209, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.995093, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.937467, best_B_strat=,0.318415, best_S_id=,S01, best_S_prof=,4.898464, best_S_strat=,0.810004, 
t=,93600, id=,B00, PRDE,actvstrat=,0.317982, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.110133, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.679509, actvprof=,0.541269, id=,B06, PRDE,actvstrat=,0.940505, actvprof=,2.213688, id=,B07, PRDE,actvstrat=,0.318415, actvprof=,2.941630, id=,S00, PRDE,actvstrat=,-0.756444, actvprof=,1.220598, id=,S01, PRDE,actvstrat=,0.810004, actvprof=,4.926977, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.464148, id=,S08, PRDE,actvstrat=,0.281209, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.995093, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.941630, best_B_strat=,0.318415, best_S_id=,S01, best_S_prof=,4.926977, best_S_strat=,0.810004, 
t=,97200, id=,B00, PRDE,actvstrat=,0.380909, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.480582, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.312708, actvprof=,1.284256, id=,B06, PRDE,actvstrat=,-0.213224, actvprof=,1.816515, id=,B07, PRDE,actvstrat=,-0.831309, actvprof=,2.124036, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.147788, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.835266, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.150705, id=,S08, PRDE,actvstrat=,0.165877, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.929713, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.124036, best_B_strat=,-0.831309, best_S_id=,S00, best_S_prof=,4.147788, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,0.380909, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.480582, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.312708, actvprof=,1.323518, id=,B06, PRDE,actvstrat=,-0.213224, actvprof=,1.791173, id=,B07, PRDE,actvstrat=,-0.831309, actvprof=,2.134241, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.164450, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.845550, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.149658, id=,S08, PRDE,actvstrat=,0.165877, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.929713, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.134241, best_B_strat=,-0.831309, best_S_id=,S00, best_S_prof=,4.164450, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,0.639555, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.677998, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.764722, actvprof=,0.867572, id=,B06, PRDE,actvstrat=,-0.583061, actvprof=,0.705614, id=,B07, PRDE,actvstrat=,-0.831309, actvprof=,0.965636, id=,S00, PRDE,actvstrat=,0.232868, actvprof=,3.513626, id=,S01, PRDE,actvstrat=,0.671959, actvprof=,3.592244, id=,S02, PRDE,actvstrat=,-0.330427, actvprof=,0.288635, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.798893, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,0.965636, best_B_strat=,-0.831309, best_S_id=,S01, best_S_prof=,3.592244, best_S_strat=,0.671959, 
t=,108000, id=,B00, PRDE,actvstrat=,0.639555, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.677998, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.764722, actvprof=,0.897670, id=,B06, PRDE,actvstrat=,-0.583061, actvprof=,0.739331, id=,B07, PRDE,actvstrat=,-0.831309, actvprof=,1.044064, id=,S00, PRDE,actvstrat=,0.232868, actvprof=,3.479426, id=,S01, PRDE,actvstrat=,0.671959, actvprof=,3.592486, id=,S02, PRDE,actvstrat=,-0.330427, actvprof=,0.288482, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.798893, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.044064, best_B_strat=,-0.831309, best_S_id=,S01, best_S_prof=,3.592486, best_S_strat=,0.671959, 
