t=,75600, id=,B00, PRDE,actvstrat=,0.481392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.605103, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.702779, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.897152, actvprof=,2.125236, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.564841, id=,S01, PRDE,actvstrat=,-0.472337, actvprof=,0.986498, id=,S02, PRDE,actvstrat=,0.883458, actvprof=,5.112790, id=,S04, PRDE,actvstrat=,-0.396952, actvprof=,0.055006, id=,S05, PRDE,actvstrat=,0.858160, actvprof=,0.334204, id=,S07, PRDE,actvstrat=,0.652750, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.564841, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,5.112790, best_S_strat=,0.883458, 
t=,79200, id=,B00, PRDE,actvstrat=,0.481392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.605103, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.702779, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.897152, actvprof=,2.142187, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.512671, id=,S01, PRDE,actvstrat=,-0.472337, actvprof=,1.035467, id=,S02, PRDE,actvstrat=,0.883458, actvprof=,5.148723, id=,S04, PRDE,actvstrat=,-0.396952, actvprof=,0.048197, id=,S05, PRDE,actvstrat=,0.858160, actvprof=,0.313765, id=,S07, PRDE,actvstrat=,0.652750, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.512671, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,5.148723, best_S_strat=,0.883458, 
t=,82800, id=,B00, PRDE,actvstrat=,0.481392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.947606, actvprof=,3.918769, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.654795, id=,S01, PRDE,actvstrat=,-0.260723, actvprof=,0.562563, id=,S02, PRDE,actvstrat=,-0.927905, actvprof=,0.045838, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.759807, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.142516, id=,S07, PRDE,actvstrat=,-0.643866, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.654795, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.759807, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,0.481392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.947606, actvprof=,3.924107, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.643091, id=,S01, PRDE,actvstrat=,-0.260723, actvprof=,0.599617, id=,S02, PRDE,actvstrat=,-0.927905, actvprof=,0.037502, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.771571, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.152786, id=,S07, PRDE,actvstrat=,-0.643866, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.643091, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.771571, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.290429, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.616285, actvprof=,0.006390, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.851372, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.582676, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.162685, id=,S02, PRDE,actvstrat=,-0.007382, actvprof=,0.360318, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.285032, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.071119, id=,S07, PRDE,actvstrat=,-0.178067, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.582676, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.162685, best_S_strat=,1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.290429, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.616285, actvprof=,0.005834, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.776238, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.428690, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.290933, id=,S02, PRDE,actvstrat=,-0.007382, actvprof=,0.355298, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.331130, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.080143, id=,S07, PRDE,actvstrat=,-0.178067, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.428690, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.290933, best_S_strat=,1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,0.481392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B07, PRDE,actvstrat=,0.966572, actvprof=,3.555852, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.168764, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.952913, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.835875, id=,S04, PRDE,actvstrat=,0.276243, actvprof=,0.130289, id=,S05, PRDE,actvstrat=,0.286021, actvprof=,0.025002, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.009723, best_B_id=,B08, best_B_prof=,5.168764, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.952913, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,0.481392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B07, PRDE,actvstrat=,0.966572, actvprof=,3.451720, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.083894, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.037363, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.929385, id=,S04, PRDE,actvstrat=,0.276243, actvprof=,0.155009, id=,S05, PRDE,actvstrat=,0.286021, actvprof=,0.025140, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.007084, best_B_id=,B08, best_B_prof=,5.083894, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.037363, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,0.481392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.616285, actvprof=,0.000833, id=,B07, PRDE,actvstrat=,0.947606, actvprof=,2.450272, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.047116, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.210134, id=,S02, PRDE,actvstrat=,0.539739, actvprof=,2.279976, id=,S04, PRDE,actvstrat=,0.361878, actvprof=,0.283365, id=,S05, PRDE,actvstrat=,0.585888, actvprof=,0.097789, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.017224, best_B_id=,B08, best_B_prof=,4.047116, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,6.210134, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,0.481392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.616285, actvprof=,0.001945, id=,B07, PRDE,actvstrat=,0.947606, actvprof=,2.471526, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.081199, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.188955, id=,S02, PRDE,actvstrat=,0.539739, actvprof=,2.258042, id=,S04, PRDE,actvstrat=,0.361878, actvprof=,0.278210, id=,S05, PRDE,actvstrat=,0.585888, actvprof=,0.082505, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.014723, best_B_id=,B08, best_B_prof=,4.081199, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,6.188955, best_S_strat=,1.000000, 
