t=,75600, id=,B00, PRDE,actvstrat=,0.018278, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.741901, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.105964, actvprof=,0.020557, id=,B07, PRDE,actvstrat=,0.031323, actvprof=,1.536218, id=,B09, PRDE,actvstrat=,0.723724, actvprof=,6.003195, id=,S00, PRDE,actvstrat=,-0.729880, actvprof=,1.292034, id=,S01, PRDE,actvstrat=,0.420819, actvprof=,3.564136, id=,S03, PRDE,actvstrat=,-0.432677, actvprof=,0.187791, id=,S05, PRDE,actvstrat=,-0.418724, actvprof=,0.008612, id=,S08, PRDE,actvstrat=,-0.617623, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.003195, best_B_strat=,0.723724, best_S_id=,S01, best_S_prof=,3.564136, best_S_strat=,0.420819, 
t=,79200, id=,B00, PRDE,actvstrat=,0.018278, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.741901, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.105964, actvprof=,0.017917, id=,B07, PRDE,actvstrat=,0.031323, actvprof=,1.527136, id=,B09, PRDE,actvstrat=,0.723724, actvprof=,5.988819, id=,S00, PRDE,actvstrat=,-0.729880, actvprof=,1.295739, id=,S01, PRDE,actvstrat=,0.420819, actvprof=,3.452620, id=,S03, PRDE,actvstrat=,-0.432677, actvprof=,0.188062, id=,S05, PRDE,actvstrat=,-0.418724, actvprof=,0.007084, id=,S08, PRDE,actvstrat=,-0.617623, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.988819, best_B_strat=,0.723724, best_S_id=,S01, best_S_prof=,3.452620, best_S_strat=,0.420819, 
t=,82800, id=,B00, PRDE,actvstrat=,0.633541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.667880, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.965853, actvprof=,0.433641, id=,B07, PRDE,actvstrat=,0.040908, actvprof=,2.833530, id=,B09, PRDE,actvstrat=,0.758699, actvprof=,7.032433, id=,S00, PRDE,actvstrat=,0.950799, actvprof=,6.099868, id=,S01, PRDE,actvstrat=,0.912098, actvprof=,4.358914, id=,S03, PRDE,actvstrat=,0.613985, actvprof=,0.564761, id=,S05, PRDE,actvstrat=,-0.931376, actvprof=,0.009445, id=,S08, PRDE,actvstrat=,0.263316, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.032433, best_B_strat=,0.758699, best_S_id=,S00, best_S_prof=,6.099868, best_S_strat=,0.950799, 
t=,86400, id=,B00, PRDE,actvstrat=,0.633541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.667880, actvprof=,0.002361, id=,B05, PRDE,actvstrat=,-0.965853, actvprof=,0.432237, id=,B07, PRDE,actvstrat=,0.040908, actvprof=,2.800792, id=,B09, PRDE,actvstrat=,0.758699, actvprof=,7.175944, id=,S00, PRDE,actvstrat=,0.950799, actvprof=,6.082295, id=,S01, PRDE,actvstrat=,0.912098, actvprof=,4.411959, id=,S03, PRDE,actvstrat=,0.613985, actvprof=,0.563214, id=,S05, PRDE,actvstrat=,-0.931376, actvprof=,0.010000, id=,S08, PRDE,actvstrat=,0.263316, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.175944, best_B_strat=,0.758699, best_S_id=,S00, best_S_prof=,6.082295, best_S_strat=,0.950799, 
t=,90000, id=,B00, PRDE,actvstrat=,0.999360, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.987576, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.965853, actvprof=,0.096118, id=,B07, PRDE,actvstrat=,0.681254, actvprof=,3.200778, id=,B09, PRDE,actvstrat=,-0.321234, actvprof=,4.334745, id=,S00, PRDE,actvstrat=,-0.980584, actvprof=,0.878672, id=,S01, PRDE,actvstrat=,0.981748, actvprof=,5.419821, id=,S03, PRDE,actvstrat=,0.119794, actvprof=,0.555039, id=,S05, PRDE,actvstrat=,-0.413175, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-0.712062, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.334745, best_B_strat=,-0.321234, best_S_id=,S01, best_S_prof=,5.419821, best_S_strat=,0.981748, 
t=,93600, id=,B00, PRDE,actvstrat=,0.999360, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.987576, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.965853, actvprof=,0.094171, id=,B07, PRDE,actvstrat=,0.681254, actvprof=,3.170688, id=,B09, PRDE,actvstrat=,-0.321234, actvprof=,4.207398, id=,S00, PRDE,actvstrat=,-0.980584, actvprof=,0.760032, id=,S01, PRDE,actvstrat=,0.981748, actvprof=,5.517591, id=,S03, PRDE,actvstrat=,0.119794, actvprof=,0.569746, id=,S05, PRDE,actvstrat=,-0.413175, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-0.712062, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.207398, best_B_strat=,-0.321234, best_S_id=,S01, best_S_prof=,5.517591, best_S_strat=,0.981748, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.480274, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.415057, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.965853, actvprof=,0.013335, id=,B07, PRDE,actvstrat=,0.394878, actvprof=,1.399025, id=,B09, PRDE,actvstrat=,0.723724, actvprof=,5.333852, id=,S00, PRDE,actvstrat=,-0.978221, actvprof=,0.483380, id=,S01, PRDE,actvstrat=,-0.114801, actvprof=,2.147431, id=,S03, PRDE,actvstrat=,-0.172149, actvprof=,0.441154, id=,S05, PRDE,actvstrat=,-0.931376, actvprof=,0.014168, id=,S08, PRDE,actvstrat=,-0.308953, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.333852, best_B_strat=,0.723724, best_S_id=,S01, best_S_prof=,2.147431, best_S_strat=,-0.114801, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.480274, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.415057, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.965853, actvprof=,0.010001, id=,B07, PRDE,actvstrat=,0.394878, actvprof=,1.396189, id=,B09, PRDE,actvstrat=,0.723724, actvprof=,5.365298, id=,S00, PRDE,actvstrat=,-0.978221, actvprof=,0.576560, id=,S01, PRDE,actvstrat=,-0.114801, actvprof=,2.154564, id=,S03, PRDE,actvstrat=,-0.172149, actvprof=,0.386966, id=,S05, PRDE,actvstrat=,-0.931376, actvprof=,0.007084, id=,S08, PRDE,actvstrat=,-0.308953, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.365298, best_B_strat=,0.723724, best_S_id=,S01, best_S_prof=,2.154564, best_S_strat=,-0.114801, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.324890, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.382821, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.293796, actvprof=,0.454482, id=,B07, PRDE,actvstrat=,0.040908, actvprof=,2.338806, id=,B09, PRDE,actvstrat=,0.758699, actvprof=,6.764175, id=,S00, PRDE,actvstrat=,-0.453476, actvprof=,1.155930, id=,S01, PRDE,actvstrat=,0.981748, actvprof=,5.105148, id=,S03, PRDE,actvstrat=,0.942375, actvprof=,1.791816, id=,S05, PRDE,actvstrat=,-0.326117, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,0.638336, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.764175, best_B_strat=,0.758699, best_S_id=,S01, best_S_prof=,5.105148, best_S_strat=,0.981748, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.324890, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.382821, actvprof=,0.001806, id=,B05, PRDE,actvstrat=,0.293796, actvprof=,0.396547, id=,B07, PRDE,actvstrat=,0.040908, actvprof=,2.324974, id=,B09, PRDE,actvstrat=,0.758699, actvprof=,6.653240, id=,S00, PRDE,actvstrat=,-0.453476, actvprof=,1.271173, id=,S01, PRDE,actvstrat=,0.981748, actvprof=,5.165112, id=,S03, PRDE,actvstrat=,0.942375, actvprof=,1.855368, id=,S05, PRDE,actvstrat=,-0.326117, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.638336, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.653240, best_B_strat=,0.758699, best_S_id=,S01, best_S_prof=,5.165112, best_S_strat=,0.981748, 
