B02, Trade, 4319591.043, 120, B02, S05, 1
B02, Trade, 4319598.993, 89, S01, B02, 1
B02, Trade, 4319608.243, 101, B02, S04, 1
B02, Trade, 4319609.393, 60, S07, B02, 1
B02, Trade, 4319619.993, 114, S02, B02, 1
B02, Trade, 4319620.793, 105, B02, S00, 1
B02, Trade, 4319628.693, 93, B02, S06, 1
B02, Trade, 4319630.093, 105, S02, B02, 1
B02, Trade, 4319637.643, 99, B02, S03, 1
B02, Trade, 4319643.093, 66, S07, B02, 1
B02, Trade, 4319646.993, 71, S02, B02, 1
B02, Trade, 4319655.243, 120, B02, S05, 1
B02, Trade, 4319664.943, 61, S06, B02, 1
B02, Trade, 4319670.043, 116, B02, S06, 1
B02, Trade, 4319675.993, 137, B02, S03, 1
B02, Trade, 4319684.943, 85, B02, S03, 1
B02, Trade, 4319690.493, 101, B02, S02, 1
B02, Trade, 4319693.593, 132, B02, S00, 1
B02, Trade, 4319699.493, 130, S05, B02, 1
B02, Trade, 4319702.643, 101, S05, B02, 1
B02, Trade, 4319708.793, 81, S02, B02, 1
B02, Trade, 4319714.293, 67, S05, B02, 1
B02, Trade, 4319717.443, 69, S09, B02, 1
B02, Trade, 4319726.693, 138, B02, S03, 1
B02, Trade, 4319733.993, 96, S05, B02, 1
B02, Trade, 4319737.693, 113, B02, S06, 1
B02, Trade, 4319750.493, 116, S02, B02, 1
B02, Trade, 4319756.793, 124, B02, S07, 1
B02, Trade, 4319764.493, 111, S01, B02, 1
B02, Trade, 4319766.843, 123, B02, S07, 1
B02, Trade, 4319769.893, 134, B02, S01, 1
B02, Trade, 4319776.343, 62, S07, B02, 1
B02, Trade, 4319781.643, 62, S00, B02, 1
B02, Trade, 4319783.393, 62, S00, B02, 1
B02, Trade, 4319791.543, 66, S09, B02, 1
B02, Trade, 4319800.493, 124, B02, S02, 1
B02, Trade, 4319804.843, 66, S05, B02, 1
B02, Trade, 4319818.193, 72, B02, S00, 1
B02, Trade, 4319824.493, 61, S07, B02, 1
B02, Trade, 4319833.393, 61, S02, B02, 1
B02, Trade, 4319835.993, 88, B02, S01, 1
B02, Trade, 4319845.993, 61, S06, B02, 1
B02, Trade, 4319852.143, 74, S06, B02, 1
