B01, Trade, 4319804.593, 62, S02, B01, 1
B01, Trade, 4319806.243, 132, S01, B01, 1
B01, Trade, 4319813.793, 113, B01, S00, 1
B01, Trade, 4319826.493, 65, S03, B01, 1
B01, Trade, 4319830.593, 60, S03, B01, 1
B01, Trade, 4319834.693, 74, S04, B01, 1
B01, Trade, 4319839.043, 72, S00, B01, 1
B01, Trade, 4319847.643, 110, S02, B01, 1
B01, Trade, 4319851.193, 133, B01, S00, 1
B01, Trade, 4319856.593, 113, B01, S09, 1
B01, Trade, 4319864.243, 108, B01, S08, 1
B01, Trade, 4319871.193, 60, S09, B01, 1
B01, Trade, 4319873.993, 125, B01, S07, 1
B01, Trade, 4319876.593, 122, B01, S06, 1
B01, Trade, 4319883.593, 98, B01, S03, 1
B01, Trade, 4319890.193, 82, B01, S09, 1
B01, Trade, 4319891.143, 68, S05, B01, 1
B01, Trade, 4319899.743, 135, B01, S09, 1
B01, Trade, 4319903.543, 60, S05, B01, 1
B01, Trade, 4319910.493, 60, S09, B01, 1
B01, Trade, 4319916.793, 60, S09, B01, 1
B01, Trade, 4319920.043, 128, S02, B01, 1
B01, Trade, 4319929.093, 64, S09, B01, 1
B01, Trade, 4319931.343, 139, B01, S02, 1
B01, Trade, 4319938.343, 62, S00, B01, 1
B01, Trade, 4319943.043, 75, S03, B01, 1
B01, Trade, 4319949.393, 132, B01, S01, 1
B01, Trade, 4319952.993, 107, B01, S01, 1
B01, Trade, 4319957.893, 75, S02, B01, 1
B01, Trade, 4319963.293, 60, S05, B01, 1
B01, Trade, 4319965.993, 72, S03, B01, 1
B01, Trade, 4319978.243, 71, S04, B01, 1
B01, Trade, 4319987.593, 133, B01, S05, 1
B01, Trade, 4319995.243, 135, B01, S00, 1
B02, 100
B02, Trade, 4319290.743, 120, B02, S01, 1
B02, Trade, 4319310.193, 103, B02, S04, 1
B02, Trade, 4319315.193, 110, B02, S04, 1
B02, Trade, 4319318.143, 122, B02, S05, 1
B02, Trade, 4319321.593, 115, B02, S08, 1
B02, Trade, 4319329.443, 118, B02, S03, 1
B02, Trade, 4319340.043, 65, B02, S00, 1
B02, Trade, 4319348.843, 131, B02, S02, 1
B02, Trade, 4319359.143, 93, B02, S09, 1
B02, Trade, 4319362.793, 91, B02, S08, 1
B02, Trade, 4319369.093, 92, B02, S00, 1
B02, Trade, 4319371.443, 99, B02, S03, 1
B02, Trade, 4319375.593, 132, B02, S07, 1
B02, Trade, 4319387.593, 104, B02, S09, 1
B02, Trade, 4319394.043, 99, B02, S03, 1
B02, Trade, 4319397.943, 77, B02, S03, 1
B02, Trade, 4319399.543, 77, B02, S03, 1
B02, Trade, 4319412.393, 107, B02, S08, 1
B02, Trade, 4319414.843, 114, B02, S06, 1
B02, Trade, 4319427.393, 64, B02, S08, 1
B02, Trade, 4319436.243, 63, B02, S01, 1
B02, Trade, 4319450.643, 67, B02, S01, 1
B02, Trade, 4319462.343, 117, B02, S01, 1
B02, Trade, 4319471.093, 121, B02, S02, 1
B02, Trade, 4319479.543, 136, B02, S00, 1
B02, Trade, 4319481.243, 113, B02, S01, 1
B02, Trade, 4319490.143, 99, B02, S08, 1
B02, Trade, 4319499.093, 92, B02, S06, 1
B02, Trade, 4319504.493, 63, B02, S00, 1
B02, Trade, 4319508.743, 104, B02, S02, 1
B02, Trade, 4319521.043, 132, B02, S00, 1
B02, Trade, 4319525.143, 92, B02, S05, 1
B02, Trade, 4319537.193, 60, B02, S00, 1
B02, Trade, 4319541.893, 91, B02, S01, 1
B02, Trade, 4319551.243, 108, B02, S00, 1
B02, Trade, 4319573.443, 71, B02, S08, 1
B02, Trade, 4319576.343, 85, B02, S05, 1
B02, Trade, 4319580.993, 117, B02, S08, 1
B02, Trade, 4319590.593, 81, B02, S01, 1
B02, Trade, 4319596.093, 119, B02, S00, 1
B02, Trade, 4319601.493, 64, B02, S07, 1
B02, Trade, 4319618.943, 71, B02, S05, 1
B02, Trade, 4319619.393, 67, B02, S00, 1
B02, Trade, 4319631.343, 64, B02, S00, 1
B02, Trade, 4319633.593, 69, B02, S03, 1
B02, Trade, 4319639.893, 69, B02, S05, 1
B02, Trade, 4319643.193, 94, B02, S08, 1
B02, Trade, 4319646.493, 121, B02, S02, 1
B02, Trade, 4319649.343, 108, B02, S01, 1
B02, Trade, 4319670.693, 75, B02, S07, 1
B02, Trade, 4319675.143, 103, B02, S02, 1
B02, Trade, 4319683.893, 77, B02, S05, 1
B02, Trade, 4319689.043, 110, B02, S00, 1
B02, Trade, 4319700.143, 66, B02, S01, 1
B02, Trade, 4319703.743, 83, B02, S09, 1
B02, Trade, 4319706.393, 117, B02, S04, 1
B02, Trade, 4319717.393, 116, B02, S09, 1
B02, Trade, 4319719.643, 95, B02, S08, 1
B02, Trade, 4319725.893, 91, B02, S08, 1
B02, Trade, 4319740.893, 94, B02, S09, 1
B02, Trade, 4319747.793, 134, B02, S07, 1
B02, Trade, 4319755.743, 100, B02, S05, 1
B02, Trade, 4319760.043, 83, B02, S04, 1
B02, Trade, 4319766.143, 122, B02, S06, 1
B02, Trade, 4319770.943, 110, B02, S00, 1
B02, Trade, 4319778.043, 111, B02, S09, 1
B02, Trade, 4319780.593, 116, B02, S05, 1
B02, Trade, 4319790.143, 124, B02, S01, 1
B02, Trade, 4319799.493, 106, B02, S03, 1
B02, Trade, 4319801.143, 74, B02, S05, 1
B02, Trade, 4319807.193, 85, B02, S03, 1
B02, Trade, 4319810.293, 81, B02, S03, 1
B02, Trade, 4319815.293, 84, B02, S02, 1
B02, Trade, 4319820.143, 96, B02, S09, 1
B02, Trade, 4319848.093, 97, B02, S05, 1
B02, Trade, 4319851.293, 131, B02, S08, 1
B02, Trade, 4319854.793, 70, B02, S05, 1
B02, Trade, 4319866.543, 92, B02, S03, 1
B02, Trade, 4319868.793, 95, B02, S02, 1
B02, Trade, 4319870.993, 65, B02, S03, 1
B02, Trade, 4319879.043, 69, B02, S09, 1
B02, Trade, 4319882.893, 119, B02, S00, 1
B02, Trade, 4319886.643, 79, B02, S08, 1
B02, Trade, 4319892.693, 135, B02, S07, 1
B02, Trade, 4319896.893, 86, B02, S03, 1
B02, Trade, 4319899.543, 73, B02, S06, 1
B02, Trade, 4319905.043, 116, B02, S00, 1
B02, Trade, 4319912.893, 95, B02, S08, 1
B02, Trade, 4319919.343, 76, B02, S09, 1
B02, Trade, 4319921.643, 86, B02, S07, 1
B02, Trade, 4319933.293, 91, B02, S05, 1
B02, Trade, 4319940.643, 84, B02, S07, 1
B02, Trade, 4319945.343, 122, B02, S08, 1
B02, Trade, 4319951.143, 80, B02, S03, 1
B02, Trade, 4319960.193, 120, B02, S03, 1
B02, Trade, 4319977.243, 61, B02, S03, 1
B02, Trade, 4319982.493, 131, B02, S02, 1
B02, Trade, 4319985.343, 103, B02, S09, 1
B02, Trade, 4319991.543, 128, B02, S02, 1
B02, Trade, 4319996.593, 122, B02, S00, 1
B03, 100
B03, Trade, 4319331.993, 63, S09, B03, 1
B03, Trade, 4319333.143, 68, S02, B03, 1
B03, Trade, 4319339.443, 73, S05, B03, 1
B03, Trade, 4319346.693, 88, B03, S00, 1
B03, Trade, 4319355.393, 71, S02, B03, 1
B03, Trade, 4319365.743, 99, B03, S03, 1
B03, Trade, 4319380.643, 73, B03, S06, 1
B03, Trade, 4319383.443, 131, B03, S02, 1
B03, Trade, 4319387.243, 119, B03, S04, 1
B03, Trade, 4319393.493, 98, B03, S08, 1
B03, Trade, 4319406.593, 104, B03, S09, 1
B03, Trade, 4319409.893, 127, B03, S09, 1
B03, Trade, 4319418.243, 113, B03, S07, 1
B03, Trade, 4319421.193, 60, S05, B03, 1
B03, Trade, 4319429.143, 110, B03, S01, 1
B03, Trade, 4319432.893, 66, S04, B03, 1
B03, Trade, 4319440.393, 64, S05, B03, 1
B03, Trade, 4319443.593, 83, S03, B03, 1
B03, Trade, 4319448.193, 64, S09, B03, 1
B03, Trade, 4319454.693, 76, B03, S08, 1
B03, Trade, 4319459.843, 61, S02, B03, 1
B03, Trade, 4319463.843, 61, S05, B03, 1
B03, Trade, 4319469.943, 70, S09, B03, 1
B03, Trade, 4319472.593, 109, B03, S09, 1
B03, Trade, 4319479.943, 116, B03, S07, 1
B03, Trade, 4319489.993, 100, B03, S01, 1
B03, Trade, 4319494.943, 62, S00, B03, 1
B03, Trade, 4319498.793, 109, S01, B03, 1
B03, Trade, 4319509.643, 87, B03, S09, 1
B03, Trade, 4319517.293, 70, S03, B03, 1
