B00, 100
B04, Trade, 8638386.382, 95, B04, S02, 1
B04, Trade, 8638400.682, 95, B04, S01, 1
B04, Trade, 8638414.382, 88, B04, S01, 1
B04, Trade, 8638428.232, 95, B04, S04, 1
B04, Trade, 8638436.632, 90, B04, S01, 1
B04, Trade, 8638444.832, 95, B04, S02, 1
B04, Trade, 8638458.582, 95, B04, S02, 1
B04, Trade, 8638466.982, 95, B04, S04, 1
B04, Trade, 8638473.032, 89, B04, S02, 1
B04, Trade, 8638488.732, 95, B04, S01, 1
B04, Trade, 8638507.582, 95, B04, S00, 1
B04, Trade, 8638516.082, 95, B04, S01, 1
B04, Trade, 8638542.932, 95, B04, S02, 1
B04, Trade, 8638554.532, 95, B04, S02, 1
B04, Trade, 8638559.332, 95, B04, S01, 1
B04, Trade, 8638575.682, 95, B04, S02, 1
B04, Trade, 8638621.732, 87, B04, S01, 1
B04, Trade, 8638632.032, 95, B04, S02, 1
B04, Trade, 8638642.332, 95, B04, S01, 1
B04, Trade, 8638661.382, 88, B04, S03, 1
B04, Trade, 8638673.382, 95, B04, S02, 1
B04, Trade, 8638685.232, 95, B04, S01, 1
B04, Trade, 8638716.782, 95, B04, S04, 1
B04, Trade, 8638748.382, 88, B04, S02, 1
B04, Trade, 8638760.132, 95, B04, S02, 1
B04, Trade, 8638779.182, 95, B04, S00, 1
B04, Trade, 8638788.182, 87, B04, S01, 1
B04, Trade, 8638798.182, 95, B04, S04, 1
B04, Trade, 8638809.782, 95, B04, S01, 1
B04, Trade, 8638832.832, 89, B04, S02, 1
B04, Trade, 8638880.832, 95, B04, S04, 1
B04, Trade, 8638883.882, 88, B04, S01, 1
B04, Trade, 8638926.182, 95, B04, S04, 1
B04, Trade, 8638936.882, 85, B04, S02, 1
B04, Trade, 8638952.332, 95, B04, S01, 1
B04, Trade, 8638985.382, 95, B04, S00, 1
B04, Trade, 8638998.882, 90, B04, S02, 1
B04, Trade, 8639024.732, 95, B04, S02, 1
B04, Trade, 8639037.682, 90, B04, S02, 1
B04, Trade, 8639073.082, 95, B04, S02, 1
B04, Trade, 8639091.932, 95, B04, S00, 1
B04, Trade, 8639104.382, 95, B04, S01, 1
B04, Trade, 8639119.082, 95, B04, S02, 1
B04, Trade, 8639122.582, 87, B04, S02, 1
B04, Trade, 8639159.482, 71, S01, B04, 1
B04, Trade, 8639175.182, 95, B04, S02, 1
B04, Trade, 8639178.832, 90, B04, S02, 1
B04, Trade, 8639189.332, 90, B04, S02, 1
B04, Trade, 8639205.482, 95, B04, S02, 1
B04, Trade, 8639240.232, 92, B04, S01, 1
B04, Trade, 8639243.032, 95, B04, S04, 1
B04, Trade, 8639275.582, 95, B04, S04, 1
B04, Trade, 8639310.032, 92, B04, S02, 1
B04, Trade, 8639315.732, 95, B04, S02, 1
B04, Trade, 8639318.082, 89, B04, S02, 1
B04, Trade, 8639331.832, 95, B04, S02, 1
B04, Trade, 8639336.782, 91, B04, S02, 1
B04, Trade, 8639371.032, 95, B04, S01, 1
B04, Trade, 8639401.632, 95, B04, S01, 1
B04, Trade, 8639491.332, 88, B04, S01, 1
B04, Trade, 8639506.632, 95, B04, S02, 1
B04, Trade, 8639535.782, 95, B04, S04, 1
B04, Trade, 8639580.082, 87, B04, S02, 1
B04, Trade, 8639586.732, 95, B04, S02, 1
B04, Trade, 8639607.532, 85, B04, S02, 1
B04, Trade, 8639632.632, 95, B04, S02, 1
B04, Trade, 8639641.332, 92, B04, S02, 1
B04, Trade, 8639649.432, 90, B04, S01, 1
B04, Trade, 8639663.532, 95, B04, S01, 1
B04, Trade, 8639673.632, 95, B04, S01, 1
B04, Trade, 8639692.532, 91, B04, S01, 1
B04, Trade, 8639713.482, 95, B04, S01, 1
B04, Trade, 8639724.832, 95, B04, S00, 1
B04, Trade, 8639739.482, 72, B04, S01, 1
B04, Trade, 8639750.432, 88, B04, S02, 1
B04, Trade, 8639768.532, 95, B04, S03, 1
B04, Trade, 8639803.332, 95, B04, S01, 1
B04, Trade, 8639806.882, 88, B04, S01, 1
B04, Trade, 8639814.982, 88, B04, S01, 1
B04, Trade, 8639852.682, 95, B04, S02, 1
B04, Trade, 8639864.182, 95, B04, S02, 1
B04, Trade, 8639880.632, 94, B04, S01, 1
B04, Trade, 8639888.632, 90, B04, S02, 1
B04, Trade, 8639895.282, 95, B04, S01, 1
B04, Trade, 8639910.082, 95, B04, S02, 1
B04, Trade, 8639915.282, 89, B04, S02, 1
B04, Trade, 8639923.582, 95, B04, S02, 1
B04, Trade, 8639954.232, 95, B04, S04, 1
B04, Trade, 8639959.182, 95, B04, S02, 1
B04, Trade, 8639963.032, 94, B04, S02, 1
B04, Trade, 8639995.782, 91, B04, S01, 1
B05, 100
B05, Trade, 8639423.932, 104, B05, S01, 1
B05, Trade, 8639425.532, 104, B05, S02, 1
B05, Trade, 8639429.132, 104, B05, S04, 1
B05, Trade, 8639434.232, 93, S03, B05, 1
B05, Trade, 8639438.632, 104, B05, S04, 1
B05, Trade, 8639446.082, 103, B05, S01, 1
B05, Trade, 8639450.982, 95, S04, B05, 1
B05, Trade, 8639454.032, 101, S04, B05, 1
B05, Trade, 8639460.982, 90, S03, B05, 1
B05, Trade, 8639462.682, 95, S04, B05, 1
