t=,75600, id=,B00, PRDE,actvstrat=,0.987663, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.597954, actvprof=,0.012501, id=,B06, PRDE,actvstrat=,0.844714, actvprof=,1.566220, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.848392, id=,B09, PRDE,actvstrat=,-0.162319, actvprof=,4.078617, id=,S00, PRDE,actvstrat=,0.420176, actvprof=,4.613098, id=,S01, PRDE,actvstrat=,0.916078, actvprof=,5.595111, id=,S02, PRDE,actvstrat=,-0.438237, actvprof=,0.385027, id=,S08, PRDE,actvstrat=,0.722030, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.300834, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.848392, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.595111, best_S_strat=,0.916078, 
t=,79200, id=,B00, PRDE,actvstrat=,0.987663, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.597954, actvprof=,0.007778, id=,B06, PRDE,actvstrat=,0.844714, actvprof=,1.520608, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.739192, id=,B09, PRDE,actvstrat=,-0.162319, actvprof=,4.278621, id=,S00, PRDE,actvstrat=,0.420176, actvprof=,4.587104, id=,S01, PRDE,actvstrat=,0.916078, actvprof=,5.663391, id=,S02, PRDE,actvstrat=,-0.438237, actvprof=,0.412514, id=,S08, PRDE,actvstrat=,0.722030, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.300834, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.739192, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.663391, best_S_strat=,0.916078, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.411289, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.980119, actvprof=,0.014168, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.902354, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.247587, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.913813, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.357664, id=,S01, PRDE,actvstrat=,-0.702669, actvprof=,0.641433, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.391069, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.913813, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.357664, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.411289, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.980119, actvprof=,0.015139, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.929650, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.162957, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.912879, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.435779, id=,S01, PRDE,actvstrat=,-0.702669, actvprof=,0.568492, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.439564, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.912879, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.435779, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,0.774793, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.471283, actvprof=,0.000278, id=,B06, PRDE,actvstrat=,-0.494891, actvprof=,0.889241, id=,B08, PRDE,actvstrat=,-0.757326, actvprof=,2.885518, id=,B09, PRDE,actvstrat=,0.864810, actvprof=,7.832042, id=,S00, PRDE,actvstrat=,0.461412, actvprof=,3.185821, id=,S01, PRDE,actvstrat=,-0.507072, actvprof=,0.333361, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.879962, id=,S08, PRDE,actvstrat=,-0.974770, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.251560, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.832042, best_B_strat=,0.864810, best_S_id=,S00, best_S_prof=,3.185821, best_S_strat=,0.461412, 
t=,93600, id=,B00, PRDE,actvstrat=,0.774793, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.471283, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,-0.494891, actvprof=,0.893371, id=,B08, PRDE,actvstrat=,-0.757326, actvprof=,2.850674, id=,B09, PRDE,actvstrat=,0.864810, actvprof=,7.875884, id=,S00, PRDE,actvstrat=,0.461412, actvprof=,3.187355, id=,S01, PRDE,actvstrat=,-0.507072, actvprof=,0.353348, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.906510, id=,S08, PRDE,actvstrat=,-0.974770, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.251560, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.875884, best_B_strat=,0.864810, best_S_id=,S00, best_S_prof=,3.187355, best_S_strat=,0.461412, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.179411, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.742701, actvprof=,2.201820, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.366484, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.715189, id=,S00, PRDE,actvstrat=,0.676435, actvprof=,4.995347, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.773387, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.368012, id=,S08, PRDE,actvstrat=,0.921853, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.362218, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.715189, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.995347, best_S_strat=,0.676435, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.179411, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.742701, actvprof=,2.185786, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.393280, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.736531, id=,S00, PRDE,actvstrat=,0.676435, actvprof=,4.916733, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.826729, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.343195, id=,S08, PRDE,actvstrat=,0.921853, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.362218, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.736531, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.916733, best_S_strat=,0.676435, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.301714, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.531116, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.934238, actvprof=,1.124260, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.780037, id=,B09, PRDE,actvstrat=,-0.117937, actvprof=,3.688085, id=,S00, PRDE,actvstrat=,-0.600482, actvprof=,1.189544, id=,S01, PRDE,actvstrat=,0.000706, actvprof=,2.384365, id=,S02, PRDE,actvstrat=,0.661269, actvprof=,2.926911, id=,S08, PRDE,actvstrat=,-0.557597, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.532701, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.780037, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.926911, best_S_strat=,0.661269, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.301714, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.531116, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,0.934238, actvprof=,1.152679, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.889579, id=,B09, PRDE,actvstrat=,-0.117937, actvprof=,3.751936, id=,S00, PRDE,actvstrat=,-0.600482, actvprof=,1.132678, id=,S01, PRDE,actvstrat=,0.000706, actvprof=,2.432446, id=,S02, PRDE,actvstrat=,0.661269, actvprof=,2.994826, id=,S08, PRDE,actvstrat=,-0.557597, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.532701, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.889579, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.994826, best_S_strat=,0.661269, 
