t=,75600, id=,B02, PRDE,actvstrat=,-0.258268, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,-0.716240, actvprof=,0.184452, id=,B06, PRDE,actvstrat=,0.128955, actvprof=,1.893412, id=,B08, PRDE,actvstrat=,-0.815308, actvprof=,2.642888, id=,B09, PRDE,actvstrat=,0.044952, actvprof=,6.237482, id=,S00, PRDE,actvstrat=,0.625520, actvprof=,5.264664, id=,S03, PRDE,actvstrat=,-0.286340, actvprof=,0.082781, id=,S05, PRDE,actvstrat=,0.668846, actvprof=,0.041391, id=,S06, PRDE,actvstrat=,0.735315, actvprof=,0.016112, id=,S08, PRDE,actvstrat=,-0.165099, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.237482, best_B_strat=,0.044952, best_S_id=,S00, best_S_prof=,5.264664, best_S_strat=,0.625520, 
t=,79200, id=,B02, PRDE,actvstrat=,-0.258268, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,-0.716240, actvprof=,0.186393, id=,B06, PRDE,actvstrat=,0.128955, actvprof=,1.809482, id=,B08, PRDE,actvstrat=,-0.815308, actvprof=,2.709223, id=,B09, PRDE,actvstrat=,0.044952, actvprof=,6.358744, id=,S00, PRDE,actvstrat=,0.625520, actvprof=,5.216914, id=,S03, PRDE,actvstrat=,-0.286340, actvprof=,0.084585, id=,S05, PRDE,actvstrat=,0.668846, actvprof=,0.043334, id=,S06, PRDE,actvstrat=,0.735315, actvprof=,0.015973, id=,S08, PRDE,actvstrat=,-0.165099, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.358744, best_B_strat=,0.044952, best_S_id=,S00, best_S_prof=,5.216914, best_S_strat=,0.625520, 
t=,82800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.412492, actvprof=,0.186397, id=,B06, PRDE,actvstrat=,-0.084740, actvprof=,0.686417, id=,B08, PRDE,actvstrat=,-0.204062, actvprof=,2.879287, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.864175, id=,S00, PRDE,actvstrat=,-0.835463, actvprof=,2.007584, id=,S03, PRDE,actvstrat=,-0.941355, actvprof=,0.484742, id=,S05, PRDE,actvstrat=,0.215976, actvprof=,0.035557, id=,S06, PRDE,actvstrat=,-0.775106, actvprof=,0.003333, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000278, best_B_id=,B09, best_B_prof=,6.864175, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,2.007584, best_S_strat=,-0.835463, 
t=,86400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.412492, actvprof=,0.206949, id=,B06, PRDE,actvstrat=,-0.084740, actvprof=,0.639458, id=,B08, PRDE,actvstrat=,-0.204062, actvprof=,2.924089, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.860837, id=,S00, PRDE,actvstrat=,-0.835463, actvprof=,1.953374, id=,S03, PRDE,actvstrat=,-0.941355, actvprof=,0.494455, id=,S05, PRDE,actvstrat=,0.215976, actvprof=,0.033751, id=,S06, PRDE,actvstrat=,-0.775106, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000417, best_B_id=,B09, best_B_prof=,6.860837, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,1.953374, best_S_strat=,-0.835463, 
t=,90000, id=,B02, PRDE,actvstrat=,-0.817547, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.043111, actvprof=,0.504188, id=,B06, PRDE,actvstrat=,0.834448, actvprof=,2.567607, id=,B08, PRDE,actvstrat=,-0.395721, actvprof=,2.892065, id=,B09, PRDE,actvstrat=,0.774551, actvprof=,6.770004, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.978027, id=,S03, PRDE,actvstrat=,0.487241, actvprof=,1.002542, id=,S05, PRDE,actvstrat=,0.348519, actvprof=,0.070836, id=,S06, PRDE,actvstrat=,-0.171920, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.986800, actvprof=,0.001945, best_B_id=,B09, best_B_prof=,6.770004, best_B_strat=,0.774551, best_S_id=,S00, best_S_prof=,5.978027, best_S_strat=,-1.000000, 
t=,93600, id=,B02, PRDE,actvstrat=,-0.817547, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.043111, actvprof=,0.431953, id=,B06, PRDE,actvstrat=,0.834448, actvprof=,2.479357, id=,B08, PRDE,actvstrat=,-0.395721, actvprof=,2.941450, id=,B09, PRDE,actvstrat=,0.774551, actvprof=,6.871949, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.998597, id=,S03, PRDE,actvstrat=,0.487241, actvprof=,1.046966, id=,S05, PRDE,actvstrat=,0.348519, actvprof=,0.077085, id=,S06, PRDE,actvstrat=,-0.171920, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,-0.986800, actvprof=,0.002361, best_B_id=,B09, best_B_prof=,6.871949, best_B_strat=,0.774551, best_S_id=,S00, best_S_prof=,5.998597, best_S_strat=,-1.000000, 
t=,97200, id=,B02, PRDE,actvstrat=,-0.523892, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.795756, actvprof=,0.201956, id=,B06, PRDE,actvstrat=,-0.661890, actvprof=,1.137008, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.526751, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.662648, id=,S00, PRDE,actvstrat=,0.266626, actvprof=,3.748264, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.208400, id=,S05, PRDE,actvstrat=,-0.421086, actvprof=,0.007500, id=,S06, PRDE,actvstrat=,0.501283, actvprof=,0.019446, id=,S08, PRDE,actvstrat=,0.743090, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.662648, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.748264, best_S_strat=,0.266626, 
t=,100800, id=,B02, PRDE,actvstrat=,-0.523892, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.795756, actvprof=,0.230284, id=,B06, PRDE,actvstrat=,-0.661890, actvprof=,1.158088, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.535459, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.614795, id=,S00, PRDE,actvstrat=,0.266626, actvprof=,3.869135, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.174338, id=,S05, PRDE,actvstrat=,-0.421086, actvprof=,0.011389, id=,S06, PRDE,actvstrat=,0.501283, actvprof=,0.019028, id=,S08, PRDE,actvstrat=,0.743090, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.614795, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.869135, best_S_strat=,0.266626, 
t=,104400, id=,B02, PRDE,actvstrat=,-0.479303, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.239599, actvprof=,0.235013, id=,B06, PRDE,actvstrat=,0.128955, actvprof=,1.664815, id=,B08, PRDE,actvstrat=,-0.416307, actvprof=,3.546308, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.503195, id=,S00, PRDE,actvstrat=,0.266626, actvprof=,4.272182, id=,S03, PRDE,actvstrat=,0.441337, actvprof=,0.764765, id=,S05, PRDE,actvstrat=,-0.272913, actvprof=,0.048892, id=,S06, PRDE,actvstrat=,0.523366, actvprof=,0.020834, id=,S08, PRDE,actvstrat=,0.469331, actvprof=,0.001945, best_B_id=,B09, best_B_prof=,7.503195, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.272182, best_S_strat=,0.266626, 
t=,108000, id=,B02, PRDE,actvstrat=,-0.479303, actvprof=,0.000417, id=,B05, PRDE,actvstrat=,-0.239599, actvprof=,0.235562, id=,B06, PRDE,actvstrat=,0.128955, actvprof=,1.715048, id=,B08, PRDE,actvstrat=,-0.416307, actvprof=,3.493847, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.441873, id=,S00, PRDE,actvstrat=,0.266626, actvprof=,4.228729, id=,S03, PRDE,actvstrat=,0.441337, actvprof=,0.798217, id=,S05, PRDE,actvstrat=,-0.272913, actvprof=,0.034168, id=,S06, PRDE,actvstrat=,0.523366, actvprof=,0.036807, id=,S08, PRDE,actvstrat=,0.469331, actvprof=,0.000972, best_B_id=,B09, best_B_prof=,7.441873, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.228729, best_S_strat=,0.266626, 
