t=,79200, id=,B02, PRDE,actvstrat=,0.619794, actvprof=,0.005417, id=,B03, PRDE,actvstrat=,-0.760690, actvprof=,0.015834, id=,B04, PRDE,actvstrat=,0.407343, actvprof=,0.082224, id=,B05, PRDE,actvstrat=,-0.360334, actvprof=,0.192504, id=,B06, PRDE,actvstrat=,0.444424, actvprof=,1.909206, id=,S00, PRDE,actvstrat=,-0.293926, actvprof=,1.438919, id=,S01, PRDE,actvstrat=,0.976089, actvprof=,4.852601, id=,S03, PRDE,actvstrat=,-0.404365, actvprof=,0.059585, id=,S06, PRDE,actvstrat=,0.505024, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.904855, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.909206, best_B_strat=,0.444424, best_S_id=,S01, best_S_prof=,4.852601, best_S_strat=,0.976089, 
t=,82800, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.827811, actvprof=,0.010000, id=,B04, PRDE,actvstrat=,0.804474, actvprof=,0.033335, id=,B05, PRDE,actvstrat=,0.787978, actvprof=,0.637527, id=,B06, PRDE,actvstrat=,-0.588707, actvprof=,0.597247, id=,S00, PRDE,actvstrat=,0.667672, actvprof=,5.460783, id=,S01, PRDE,actvstrat=,-0.184889, actvprof=,1.097546, id=,S03, PRDE,actvstrat=,0.527056, actvprof=,0.870592, id=,S06, PRDE,actvstrat=,0.793019, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.651865, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.637527, best_B_strat=,0.787978, best_S_id=,S00, best_S_prof=,5.460783, best_S_strat=,0.667672, 
t=,86400, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.827811, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,0.804474, actvprof=,0.044862, id=,B05, PRDE,actvstrat=,0.787978, actvprof=,0.602651, id=,B06, PRDE,actvstrat=,-0.588707, actvprof=,0.552095, id=,S00, PRDE,actvstrat=,0.667672, actvprof=,5.448030, id=,S01, PRDE,actvstrat=,-0.184889, actvprof=,1.123773, id=,S03, PRDE,actvstrat=,0.527056, actvprof=,0.866963, id=,S06, PRDE,actvstrat=,0.793019, actvprof=,0.000694, id=,S07, PRDE,actvstrat=,-0.651865, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.602651, best_B_strat=,0.787978, best_S_id=,S00, best_S_prof=,5.448030, best_S_strat=,0.667672, 
t=,90000, id=,B02, PRDE,actvstrat=,-0.391870, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.116147, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,0.369004, actvprof=,0.051947, id=,B05, PRDE,actvstrat=,0.787978, actvprof=,0.423351, id=,B06, PRDE,actvstrat=,0.627256, actvprof=,1.363390, id=,S00, PRDE,actvstrat=,0.928830, actvprof=,7.356140, id=,S01, PRDE,actvstrat=,0.062763, actvprof=,2.660389, id=,S03, PRDE,actvstrat=,-0.297758, actvprof=,0.227787, id=,S06, PRDE,actvstrat=,0.623355, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.536876, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.363390, best_B_strat=,0.627256, best_S_id=,S00, best_S_prof=,7.356140, best_S_strat=,0.928830, 
t=,93600, id=,B02, PRDE,actvstrat=,-0.391870, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.116147, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,0.369004, actvprof=,0.039445, id=,B05, PRDE,actvstrat=,0.787978, actvprof=,0.368202, id=,B06, PRDE,actvstrat=,0.627256, actvprof=,1.322528, id=,S00, PRDE,actvstrat=,0.928830, actvprof=,7.390015, id=,S01, PRDE,actvstrat=,0.062763, actvprof=,2.541720, id=,S03, PRDE,actvstrat=,-0.297758, actvprof=,0.190698, id=,S06, PRDE,actvstrat=,0.623355, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.536876, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.322528, best_B_strat=,0.627256, best_S_id=,S00, best_S_prof=,7.390015, best_S_strat=,0.928830, 
t=,97200, id=,B02, PRDE,actvstrat=,0.407637, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.029446, id=,B04, PRDE,actvstrat=,0.029303, actvprof=,0.021945, id=,B05, PRDE,actvstrat=,0.176279, actvprof=,0.335292, id=,B06, PRDE,actvstrat=,0.318607, actvprof=,1.543953, id=,S00, PRDE,actvstrat=,0.848914, actvprof=,6.406378, id=,S01, PRDE,actvstrat=,-0.094184, actvprof=,1.397280, id=,S03, PRDE,actvstrat=,0.399099, actvprof=,0.514188, id=,S06, PRDE,actvstrat=,0.711191, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.543953, best_B_strat=,0.318607, best_S_id=,S00, best_S_prof=,6.406378, best_S_strat=,0.848914, 
t=,100800, id=,B02, PRDE,actvstrat=,0.407637, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.019584, id=,B04, PRDE,actvstrat=,0.029303, actvprof=,0.022084, id=,B05, PRDE,actvstrat=,0.176279, actvprof=,0.394869, id=,B06, PRDE,actvstrat=,0.318607, actvprof=,1.635729, id=,S00, PRDE,actvstrat=,0.848914, actvprof=,6.314854, id=,S01, PRDE,actvstrat=,-0.094184, actvprof=,1.240581, id=,S03, PRDE,actvstrat=,0.399099, actvprof=,0.499455, id=,S06, PRDE,actvstrat=,0.711191, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.635729, best_B_strat=,0.318607, best_S_id=,S00, best_S_prof=,6.314854, best_S_strat=,0.848914, 
t=,104400, id=,B02, PRDE,actvstrat=,-0.123800, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.760690, actvprof=,0.009445, id=,B04, PRDE,actvstrat=,0.813423, actvprof=,0.184174, id=,B05, PRDE,actvstrat=,-0.773791, actvprof=,0.178341, id=,B06, PRDE,actvstrat=,0.300805, actvprof=,2.080364, id=,S00, PRDE,actvstrat=,0.667672, actvprof=,4.824923, id=,S01, PRDE,actvstrat=,-0.055649, actvprof=,1.187827, id=,S03, PRDE,actvstrat=,0.843970, actvprof=,0.951706, id=,S06, PRDE,actvstrat=,0.458613, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.080364, best_B_strat=,0.300805, best_S_id=,S00, best_S_prof=,4.824923, best_S_strat=,0.667672, 
t=,108000, id=,B02, PRDE,actvstrat=,-0.123800, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.760690, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,0.813423, actvprof=,0.173198, id=,B05, PRDE,actvstrat=,-0.773791, actvprof=,0.199032, id=,B06, PRDE,actvstrat=,0.300805, actvprof=,2.051571, id=,S00, PRDE,actvstrat=,0.667672, actvprof=,4.811211, id=,S01, PRDE,actvstrat=,-0.055649, actvprof=,1.216692, id=,S03, PRDE,actvstrat=,0.843970, actvprof=,0.964603, id=,S06, PRDE,actvstrat=,0.458613, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.051571, best_B_strat=,0.300805, best_S_id=,S00, best_S_prof=,4.811211, best_S_strat=,0.667672, 
t=,111600, id=,B02, PRDE,actvstrat=,-0.456595, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.031476, actvprof=,0.013334, id=,B05, PRDE,actvstrat=,0.344328, actvprof=,0.317513, id=,B06, PRDE,actvstrat=,0.396185, actvprof=,1.565343, id=,S00, PRDE,actvstrat=,0.241525, actvprof=,3.907941, id=,S01, PRDE,actvstrat=,-0.109597, actvprof=,1.260330, id=,S03, PRDE,actvstrat=,0.278257, actvprof=,0.616692, id=,S06, PRDE,actvstrat=,0.834803, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-0.990168, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.565343, best_B_strat=,0.396185, best_S_id=,S00, best_S_prof=,3.907941, best_S_strat=,0.241525, 
