t=,75600, id=,B02, PRDE,actvstrat=,0.132244, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.870431, actvprof=,0.041392, id=,B06, PRDE,actvstrat=,-0.081983, actvprof=,2.361553, id=,B07, PRDE,actvstrat=,-0.549251, actvprof=,3.393013, id=,B09, PRDE,actvstrat=,0.435860, actvprof=,8.579207, id=,S00, PRDE,actvstrat=,0.717306, actvprof=,3.464963, id=,S05, PRDE,actvstrat=,0.852680, actvprof=,0.008612, id=,S07, PRDE,actvstrat=,-0.049143, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.957214, actvprof=,0.000556, id=,S09, PRDE,actvstrat=,-0.786787, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.579207, best_B_strat=,0.435860, best_S_id=,S00, best_S_prof=,3.464963, best_S_strat=,0.717306, 
t=,79200, id=,B02, PRDE,actvstrat=,0.132244, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.870431, actvprof=,0.032362, id=,B06, PRDE,actvstrat=,-0.081983, actvprof=,2.358693, id=,B07, PRDE,actvstrat=,-0.549251, actvprof=,3.365117, id=,B09, PRDE,actvstrat=,0.435860, actvprof=,8.440571, id=,S00, PRDE,actvstrat=,0.717306, actvprof=,3.458176, id=,S05, PRDE,actvstrat=,0.852680, actvprof=,0.011250, id=,S07, PRDE,actvstrat=,-0.049143, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.957214, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,-0.786787, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.440571, best_B_strat=,0.435860, best_S_id=,S00, best_S_prof=,3.458176, best_S_strat=,0.717306, 
t=,82800, id=,B02, PRDE,actvstrat=,-0.214859, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.037781, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.485207, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.118677, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.327555, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.687780, id=,S05, PRDE,actvstrat=,0.437848, actvprof=,0.023335, id=,S07, PRDE,actvstrat=,0.154817, actvprof=,0.002778, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.011112, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.327555, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.687780, best_S_strat=,-1.000000, 
t=,86400, id=,B02, PRDE,actvstrat=,-0.214859, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.037362, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.512275, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.141892, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.405571, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.579026, id=,S05, PRDE,actvstrat=,0.437848, actvprof=,0.018889, id=,S07, PRDE,actvstrat=,0.154817, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.013195, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.405571, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.579026, best_S_strat=,-1.000000, 
t=,90000, id=,B02, PRDE,actvstrat=,-0.117165, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.565105, actvprof=,0.046115, id=,B06, PRDE,actvstrat=,0.174609, actvprof=,1.438731, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.030891, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.387282, id=,S00, PRDE,actvstrat=,0.361292, actvprof=,3.180543, id=,S05, PRDE,actvstrat=,0.217641, actvprof=,0.035281, id=,S07, PRDE,actvstrat=,-0.781134, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.856923, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.931600, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.387282, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.180543, best_S_strat=,0.361292, 
t=,93600, id=,B02, PRDE,actvstrat=,-0.117165, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.565105, actvprof=,0.050974, id=,B06, PRDE,actvstrat=,0.174609, actvprof=,1.537276, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.160839, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.528317, id=,S00, PRDE,actvstrat=,0.361292, actvprof=,3.176499, id=,S05, PRDE,actvstrat=,0.217641, actvprof=,0.030418, id=,S07, PRDE,actvstrat=,-0.781134, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.856923, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.931600, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.528317, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.176499, best_S_strat=,0.361292, 
t=,97200, id=,B02, PRDE,actvstrat=,0.352898, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.003611, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.071839, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.913659, id=,B09, PRDE,actvstrat=,-0.576459, actvprof=,4.472595, id=,S00, PRDE,actvstrat=,-0.593563, actvprof=,1.055921, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.045837, id=,S07, PRDE,actvstrat=,-0.066606, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.179733, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.472595, best_B_strat=,-0.576459, best_S_id=,S00, best_S_prof=,1.055921, best_S_strat=,-0.593563, 
t=,100800, id=,B02, PRDE,actvstrat=,0.352898, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.002361, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.153145, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.936970, id=,B09, PRDE,actvstrat=,-0.576459, actvprof=,4.523244, id=,S00, PRDE,actvstrat=,-0.593563, actvprof=,0.916566, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.043752, id=,S07, PRDE,actvstrat=,-0.066606, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.179733, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.523244, best_B_strat=,-0.576459, best_S_id=,S00, best_S_prof=,0.916566, best_S_strat=,-0.593563, 
t=,104400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.349647, actvprof=,0.001945, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.492645, id=,B07, PRDE,actvstrat=,0.524247, actvprof=,2.651369, id=,B09, PRDE,actvstrat=,0.718887, actvprof=,6.358952, id=,S00, PRDE,actvstrat=,-0.286602, actvprof=,1.366244, id=,S05, PRDE,actvstrat=,0.018392, actvprof=,0.015279, id=,S07, PRDE,actvstrat=,-0.685656, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.781549, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.266503, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.358952, best_B_strat=,0.718887, best_S_id=,S00, best_S_prof=,1.366244, best_S_strat=,-0.286602, 
t=,108000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.349647, actvprof=,0.000972, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.553548, id=,B07, PRDE,actvstrat=,0.524247, actvprof=,2.707215, id=,B09, PRDE,actvstrat=,0.718887, actvprof=,6.376699, id=,S00, PRDE,actvstrat=,-0.286602, actvprof=,1.218393, id=,S05, PRDE,actvstrat=,0.018392, actvprof=,0.018195, id=,S07, PRDE,actvstrat=,-0.685656, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,-0.781549, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.266503, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.376699, best_B_strat=,0.718887, best_S_id=,S00, best_S_prof=,1.218393, best_S_strat=,-0.286602, 
