t=,75600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.113063, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.895618, id=,B07, PRDE,actvstrat=,0.087701, actvprof=,2.724634, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.700743, id=,S00, PRDE,actvstrat=,0.656750, actvprof=,4.832836, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.011806, id=,S07, PRDE,actvstrat=,-0.960206, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.592814, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.700743, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.832836, best_S_strat=,0.656750, 
t=,79200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.102226, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.876003, id=,B07, PRDE,actvstrat=,0.087701, actvprof=,2.700649, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.701205, id=,S00, PRDE,actvstrat=,0.656750, actvprof=,4.808639, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.985069, id=,S07, PRDE,actvstrat=,-0.960206, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.592814, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.701205, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.808639, best_S_strat=,0.656750, 
t=,82800, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.529635, actvprof=,0.045837, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.606709, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.221613, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.990208, id=,S00, PRDE,actvstrat=,-0.822081, actvprof=,0.403361, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.351552, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.990208, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,2.351552, best_S_strat=,1.000000, 
t=,86400, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.529635, actvprof=,0.036112, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.528491, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.208445, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.958714, id=,S00, PRDE,actvstrat=,-0.822081, actvprof=,0.434043, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.415084, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.958714, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,2.415084, best_S_strat=,1.000000, 
t=,90000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.022779, id=,B05, PRDE,actvstrat=,-0.373699, actvprof=,0.085561, id=,B07, PRDE,actvstrat=,0.250234, actvprof=,2.954650, id=,B09, PRDE,actvstrat=,0.498668, actvprof=,7.036878, id=,S00, PRDE,actvstrat=,0.053316, actvprof=,2.668796, id=,S03, PRDE,actvstrat=,0.045398, actvprof=,0.297521, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.589694, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.036878, best_B_strat=,0.498668, best_S_id=,S00, best_S_prof=,2.668796, best_S_strat=,0.053316, 
t=,93600, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.031668, id=,B05, PRDE,actvstrat=,-0.373699, actvprof=,0.082920, id=,B07, PRDE,actvstrat=,0.250234, actvprof=,3.031633, id=,B09, PRDE,actvstrat=,0.498668, actvprof=,7.076773, id=,S00, PRDE,actvstrat=,0.053316, actvprof=,2.556755, id=,S03, PRDE,actvstrat=,0.045398, actvprof=,0.279732, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.589694, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.076773, best_B_strat=,0.498668, best_S_id=,S00, best_S_prof=,2.556755, best_S_strat=,0.053316, 
t=,97200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.015834, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.360581, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.439961, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.780957, id=,S00, PRDE,actvstrat=,-0.145567, actvprof=,1.495104, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.614348, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.830291, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.156317, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.780957, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,2.614348, best_S_strat=,-1.000000, 
t=,100800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.011389, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.372374, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.467204, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.887149, id=,S00, PRDE,actvstrat=,-0.145567, actvprof=,1.562554, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.619535, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,0.830291, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.156317, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.887149, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,2.619535, best_S_strat=,-1.000000, 
t=,104400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.031947, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.551705, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.635808, id=,B09, PRDE,actvstrat=,0.554568, actvprof=,6.329606, id=,S00, PRDE,actvstrat=,0.119610, actvprof=,3.114383, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.500729, id=,S07, PRDE,actvstrat=,0.873323, actvprof=,0.007223, id=,S08, PRDE,actvstrat=,-0.915146, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.329606, best_B_strat=,0.554568, best_S_id=,S00, best_S_prof=,3.114383, best_S_strat=,0.119610, 
t=,108000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.041113, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.600719, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.686820, id=,B09, PRDE,actvstrat=,0.554568, actvprof=,6.437074, id=,S00, PRDE,actvstrat=,0.119610, actvprof=,3.110685, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.457741, id=,S07, PRDE,actvstrat=,0.873323, actvprof=,0.005139, id=,S08, PRDE,actvstrat=,-0.915146, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.437074, best_B_strat=,0.554568, best_S_id=,S00, best_S_prof=,3.110685, best_S_strat=,0.119610, 
