t=,75600, id=,B01, PRDE,actvstrat=,-0.415840, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.013891, id=,B06, PRDE,actvstrat=,-0.533269, actvprof=,0.398105, id=,B07, PRDE,actvstrat=,-0.101170, actvprof=,1.885236, id=,B08, PRDE,actvstrat=,-0.598004, actvprof=,2.715617, id=,S00, PRDE,actvstrat=,0.551429, actvprof=,4.196914, id=,S03, PRDE,actvstrat=,0.590531, actvprof=,0.681196, id=,S04, PRDE,actvstrat=,-0.538461, actvprof=,0.005556, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.899331, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.715617, best_B_strat=,-0.598004, best_S_id=,S00, best_S_prof=,4.196914, best_S_strat=,0.551429, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.415840, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.014723, id=,B06, PRDE,actvstrat=,-0.533269, actvprof=,0.444608, id=,B07, PRDE,actvstrat=,-0.101170, actvprof=,1.854686, id=,B08, PRDE,actvstrat=,-0.598004, actvprof=,2.805295, id=,S00, PRDE,actvstrat=,0.551429, actvprof=,4.146897, id=,S03, PRDE,actvstrat=,0.590531, actvprof=,0.653509, id=,S04, PRDE,actvstrat=,-0.538461, actvprof=,0.004722, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.899331, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.805295, best_B_strat=,-0.598004, best_S_id=,S00, best_S_prof=,4.146897, best_S_strat=,0.551429, 
t=,82800, id=,B01, PRDE,actvstrat=,0.747285, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.091480, actvprof=,0.002500, id=,B06, PRDE,actvstrat=,0.368232, actvprof=,0.847050, id=,B07, PRDE,actvstrat=,0.006736, actvprof=,1.690767, id=,B08, PRDE,actvstrat=,-0.310030, actvprof=,2.376964, id=,S00, PRDE,actvstrat=,-0.521878, actvprof=,1.081802, id=,S03, PRDE,actvstrat=,-0.300586, actvprof=,0.082788, id=,S04, PRDE,actvstrat=,0.617313, actvprof=,0.345321, id=,S06, PRDE,actvstrat=,-0.521908, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.003334, best_B_id=,B08, best_B_prof=,2.376964, best_B_strat=,-0.310030, best_S_id=,S00, best_S_prof=,1.081802, best_S_strat=,-0.521878, 
t=,86400, id=,B01, PRDE,actvstrat=,0.747285, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.091480, actvprof=,0.001250, id=,B06, PRDE,actvstrat=,0.368232, actvprof=,0.834352, id=,B07, PRDE,actvstrat=,0.006736, actvprof=,1.726624, id=,B08, PRDE,actvstrat=,-0.310030, actvprof=,2.436802, id=,S00, PRDE,actvstrat=,-0.521878, actvprof=,1.072421, id=,S03, PRDE,actvstrat=,-0.300586, actvprof=,0.094866, id=,S04, PRDE,actvstrat=,0.617313, actvprof=,0.323351, id=,S06, PRDE,actvstrat=,-0.521908, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.003056, best_B_id=,B08, best_B_prof=,2.436802, best_B_strat=,-0.310030, best_S_id=,S00, best_S_prof=,1.072421, best_S_strat=,-0.521878, 
t=,90000, id=,B01, PRDE,actvstrat=,0.693870, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.121776, actvprof=,0.002223, id=,B06, PRDE,actvstrat=,0.892035, actvprof=,0.629245, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.724938, id=,B08, PRDE,actvstrat=,-0.429512, actvprof=,1.092081, id=,S00, PRDE,actvstrat=,-0.503527, actvprof=,1.761053, id=,S03, PRDE,actvstrat=,-0.004155, actvprof=,0.877888, id=,S04, PRDE,actvstrat=,-0.623425, actvprof=,0.088067, id=,S06, PRDE,actvstrat=,-0.854212, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.385059, actvprof=,0.000556, best_B_id=,B07, best_B_prof=,1.724938, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,1.761053, best_S_strat=,-0.503527, 
t=,93600, id=,B01, PRDE,actvstrat=,0.693870, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.121776, actvprof=,0.001111, id=,B06, PRDE,actvstrat=,0.892035, actvprof=,0.633790, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.732330, id=,B08, PRDE,actvstrat=,-0.429512, actvprof=,1.102986, id=,S00, PRDE,actvstrat=,-0.503527, actvprof=,1.674827, id=,S03, PRDE,actvstrat=,-0.004155, actvprof=,0.940059, id=,S04, PRDE,actvstrat=,-0.623425, actvprof=,0.089728, id=,S06, PRDE,actvstrat=,-0.854212, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.385059, actvprof=,0.000278, best_B_id=,B07, best_B_prof=,1.732330, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,1.674827, best_S_strat=,-0.503527, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.555270, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.015558, id=,B06, PRDE,actvstrat=,0.056971, actvprof=,1.094581, id=,B07, PRDE,actvstrat=,-0.496178, actvprof=,1.397397, id=,B08, PRDE,actvstrat=,0.118370, actvprof=,3.913545, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.102152, id=,S03, PRDE,actvstrat=,-0.448407, actvprof=,0.083899, id=,S04, PRDE,actvstrat=,-0.586341, actvprof=,0.001945, id=,S06, PRDE,actvstrat=,-0.532799, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.004723, best_B_id=,B08, best_B_prof=,3.913545, best_B_strat=,0.118370, best_S_id=,S00, best_S_prof=,6.102152, best_S_strat=,-1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.555270, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.009862, id=,B06, PRDE,actvstrat=,0.056971, actvprof=,1.072984, id=,B07, PRDE,actvstrat=,-0.496178, actvprof=,1.377725, id=,B08, PRDE,actvstrat=,0.118370, actvprof=,3.944552, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.165385, id=,S03, PRDE,actvstrat=,-0.448407, actvprof=,0.079588, id=,S04, PRDE,actvstrat=,-0.586341, actvprof=,0.004723, id=,S06, PRDE,actvstrat=,-0.532799, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.004584, best_B_id=,B08, best_B_prof=,3.944552, best_B_strat=,0.118370, best_S_id=,S00, best_S_prof=,6.165385, best_S_strat=,-1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.878319, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.110970, actvprof=,0.093623, id=,B06, PRDE,actvstrat=,0.276022, actvprof=,2.008307, id=,B07, PRDE,actvstrat=,-0.496178, actvprof=,2.484755, id=,B08, PRDE,actvstrat=,0.315545, actvprof=,5.524302, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.757664, id=,S03, PRDE,actvstrat=,0.590531, actvprof=,0.334764, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.328652, id=,S06, PRDE,actvstrat=,0.270262, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.650127, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.524302, best_B_strat=,0.315545, best_S_id=,S00, best_S_prof=,5.757664, best_S_strat=,1.000000, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.878319, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.110970, actvprof=,0.081253, id=,B06, PRDE,actvstrat=,0.276022, actvprof=,1.955485, id=,B07, PRDE,actvstrat=,-0.496178, actvprof=,2.443835, id=,B08, PRDE,actvstrat=,0.315545, actvprof=,5.448939, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.835758, id=,S03, PRDE,actvstrat=,0.590531, actvprof=,0.344318, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.330845, id=,S06, PRDE,actvstrat=,0.270262, actvprof=,0.001806, id=,S07, PRDE,actvstrat=,0.650127, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.448939, best_B_strat=,0.315545, best_S_id=,S00, best_S_prof=,5.835758, best_S_strat=,1.000000, 
