t=,75600, id=,B01, PRDE,actvstrat=,0.247163, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.634008, actvprof=,0.134180, id=,B06, PRDE,actvstrat=,0.041143, actvprof=,1.337074, id=,B07, PRDE,actvstrat=,0.724447, actvprof=,4.001222, id=,B09, PRDE,actvstrat=,-0.015362, actvprof=,5.709444, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.494326, id=,S02, PRDE,actvstrat=,0.760980, actvprof=,2.003528, id=,S04, PRDE,actvstrat=,-0.015411, actvprof=,0.021113, id=,S08, PRDE,actvstrat=,0.900245, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.865284, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.709444, best_B_strat=,-0.015362, best_S_id=,S01, best_S_prof=,4.494326, best_S_strat=,-1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,0.247163, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.634008, actvprof=,0.141951, id=,B06, PRDE,actvstrat=,0.041143, actvprof=,1.370067, id=,B07, PRDE,actvstrat=,0.724447, actvprof=,3.994778, id=,B09, PRDE,actvstrat=,-0.015362, actvprof=,5.735418, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.405075, id=,S02, PRDE,actvstrat=,0.760980, actvprof=,1.941205, id=,S04, PRDE,actvstrat=,-0.015411, actvprof=,0.024446, id=,S08, PRDE,actvstrat=,0.900245, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.865284, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.735418, best_B_strat=,-0.015362, best_S_id=,S01, best_S_prof=,4.405075, best_S_strat=,-1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.214364, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.049449, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.746184, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.066868, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.967983, id=,S01, PRDE,actvstrat=,-0.638354, actvprof=,0.928146, id=,S02, PRDE,actvstrat=,-0.979237, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.871062, actvprof=,1.612935, id=,S08, PRDE,actvstrat=,-0.379434, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.967983, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,1.612935, best_S_strat=,0.871062, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.214364, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.046669, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.733786, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.101630, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.968158, id=,S01, PRDE,actvstrat=,-0.638354, actvprof=,0.954352, id=,S02, PRDE,actvstrat=,-0.979237, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.871062, actvprof=,1.621190, id=,S08, PRDE,actvstrat=,-0.379434, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.968158, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,1.621190, best_S_strat=,0.871062, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.214364, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.165357, actvprof=,0.301974, id=,B06, PRDE,actvstrat=,0.983644, actvprof=,1.558763, id=,B07, PRDE,actvstrat=,0.292568, actvprof=,2.649424, id=,B09, PRDE,actvstrat=,0.944807, actvprof=,6.443960, id=,S01, PRDE,actvstrat=,0.376333, actvprof=,2.385510, id=,S02, PRDE,actvstrat=,0.972424, actvprof=,3.427833, id=,S04, PRDE,actvstrat=,0.746239, actvprof=,0.439765, id=,S08, PRDE,actvstrat=,-0.272139, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.921053, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.443960, best_B_strat=,0.944807, best_S_id=,S02, best_S_prof=,3.427833, best_S_strat=,0.972424, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.214364, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.165357, actvprof=,0.338350, id=,B06, PRDE,actvstrat=,0.983644, actvprof=,1.624385, id=,B07, PRDE,actvstrat=,0.292568, actvprof=,2.629989, id=,B09, PRDE,actvstrat=,0.944807, actvprof=,6.450175, id=,S01, PRDE,actvstrat=,0.376333, actvprof=,2.392339, id=,S02, PRDE,actvstrat=,0.972424, actvprof=,3.355302, id=,S04, PRDE,actvstrat=,0.746239, actvprof=,0.426965, id=,S08, PRDE,actvstrat=,-0.272139, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.921053, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.450175, best_B_strat=,0.944807, best_S_id=,S02, best_S_prof=,3.355302, best_S_strat=,0.972424, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.792622, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.073686, id=,B06, PRDE,actvstrat=,-0.036307, actvprof=,1.319814, id=,B07, PRDE,actvstrat=,-0.348551, actvprof=,2.162928, id=,B09, PRDE,actvstrat=,0.686745, actvprof=,7.368289, id=,S01, PRDE,actvstrat=,0.194567, actvprof=,1.604834, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.206334, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.416696, id=,S08, PRDE,actvstrat=,0.967435, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.368289, best_B_strat=,0.686745, best_S_id=,S02, best_S_prof=,3.206334, best_S_strat=,-1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.792622, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.116443, id=,B06, PRDE,actvstrat=,-0.036307, actvprof=,1.319647, id=,B07, PRDE,actvstrat=,-0.348551, actvprof=,2.176078, id=,B09, PRDE,actvstrat=,0.686745, actvprof=,7.467307, id=,S01, PRDE,actvstrat=,0.194567, actvprof=,1.611884, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.093067, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.408075, id=,S08, PRDE,actvstrat=,0.967435, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.467307, best_B_strat=,0.686745, best_S_id=,S02, best_S_prof=,3.093067, best_S_strat=,-1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.792622, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.316975, id=,B06, PRDE,actvstrat=,-0.695013, actvprof=,0.219466, id=,B07, PRDE,actvstrat=,-0.348551, actvprof=,1.139277, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.244677, id=,S01, PRDE,actvstrat=,-0.526870, actvprof=,0.634506, id=,S02, PRDE,actvstrat=,-0.103340, actvprof=,0.385593, id=,S04, PRDE,actvstrat=,0.873937, actvprof=,0.619782, id=,S08, PRDE,actvstrat=,0.967435, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.142366, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.244677, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,0.634506, best_S_strat=,-0.526870, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.792622, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.319043, id=,B06, PRDE,actvstrat=,-0.695013, actvprof=,0.246679, id=,B07, PRDE,actvstrat=,-0.348551, actvprof=,1.174085, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.274284, id=,S01, PRDE,actvstrat=,-0.526870, actvprof=,0.621002, id=,S02, PRDE,actvstrat=,-0.103340, actvprof=,0.452522, id=,S04, PRDE,actvstrat=,0.873937, actvprof=,0.612946, id=,S08, PRDE,actvstrat=,0.967435, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.142366, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.274284, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,0.621002, best_S_strat=,-0.526870, 
