t=,75600, id=,B01, PRDE,actvstrat=,-0.111945, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.546858, actvprof=,1.270106, id=,B06, PRDE,actvstrat=,-0.290290, actvprof=,1.400117, id=,B08, PRDE,actvstrat=,0.515045, actvprof=,6.431091, id=,B09, PRDE,actvstrat=,-0.493510, actvprof=,5.884101, id=,S05, PRDE,actvstrat=,0.079495, actvprof=,0.003611, id=,S06, PRDE,actvstrat=,0.961957, actvprof=,0.013890, id=,S07, PRDE,actvstrat=,-0.393193, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.118136, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.922554, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.431091, best_B_strat=,0.515045, best_S_id=,S06, best_S_prof=,0.013890, best_S_strat=,0.961957, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.111945, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.546858, actvprof=,1.300888, id=,B06, PRDE,actvstrat=,-0.290290, actvprof=,1.372557, id=,B08, PRDE,actvstrat=,0.515045, actvprof=,6.389016, id=,B09, PRDE,actvstrat=,-0.493510, actvprof=,6.032196, id=,S05, PRDE,actvstrat=,0.079495, actvprof=,0.005000, id=,S06, PRDE,actvstrat=,0.961957, actvprof=,0.011389, id=,S07, PRDE,actvstrat=,-0.393193, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.118136, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.922554, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.389016, best_B_strat=,0.515045, best_S_id=,S06, best_S_prof=,0.011389, best_S_strat=,0.961957, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.075905, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.324313, actvprof=,0.913132, id=,B06, PRDE,actvstrat=,0.437983, actvprof=,2.574659, id=,B08, PRDE,actvstrat=,0.265618, actvprof=,5.682696, id=,B09, PRDE,actvstrat=,-0.387898, actvprof=,6.001333, id=,S05, PRDE,actvstrat=,-0.281803, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.961957, actvprof=,0.043059, id=,S07, PRDE,actvstrat=,-0.029177, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.759691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.150151, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.001333, best_B_strat=,-0.387898, best_S_id=,S06, best_S_prof=,0.043059, best_S_strat=,0.961957, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.075905, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.324313, actvprof=,0.897664, id=,B06, PRDE,actvstrat=,0.437983, actvprof=,2.596600, id=,B08, PRDE,actvstrat=,0.265618, actvprof=,5.559460, id=,B09, PRDE,actvstrat=,-0.387898, actvprof=,5.924331, id=,S05, PRDE,actvstrat=,-0.281803, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.961957, actvprof=,0.030001, id=,S07, PRDE,actvstrat=,-0.029177, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.759691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.150151, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.924331, best_B_strat=,-0.387898, best_S_id=,S06, best_S_prof=,0.030001, best_S_strat=,0.961957, 
t=,90000, id=,B01, PRDE,actvstrat=,0.620410, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.163537, actvprof=,0.652832, id=,B06, PRDE,actvstrat=,0.437983, actvprof=,2.431592, id=,B08, PRDE,actvstrat=,0.989507, actvprof=,6.333583, id=,B09, PRDE,actvstrat=,0.290136, actvprof=,7.196155, id=,S05, PRDE,actvstrat=,0.165295, actvprof=,0.023613, id=,S06, PRDE,actvstrat=,0.673215, actvprof=,0.036392, id=,S07, PRDE,actvstrat=,0.564814, actvprof=,0.005000, id=,S08, PRDE,actvstrat=,0.882577, actvprof=,0.004445, id=,S09, PRDE,actvstrat=,-0.492420, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.196155, best_B_strat=,0.290136, best_S_id=,S06, best_S_prof=,0.036392, best_S_strat=,0.673215, 
t=,93600, id=,B01, PRDE,actvstrat=,0.620410, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.163537, actvprof=,0.633216, id=,B06, PRDE,actvstrat=,0.437983, actvprof=,2.303413, id=,B08, PRDE,actvstrat=,0.989507, actvprof=,6.158964, id=,B09, PRDE,actvstrat=,0.290136, actvprof=,6.986076, id=,S05, PRDE,actvstrat=,0.165295, actvprof=,0.044585, id=,S06, PRDE,actvstrat=,0.673215, actvprof=,0.044307, id=,S07, PRDE,actvstrat=,0.564814, actvprof=,0.006667, id=,S08, PRDE,actvstrat=,0.882577, actvprof=,0.003056, id=,S09, PRDE,actvstrat=,-0.492420, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.986076, best_B_strat=,0.290136, best_S_id=,S05, best_S_prof=,0.044585, best_S_strat=,0.165295, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.075905, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.251551, actvprof=,1.442600, id=,B06, PRDE,actvstrat=,-0.643594, actvprof=,1.598444, id=,B08, PRDE,actvstrat=,-0.073879, actvprof=,5.675394, id=,B09, PRDE,actvstrat=,-0.232204, actvprof=,6.800194, id=,S05, PRDE,actvstrat=,-0.251839, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.095898, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.558600, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.524501, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.692477, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.800194, best_B_strat=,-0.232204, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,-0.251839, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.075905, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.251551, actvprof=,1.311860, id=,B06, PRDE,actvstrat=,-0.643594, actvprof=,1.579927, id=,B08, PRDE,actvstrat=,-0.073879, actvprof=,5.484812, id=,B09, PRDE,actvstrat=,-0.232204, actvprof=,6.657500, id=,S05, PRDE,actvstrat=,-0.251839, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.095898, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.558600, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.524501, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.692477, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.657500, best_B_strat=,-0.232204, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,-0.251839, 
t=,104400, id=,B01, PRDE,actvstrat=,0.968687, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.449405, actvprof=,0.430314, id=,B06, PRDE,actvstrat=,0.087268, actvprof=,2.373531, id=,B08, PRDE,actvstrat=,-0.998713, actvprof=,6.466650, id=,B09, PRDE,actvstrat=,-0.387898, actvprof=,6.513321, id=,S05, PRDE,actvstrat=,0.165295, actvprof=,0.008056, id=,S06, PRDE,actvstrat=,-0.329795, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.788128, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.566974, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.150151, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.513321, best_B_strat=,-0.387898, best_S_id=,S05, best_S_prof=,0.008056, best_S_strat=,0.165295, 
t=,108000, id=,B01, PRDE,actvstrat=,0.968687, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.449405, actvprof=,0.440988, id=,B06, PRDE,actvstrat=,0.087268, actvprof=,2.375916, id=,B08, PRDE,actvstrat=,-0.998713, actvprof=,6.375499, id=,B09, PRDE,actvstrat=,-0.387898, actvprof=,6.547033, id=,S05, PRDE,actvstrat=,0.165295, actvprof=,0.005834, id=,S06, PRDE,actvstrat=,-0.329795, actvprof=,0.000694, id=,S07, PRDE,actvstrat=,-0.788128, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.566974, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.150151, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.547033, best_B_strat=,-0.387898, best_S_id=,S05, best_S_prof=,0.005834, best_S_strat=,0.165295, 
