t=,75600, id=,B00, PRDE,actvstrat=,-0.732570, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.141229, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.194332, actvprof=,0.069730, id=,B05, PRDE,actvstrat=,0.115152, actvprof=,0.745638, id=,B08, PRDE,actvstrat=,0.619415, actvprof=,5.685632, id=,S04, PRDE,actvstrat=,0.098065, actvprof=,0.224192, id=,S05, PRDE,actvstrat=,-0.912417, actvprof=,0.021947, id=,S06, PRDE,actvstrat=,0.425085, actvprof=,0.005001, id=,S07, PRDE,actvstrat=,-0.202260, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.396661, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.685632, best_B_strat=,0.619415, best_S_id=,S04, best_S_prof=,0.224192, best_S_strat=,0.098065, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.732570, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.141229, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.194332, actvprof=,0.060837, id=,B05, PRDE,actvstrat=,0.115152, actvprof=,0.743514, id=,B08, PRDE,actvstrat=,0.619415, actvprof=,5.717123, id=,S04, PRDE,actvstrat=,0.098065, actvprof=,0.190983, id=,S05, PRDE,actvstrat=,-0.912417, actvprof=,0.021668, id=,S06, PRDE,actvstrat=,0.425085, actvprof=,0.008889, id=,S07, PRDE,actvstrat=,-0.202260, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.396661, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.717123, best_B_strat=,0.619415, best_S_id=,S04, best_S_prof=,0.190983, best_S_strat=,0.098065, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.225160, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.694799, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.012501, id=,B05, PRDE,actvstrat=,0.315217, actvprof=,0.226689, id=,B08, PRDE,actvstrat=,0.748942, actvprof=,4.666565, id=,S04, PRDE,actvstrat=,0.108050, actvprof=,0.390316, id=,S05, PRDE,actvstrat=,-0.250507, actvprof=,0.012501, id=,S06, PRDE,actvstrat=,-0.145635, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.354133, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.956755, actvprof=,0.001111, best_B_id=,B08, best_B_prof=,4.666565, best_B_strat=,0.748942, best_S_id=,S04, best_S_prof=,0.390316, best_S_strat=,0.108050, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.225160, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.694799, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.008334, id=,B05, PRDE,actvstrat=,0.315217, actvprof=,0.203206, id=,B08, PRDE,actvstrat=,0.748942, actvprof=,4.812906, id=,S04, PRDE,actvstrat=,0.108050, actvprof=,0.336408, id=,S05, PRDE,actvstrat=,-0.250507, actvprof=,0.008473, id=,S06, PRDE,actvstrat=,-0.145635, actvprof=,0.003472, id=,S07, PRDE,actvstrat=,-0.354133, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.956755, actvprof=,0.000556, best_B_id=,B08, best_B_prof=,4.812906, best_B_strat=,0.748942, best_S_id=,S04, best_S_prof=,0.336408, best_S_strat=,0.108050, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.771464, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.740681, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.525920, actvprof=,0.016946, id=,B05, PRDE,actvstrat=,0.692828, actvprof=,0.322536, id=,B08, PRDE,actvstrat=,0.561989, actvprof=,4.467163, id=,S04, PRDE,actvstrat=,0.004302, actvprof=,0.258918, id=,S05, PRDE,actvstrat=,-0.478673, actvprof=,0.015002, id=,S06, PRDE,actvstrat=,0.820781, actvprof=,0.043338, id=,S07, PRDE,actvstrat=,-0.515708, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.663785, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.467163, best_B_strat=,0.561989, best_S_id=,S04, best_S_prof=,0.258918, best_S_strat=,0.004302, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.771464, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.740681, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.525920, actvprof=,0.012917, id=,B05, PRDE,actvstrat=,0.692828, actvprof=,0.320851, id=,B08, PRDE,actvstrat=,0.561989, actvprof=,4.389411, id=,S04, PRDE,actvstrat=,0.004302, actvprof=,0.290433, id=,S05, PRDE,actvstrat=,-0.478673, actvprof=,0.014584, id=,S06, PRDE,actvstrat=,0.820781, actvprof=,0.042086, id=,S07, PRDE,actvstrat=,-0.515708, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.663785, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.389411, best_B_strat=,0.561989, best_S_id=,S04, best_S_prof=,0.290433, best_S_strat=,0.004302, 
t=,97200, id=,B00, PRDE,actvstrat=,0.156129, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.172700, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.718621, actvprof=,0.003612, id=,B05, PRDE,actvstrat=,0.784380, actvprof=,0.290032, id=,B08, PRDE,actvstrat=,0.320975, actvprof=,4.085454, id=,S04, PRDE,actvstrat=,-0.219465, actvprof=,0.043338, id=,S05, PRDE,actvstrat=,-0.524678, actvprof=,0.006667, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.015002, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.518642, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.085454, best_B_strat=,0.320975, best_S_id=,S04, best_S_prof=,0.043338, best_S_strat=,-0.219465, 
t=,100800, id=,B00, PRDE,actvstrat=,0.156129, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.172700, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.718621, actvprof=,0.006945, id=,B05, PRDE,actvstrat=,0.784380, actvprof=,0.344600, id=,B08, PRDE,actvstrat=,0.320975, actvprof=,4.148396, id=,S04, PRDE,actvstrat=,-0.219465, actvprof=,0.041808, id=,S05, PRDE,actvstrat=,-0.524678, actvprof=,0.008056, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.015001, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,0.518642, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.148396, best_B_strat=,0.320975, best_S_id=,S04, best_S_prof=,0.041808, best_S_strat=,-0.219465, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.616065, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.419185, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.433841, actvprof=,0.065563, id=,B05, PRDE,actvstrat=,0.073085, actvprof=,0.390877, id=,B08, PRDE,actvstrat=,0.397463, actvprof=,4.350483, id=,S04, PRDE,actvstrat=,-0.033203, actvprof=,0.121680, id=,S05, PRDE,actvstrat=,-0.524678, actvprof=,0.018335, id=,S06, PRDE,actvstrat=,-0.922566, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.354133, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.848277, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.350483, best_B_strat=,0.397463, best_S_id=,S04, best_S_prof=,0.121680, best_S_strat=,-0.033203, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.616065, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.419185, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.433841, actvprof=,0.074032, id=,B05, PRDE,actvstrat=,0.073085, actvprof=,0.393355, id=,B08, PRDE,actvstrat=,0.397463, actvprof=,4.469137, id=,S04, PRDE,actvstrat=,-0.033203, actvprof=,0.134313, id=,S05, PRDE,actvstrat=,-0.524678, actvprof=,0.020696, id=,S06, PRDE,actvstrat=,-0.922566, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,-0.354133, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,0.848277, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.469137, best_B_strat=,0.397463, best_S_id=,S04, best_S_prof=,0.134313, best_S_strat=,-0.033203, 
