t=,75600, id=,B01, PRDE,actvstrat=,-0.806699, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.089664, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.044998, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.086343, actvprof=,0.538634, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.914288, id=,S00, PRDE,actvstrat=,-0.205200, actvprof=,2.569552, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.185216, id=,S03, PRDE,actvstrat=,0.067776, actvprof=,0.913371, id=,S05, PRDE,actvstrat=,-0.108058, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,-0.526949, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.914288, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.185216, best_S_strat=,-1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.806699, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.089664, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.044998, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.086343, actvprof=,0.507931, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.871052, id=,S00, PRDE,actvstrat=,-0.205200, actvprof=,2.598544, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.200283, id=,S03, PRDE,actvstrat=,0.067776, actvprof=,0.914053, id=,S05, PRDE,actvstrat=,-0.108058, actvprof=,0.007639, id=,S07, PRDE,actvstrat=,-0.526949, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.871052, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.200283, best_S_strat=,-1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.248871, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.207589, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.598955, actvprof=,2.341797, id=,B07, PRDE,actvstrat=,-0.955617, actvprof=,0.403356, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.803100, id=,S01, PRDE,actvstrat=,-0.925889, actvprof=,0.035835, id=,S03, PRDE,actvstrat=,0.304706, actvprof=,0.456136, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.023335, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.341797, best_B_strat=,0.598955, best_S_id=,S00, best_S_prof=,5.803100, best_S_strat=,-1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.248871, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.207589, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.598955, actvprof=,2.392272, id=,B07, PRDE,actvstrat=,-0.955617, actvprof=,0.434731, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.707480, id=,S01, PRDE,actvstrat=,-0.925889, actvprof=,0.034723, id=,S03, PRDE,actvstrat=,0.304706, actvprof=,0.461121, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.020000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.392272, best_B_strat=,0.598955, best_S_id=,S00, best_S_prof=,5.707480, best_S_strat=,-1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.624436, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.137155, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.207589, actvprof=,0.011945, id=,B06, PRDE,actvstrat=,0.555985, actvprof=,1.149786, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.171287, id=,S00, PRDE,actvstrat=,0.874136, actvprof=,7.351520, id=,S01, PRDE,actvstrat=,0.047154, actvprof=,2.634313, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.628479, id=,S05, PRDE,actvstrat=,0.295653, actvprof=,0.020834, id=,S07, PRDE,actvstrat=,0.974252, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.171287, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.351520, best_S_strat=,0.874136, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.624436, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.137155, actvprof=,0.004306, id=,B03, PRDE,actvstrat=,0.207589, actvprof=,0.006111, id=,B06, PRDE,actvstrat=,0.555985, actvprof=,1.153504, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.221339, id=,S00, PRDE,actvstrat=,0.874136, actvprof=,7.302147, id=,S01, PRDE,actvstrat=,0.047154, actvprof=,2.588544, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.687297, id=,S05, PRDE,actvstrat=,0.295653, actvprof=,0.019584, id=,S07, PRDE,actvstrat=,0.974252, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.221339, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.302147, best_S_strat=,0.874136, 
t=,97200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.004445, id=,B03, PRDE,actvstrat=,0.538360, actvprof=,0.011945, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.253736, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.680204, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.881438, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.589199, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.036780, id=,S05, PRDE,actvstrat=,-0.247488, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.680204, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.881438, best_S_strat=,-1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,0.538360, actvprof=,0.007361, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.378661, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.755495, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.902901, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.514420, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.983930, id=,S05, PRDE,actvstrat=,-0.247488, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.755495, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.902901, best_S_strat=,-1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.707805, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,B06, PRDE,actvstrat=,-0.154634, actvprof=,0.745895, id=,B07, PRDE,actvstrat=,-0.139375, actvprof=,1.744590, id=,S00, PRDE,actvstrat=,-0.250185, actvprof=,1.778482, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.384810, id=,S03, PRDE,actvstrat=,-0.087943, actvprof=,0.184738, id=,S05, PRDE,actvstrat=,0.623744, actvprof=,0.009723, id=,S07, PRDE,actvstrat=,0.790263, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.744590, best_B_strat=,-0.139375, best_S_id=,S01, best_S_prof=,4.384810, best_S_strat=,-1.000000, 
t=,108000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.707805, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000694, id=,B06, PRDE,actvstrat=,-0.154634, actvprof=,0.705724, id=,B07, PRDE,actvstrat=,-0.139375, actvprof=,1.810353, id=,S00, PRDE,actvstrat=,-0.250185, actvprof=,1.751601, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.346570, id=,S03, PRDE,actvstrat=,-0.087943, actvprof=,0.219454, id=,S05, PRDE,actvstrat=,0.623744, actvprof=,0.010139, id=,S07, PRDE,actvstrat=,0.790263, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.810353, best_B_strat=,-0.139375, best_S_id=,S01, best_S_prof=,4.346570, best_S_strat=,-1.000000, 
