t=,75600, id=,B01, PRDE,actvstrat=,-0.948603, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,-0.898624, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,0.441616, actvprof=,0.011112, id=,B04, PRDE,actvstrat=,0.609597, actvprof=,0.044172, id=,B09, PRDE,actvstrat=,-0.026117, actvprof=,5.528114, id=,S00, PRDE,actvstrat=,0.116853, actvprof=,4.617457, id=,S01, PRDE,actvstrat=,0.396131, actvprof=,3.844316, id=,S02, PRDE,actvstrat=,-0.311323, actvprof=,0.898989, id=,S03, PRDE,actvstrat=,0.582670, actvprof=,1.121236, id=,S08, PRDE,actvstrat=,0.465808, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.528114, best_B_strat=,-0.026117, best_S_id=,S00, best_S_prof=,4.617457, best_S_strat=,0.116853, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.948603, actvprof=,0.000694, id=,B02, PRDE,actvstrat=,-0.898624, actvprof=,0.005139, id=,B03, PRDE,actvstrat=,0.441616, actvprof=,0.009306, id=,B04, PRDE,actvstrat=,0.609597, actvprof=,0.039169, id=,B09, PRDE,actvstrat=,-0.026117, actvprof=,5.522668, id=,S00, PRDE,actvstrat=,0.116853, actvprof=,4.728596, id=,S01, PRDE,actvstrat=,0.396131, actvprof=,3.855909, id=,S02, PRDE,actvstrat=,-0.311323, actvprof=,0.884216, id=,S03, PRDE,actvstrat=,0.582670, actvprof=,1.144786, id=,S08, PRDE,actvstrat=,0.465808, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.522668, best_B_strat=,-0.026117, best_S_id=,S00, best_S_prof=,4.728596, best_S_strat=,0.116853, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.516282, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.491801, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.580708, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.022503, id=,B09, PRDE,actvstrat=,-0.940658, actvprof=,2.047172, id=,S00, PRDE,actvstrat=,-0.504468, actvprof=,3.283976, id=,S01, PRDE,actvstrat=,-0.531471, actvprof=,1.818258, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.568174, id=,S03, PRDE,actvstrat=,0.323999, actvprof=,0.830926, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.047172, best_B_strat=,-0.940658, best_S_id=,S02, best_S_prof=,3.568174, best_S_strat=,1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.516282, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.491801, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.580708, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.019168, id=,B09, PRDE,actvstrat=,-0.940658, actvprof=,2.004695, id=,S00, PRDE,actvstrat=,-0.504468, actvprof=,3.205734, id=,S01, PRDE,actvstrat=,-0.531471, actvprof=,1.892327, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.575754, id=,S03, PRDE,actvstrat=,0.323999, actvprof=,0.819212, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.004695, best_B_strat=,-0.940658, best_S_id=,S02, best_S_prof=,3.575754, best_S_strat=,1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.156967, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.215048, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.542631, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.303434, actvprof=,0.000556, id=,B09, PRDE,actvstrat=,-0.278023, actvprof=,4.592455, id=,S00, PRDE,actvstrat=,-0.504468, actvprof=,3.579009, id=,S01, PRDE,actvstrat=,0.073295, actvprof=,3.493166, id=,S02, PRDE,actvstrat=,-0.771246, actvprof=,0.745083, id=,S03, PRDE,actvstrat=,-0.102796, actvprof=,0.440049, id=,S08, PRDE,actvstrat=,-0.370624, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.592455, best_B_strat=,-0.278023, best_S_id=,S00, best_S_prof=,3.579009, best_S_strat=,-0.504468, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.156967, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.215048, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.542631, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.303434, actvprof=,0.006667, id=,B09, PRDE,actvstrat=,-0.278023, actvprof=,4.432607, id=,S00, PRDE,actvstrat=,-0.504468, actvprof=,3.479082, id=,S01, PRDE,actvstrat=,0.073295, actvprof=,3.639786, id=,S02, PRDE,actvstrat=,-0.771246, actvprof=,0.703095, id=,S03, PRDE,actvstrat=,-0.102796, actvprof=,0.508362, id=,S08, PRDE,actvstrat=,-0.370624, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.432607, best_B_strat=,-0.278023, best_S_id=,S01, best_S_prof=,3.639786, best_S_strat=,0.073295, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.293647, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.202752, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.221319, actvprof=,0.009723, id=,B04, PRDE,actvstrat=,-0.829459, actvprof=,0.091121, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.723803, id=,S00, PRDE,actvstrat=,0.148374, actvprof=,5.095566, id=,S01, PRDE,actvstrat=,0.728758, actvprof=,5.132237, id=,S02, PRDE,actvstrat=,0.301526, actvprof=,2.493333, id=,S03, PRDE,actvstrat=,0.048353, actvprof=,0.925381, id=,S08, PRDE,actvstrat=,0.765299, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.723803, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.132237, best_S_strat=,0.728758, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.293647, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.202752, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.221319, actvprof=,0.014167, id=,B04, PRDE,actvstrat=,-0.829459, actvprof=,0.094311, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.623701, id=,S00, PRDE,actvstrat=,0.148374, actvprof=,5.066670, id=,S01, PRDE,actvstrat=,0.728758, actvprof=,5.203206, id=,S02, PRDE,actvstrat=,0.301526, actvprof=,2.528613, id=,S03, PRDE,actvstrat=,0.048353, actvprof=,0.946997, id=,S08, PRDE,actvstrat=,0.765299, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.623701, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.203206, best_S_strat=,0.728758, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.504184, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.520485, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.737710, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,-0.165199, actvprof=,0.003612, id=,B09, PRDE,actvstrat=,-0.539516, actvprof=,4.304645, id=,S00, PRDE,actvstrat=,-0.059711, actvprof=,4.816368, id=,S01, PRDE,actvstrat=,-0.784355, actvprof=,1.515168, id=,S02, PRDE,actvstrat=,-0.517283, actvprof=,1.056784, id=,S03, PRDE,actvstrat=,-0.660414, actvprof=,0.270863, id=,S08, PRDE,actvstrat=,-0.589301, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.304645, best_B_strat=,-0.539516, best_S_id=,S00, best_S_prof=,4.816368, best_S_strat=,-0.059711, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.504184, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.520485, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.737710, actvprof=,0.002361, id=,B04, PRDE,actvstrat=,-0.165199, actvprof=,0.001806, id=,B09, PRDE,actvstrat=,-0.539516, actvprof=,4.385660, id=,S00, PRDE,actvstrat=,-0.059711, actvprof=,4.626785, id=,S01, PRDE,actvstrat=,-0.784355, actvprof=,1.584255, id=,S02, PRDE,actvstrat=,-0.517283, actvprof=,1.076032, id=,S03, PRDE,actvstrat=,-0.660414, actvprof=,0.292794, id=,S08, PRDE,actvstrat=,-0.589301, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.385660, best_B_strat=,-0.539516, best_S_id=,S00, best_S_prof=,4.626785, best_S_strat=,-0.059711, 
