t=,75600, id=,B01, PRDE,actvstrat=,0.097218, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.427691, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.112533, actvprof=,0.007501, id=,B05, PRDE,actvstrat=,0.491589, actvprof=,1.352984, id=,B06, PRDE,actvstrat=,-0.874227, actvprof=,0.561752, id=,S01, PRDE,actvstrat=,0.040928, actvprof=,1.769159, id=,S04, PRDE,actvstrat=,-0.931830, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.143631, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.885518, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.644574, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.352984, best_B_strat=,0.491589, best_S_id=,S01, best_S_prof=,1.769159, best_S_strat=,0.040928, 
t=,79200, id=,B01, PRDE,actvstrat=,0.097218, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.427691, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.112533, actvprof=,0.005695, id=,B05, PRDE,actvstrat=,0.491589, actvprof=,1.422886, id=,B06, PRDE,actvstrat=,-0.874227, actvprof=,0.575044, id=,S01, PRDE,actvstrat=,0.040928, actvprof=,1.807777, id=,S04, PRDE,actvstrat=,-0.931830, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.143631, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.885518, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.644574, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,1.422886, best_B_strat=,0.491589, best_S_id=,S01, best_S_prof=,1.807777, best_S_strat=,0.040928, 
t=,82800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.930718, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.739710, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.389962, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.280376, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.107239, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.389962, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.280376, best_S_strat=,-1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.930718, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.764428, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.446628, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.222793, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.112369, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.446628, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.222793, best_S_strat=,-1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,0.138631, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.544778, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.896901, actvprof=,1.033769, id=,B06, PRDE,actvstrat=,0.373092, actvprof=,1.705538, id=,S01, PRDE,actvstrat=,0.913564, actvprof=,5.204962, id=,S04, PRDE,actvstrat=,0.565283, actvprof=,0.135576, id=,S05, PRDE,actvstrat=,0.232680, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.705538, best_B_strat=,0.373092, best_S_id=,S01, best_S_prof=,5.204962, best_S_strat=,0.913564, 
t=,93600, id=,B01, PRDE,actvstrat=,0.138631, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.544778, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.896901, actvprof=,1.106466, id=,B06, PRDE,actvstrat=,0.373092, actvprof=,1.853740, id=,S01, PRDE,actvstrat=,0.913564, actvprof=,5.123550, id=,S04, PRDE,actvstrat=,0.565283, actvprof=,0.135565, id=,S05, PRDE,actvstrat=,0.232680, actvprof=,0.000694, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.853740, best_B_strat=,0.373092, best_S_id=,S01, best_S_prof=,5.123550, best_S_strat=,0.913564, 
t=,97200, id=,B01, PRDE,actvstrat=,0.566409, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.231979, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.593822, actvprof=,0.092514, id=,B05, PRDE,actvstrat=,-0.958308, actvprof=,0.141133, id=,B06, PRDE,actvstrat=,0.575362, actvprof=,4.298434, id=,S01, PRDE,actvstrat=,0.651436, actvprof=,1.938907, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.032227, id=,S05, PRDE,actvstrat=,0.786913, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.670228, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.298434, best_B_strat=,0.575362, best_S_id=,S01, best_S_prof=,1.938907, best_S_strat=,0.651436, 
t=,100800, id=,B01, PRDE,actvstrat=,0.566409, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.231979, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.593822, actvprof=,0.076256, id=,B05, PRDE,actvstrat=,-0.958308, actvprof=,0.128482, id=,B06, PRDE,actvstrat=,0.575362, actvprof=,4.261992, id=,S01, PRDE,actvstrat=,0.651436, actvprof=,1.975151, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.032364, id=,S05, PRDE,actvstrat=,0.786913, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.670228, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.261992, best_B_strat=,0.575362, best_S_id=,S01, best_S_prof=,1.975151, best_S_strat=,0.651436, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.022119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.846773, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.112533, actvprof=,0.006946, id=,B05, PRDE,actvstrat=,0.375619, actvprof=,1.348539, id=,B06, PRDE,actvstrat=,-0.146064, actvprof=,1.821112, id=,S01, PRDE,actvstrat=,0.435509, actvprof=,2.391199, id=,S04, PRDE,actvstrat=,0.564485, actvprof=,0.033338, id=,S05, PRDE,actvstrat=,-0.079195, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.206334, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.821112, best_B_strat=,-0.146064, best_S_id=,S01, best_S_prof=,2.391199, best_S_strat=,0.435509, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.022119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.846773, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.112533, actvprof=,0.005000, id=,B05, PRDE,actvstrat=,0.375619, actvprof=,1.250929, id=,B06, PRDE,actvstrat=,-0.146064, actvprof=,1.705964, id=,S01, PRDE,actvstrat=,0.435509, actvprof=,2.541027, id=,S04, PRDE,actvstrat=,0.564485, actvprof=,0.037781, id=,S05, PRDE,actvstrat=,-0.079195, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.206334, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.705964, best_B_strat=,-0.146064, best_S_id=,S01, best_S_prof=,2.541027, best_S_strat=,0.435509, 
