t=,75600, id=,B00, PRDE,actvstrat=,0.358828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.803661, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,-0.080642, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,-0.397504, actvprof=,0.756986, id=,B08, PRDE,actvstrat=,0.900086, actvprof=,7.174287, id=,S00, PRDE,actvstrat=,0.731170, actvprof=,3.568254, id=,S01, PRDE,actvstrat=,0.739022, actvprof=,2.267070, id=,S02, PRDE,actvstrat=,0.908229, actvprof=,1.312017, id=,S08, PRDE,actvstrat=,-0.857867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.301052, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,7.174287, best_B_strat=,0.900086, best_S_id=,S00, best_S_prof=,3.568254, best_S_strat=,0.731170, 
t=,79200, id=,B00, PRDE,actvstrat=,0.358828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.803661, actvprof=,0.003472, id=,B03, PRDE,actvstrat=,-0.080642, actvprof=,0.009584, id=,B05, PRDE,actvstrat=,-0.397504, actvprof=,0.733076, id=,B08, PRDE,actvstrat=,0.900086, actvprof=,7.140476, id=,S00, PRDE,actvstrat=,0.731170, actvprof=,3.639823, id=,S01, PRDE,actvstrat=,0.739022, actvprof=,2.248812, id=,S02, PRDE,actvstrat=,0.908229, actvprof=,1.337537, id=,S08, PRDE,actvstrat=,-0.857867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.301052, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,7.140476, best_B_strat=,0.900086, best_S_id=,S00, best_S_prof=,3.639823, best_S_strat=,0.731170, 
t=,82800, id=,B00, PRDE,actvstrat=,0.295349, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.381104, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.022313, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.212253, actvprof=,0.198344, id=,B08, PRDE,actvstrat=,0.878574, actvprof=,6.417023, id=,S00, PRDE,actvstrat=,-0.826252, actvprof=,0.345575, id=,S01, PRDE,actvstrat=,0.388810, actvprof=,2.090949, id=,S02, PRDE,actvstrat=,-0.681220, actvprof=,0.120284, id=,S08, PRDE,actvstrat=,-0.941519, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.060323, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.417023, best_B_strat=,0.878574, best_S_id=,S01, best_S_prof=,2.090949, best_S_strat=,0.388810, 
t=,86400, id=,B00, PRDE,actvstrat=,0.295349, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.381104, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.022313, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.212253, actvprof=,0.204033, id=,B08, PRDE,actvstrat=,0.878574, actvprof=,6.422540, id=,S00, PRDE,actvstrat=,-0.826252, actvprof=,0.349593, id=,S01, PRDE,actvstrat=,0.388810, actvprof=,2.151032, id=,S02, PRDE,actvstrat=,-0.681220, actvprof=,0.127920, id=,S08, PRDE,actvstrat=,-0.941519, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.060323, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.422540, best_B_strat=,0.878574, best_S_id=,S01, best_S_prof=,2.151032, best_S_strat=,0.388810, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.534039, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530370, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-0.830611, actvprof=,0.026390, id=,B05, PRDE,actvstrat=,0.081553, actvprof=,0.801989, id=,B08, PRDE,actvstrat=,0.358802, actvprof=,5.891994, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.437802, id=,S01, PRDE,actvstrat=,0.791838, actvprof=,3.282127, id=,S02, PRDE,actvstrat=,0.080464, actvprof=,0.610034, id=,S08, PRDE,actvstrat=,-0.857867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.761812, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.891994, best_B_strat=,0.358802, best_S_id=,S00, best_S_prof=,5.437802, best_S_strat=,0.926217, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.534039, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530370, actvprof=,0.004583, id=,B03, PRDE,actvstrat=,-0.830611, actvprof=,0.016806, id=,B05, PRDE,actvstrat=,0.081553, actvprof=,0.801828, id=,B08, PRDE,actvstrat=,0.358802, actvprof=,5.777660, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.455707, id=,S01, PRDE,actvstrat=,0.791838, actvprof=,3.347732, id=,S02, PRDE,actvstrat=,0.080464, actvprof=,0.626823, id=,S08, PRDE,actvstrat=,-0.857867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.761812, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.777660, best_B_strat=,0.358802, best_S_id=,S00, best_S_prof=,5.455707, best_S_strat=,0.926217, 
t=,97200, id=,B00, PRDE,actvstrat=,0.344448, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.381104, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.543201, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.492887, actvprof=,0.345297, id=,B08, PRDE,actvstrat=,0.814125, actvprof=,6.772043, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.223901, id=,S01, PRDE,actvstrat=,-0.728889, actvprof=,0.239736, id=,S02, PRDE,actvstrat=,0.718581, actvprof=,1.157009, id=,S08, PRDE,actvstrat=,0.484109, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.785710, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.772043, best_B_strat=,0.814125, best_S_id=,S00, best_S_prof=,5.223901, best_S_strat=,0.926217, 
t=,100800, id=,B00, PRDE,actvstrat=,0.344448, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.381104, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.543201, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,-0.492887, actvprof=,0.374872, id=,B08, PRDE,actvstrat=,0.814125, actvprof=,6.727965, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.183616, id=,S01, PRDE,actvstrat=,-0.728889, actvprof=,0.256257, id=,S02, PRDE,actvstrat=,0.718581, actvprof=,1.243229, id=,S08, PRDE,actvstrat=,0.484109, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.785710, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.727965, best_B_strat=,0.814125, best_S_id=,S00, best_S_prof=,5.183616, best_S_strat=,0.926217, 
t=,104400, id=,B00, PRDE,actvstrat=,0.736565, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530370, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.201276, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.081553, actvprof=,0.417245, id=,B08, PRDE,actvstrat=,0.878574, actvprof=,5.908662, id=,S00, PRDE,actvstrat=,-0.019916, actvprof=,2.714873, id=,S01, PRDE,actvstrat=,0.388810, actvprof=,2.480693, id=,S02, PRDE,actvstrat=,-0.681220, actvprof=,0.183066, id=,S08, PRDE,actvstrat=,-0.941519, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.785710, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.908662, best_B_strat=,0.878574, best_S_id=,S00, best_S_prof=,2.714873, best_S_strat=,-0.019916, 
t=,108000, id=,B00, PRDE,actvstrat=,0.736565, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530370, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.201276, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.081553, actvprof=,0.408067, id=,B08, PRDE,actvstrat=,0.878574, actvprof=,5.936276, id=,S00, PRDE,actvstrat=,-0.019916, actvprof=,2.728409, id=,S01, PRDE,actvstrat=,0.388810, actvprof=,2.476735, id=,S02, PRDE,actvstrat=,-0.681220, actvprof=,0.194728, id=,S08, PRDE,actvstrat=,-0.941519, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.785710, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.936276, best_B_strat=,0.878574, best_S_id=,S00, best_S_prof=,2.728409, best_S_strat=,-0.019916, 
