t=,79200, id=,B00, PRDE,actvstrat=,0.963387, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.845877, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.125249, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.052572, actvprof=,2.341192, id=,B08, PRDE,actvstrat=,-0.328006, actvprof=,3.039550, id=,S01, PRDE,actvstrat=,0.041607, actvprof=,2.065488, id=,S04, PRDE,actvstrat=,0.650413, actvprof=,0.218341, id=,S05, PRDE,actvstrat=,0.659704, actvprof=,0.018195, id=,S06, PRDE,actvstrat=,-0.207967, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.999163, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.039550, best_B_strat=,-0.328006, best_S_id=,S01, best_S_prof=,2.065488, best_S_strat=,0.041607, 
t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.609236, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.777673, actvprof=,3.749983, id=,B08, PRDE,actvstrat=,-0.989973, actvprof=,1.247309, id=,S01, PRDE,actvstrat=,-0.838161, actvprof=,0.190291, id=,S04, PRDE,actvstrat=,0.359309, actvprof=,0.062504, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.038058, id=,S06, PRDE,actvstrat=,0.409163, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.749983, best_B_strat=,0.777673, best_S_id=,S01, best_S_prof=,0.190291, best_S_strat=,-0.838161, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.609236, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.777673, actvprof=,3.738880, id=,B08, PRDE,actvstrat=,-0.989973, actvprof=,1.096427, id=,S01, PRDE,actvstrat=,-0.838161, actvprof=,0.168895, id=,S04, PRDE,actvstrat=,0.359309, actvprof=,0.078753, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.026112, id=,S06, PRDE,actvstrat=,0.409163, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.738880, best_B_strat=,0.777673, best_S_id=,S01, best_S_prof=,0.168895, best_S_strat=,-0.838161, 
t=,90000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.687501, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.993926, actvprof=,0.001667, id=,B07, PRDE,actvstrat=,-0.473737, actvprof=,1.580388, id=,B08, PRDE,actvstrat=,0.886577, actvprof=,5.462324, id=,S01, PRDE,actvstrat=,0.705226, actvprof=,4.039169, id=,S04, PRDE,actvstrat=,0.807931, actvprof=,0.358636, id=,S05, PRDE,actvstrat=,-0.876821, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.704593, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.433501, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.462324, best_B_strat=,0.886577, best_S_id=,S01, best_S_prof=,4.039169, best_S_strat=,0.705226, 
t=,93600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.687501, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.993926, actvprof=,0.001667, id=,B07, PRDE,actvstrat=,-0.473737, actvprof=,1.701309, id=,B08, PRDE,actvstrat=,0.886577, actvprof=,5.560193, id=,S01, PRDE,actvstrat=,0.705226, actvprof=,3.928470, id=,S04, PRDE,actvstrat=,0.807931, actvprof=,0.340012, id=,S05, PRDE,actvstrat=,-0.876821, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.704593, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.433501, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.560193, best_B_strat=,0.886577, best_S_id=,S01, best_S_prof=,3.928470, best_S_strat=,0.705226, 
t=,97200, id=,B00, PRDE,actvstrat=,0.256800, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.105096, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.157763, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.282595, id=,B08, PRDE,actvstrat=,0.252165, actvprof=,2.737614, id=,S01, PRDE,actvstrat=,-0.081794, actvprof=,1.945359, id=,S04, PRDE,actvstrat=,-0.372333, actvprof=,0.076670, id=,S05, PRDE,actvstrat=,0.172545, actvprof=,0.077225, id=,S06, PRDE,actvstrat=,-0.424803, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.737614, best_B_strat=,0.252165, best_S_id=,S01, best_S_prof=,1.945359, best_S_strat=,-0.081794, 
t=,100800, id=,B00, PRDE,actvstrat=,0.256800, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.105096, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.157763, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.292980, id=,B08, PRDE,actvstrat=,0.252165, actvprof=,2.692019, id=,S01, PRDE,actvstrat=,-0.081794, actvprof=,1.905886, id=,S04, PRDE,actvstrat=,-0.372333, actvprof=,0.079586, id=,S05, PRDE,actvstrat=,0.172545, actvprof=,0.085141, id=,S06, PRDE,actvstrat=,-0.424803, actvprof=,0.001667, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.692019, best_B_strat=,0.252165, best_S_id=,S01, best_S_prof=,1.905886, best_S_strat=,-0.081794, 
t=,104400, id=,B00, PRDE,actvstrat=,0.305659, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.113879, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.781896, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.777673, actvprof=,2.359331, id=,B08, PRDE,actvstrat=,-0.057678, actvprof=,2.479894, id=,S01, PRDE,actvstrat=,-0.911182, actvprof=,0.053615, id=,S04, PRDE,actvstrat=,0.647304, actvprof=,0.764775, id=,S05, PRDE,actvstrat=,0.313123, actvprof=,0.055837, id=,S06, PRDE,actvstrat=,-0.476012, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.651606, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.479894, best_B_strat=,-0.057678, best_S_id=,S04, best_S_prof=,0.764775, best_S_strat=,0.647304, 
t=,108000, id=,B00, PRDE,actvstrat=,0.305659, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.113879, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.781896, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.777673, actvprof=,2.405917, id=,B08, PRDE,actvstrat=,-0.057678, actvprof=,2.405778, id=,S01, PRDE,actvstrat=,-0.911182, actvprof=,0.059030, id=,S04, PRDE,actvstrat=,0.647304, actvprof=,0.725025, id=,S05, PRDE,actvstrat=,0.313123, actvprof=,0.051530, id=,S06, PRDE,actvstrat=,-0.476012, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.651606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.405917, best_B_strat=,0.777673, best_S_id=,S04, best_S_prof=,0.725025, best_S_strat=,0.647304, 
t=,111600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.438036, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.695680, actvprof=,1.236753, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.010626, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.992916, id=,S04, PRDE,actvstrat=,0.264718, actvprof=,0.133343, id=,S05, PRDE,actvstrat=,0.069136, actvprof=,0.000556, id=,S06, PRDE,actvstrat=,-0.916482, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.673935, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.010626, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.992916, best_S_strat=,1.000000, 
