t=,75600, id=,B00, PRDE,actvstrat=,0.656866, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.184947, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.340020, actvprof=,0.551450, id=,B06, PRDE,actvstrat=,0.235864, actvprof=,3.189521, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,1.956606, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.433659, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.363134, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.410242, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.189521, best_B_strat=,0.235864, best_S_id=,S02, best_S_prof=,1.956606, best_S_strat=,1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,0.656866, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.184947, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.340020, actvprof=,0.555864, id=,B06, PRDE,actvstrat=,0.235864, actvprof=,3.142258, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,1.905106, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.437247, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.363134, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.410242, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.142258, best_B_strat=,0.235864, best_S_id=,S02, best_S_prof=,1.905106, best_S_strat=,1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.310043, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.394954, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.004167, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.296057, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.174295, id=,S03, PRDE,actvstrat=,-0.516985, actvprof=,0.150292, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.777737, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.296057, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.174295, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.310043, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.394954, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.003611, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.226929, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.209956, id=,S03, PRDE,actvstrat=,-0.516985, actvprof=,0.168482, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.777737, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.226929, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.209956, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.246458, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.340020, actvprof=,0.011668, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.848610, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.436167, id=,S03, PRDE,actvstrat=,0.214661, actvprof=,0.506716, id=,S06, PRDE,actvstrat=,0.924636, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.300502, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.045517, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.848610, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.436167, best_S_strat=,1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.246458, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.340020, actvprof=,0.010695, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.766126, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.565198, id=,S03, PRDE,actvstrat=,0.214661, actvprof=,0.523085, id=,S06, PRDE,actvstrat=,0.924636, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.300502, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.045517, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.766126, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.565198, best_S_strat=,1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,0.838296, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.549327, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.248958, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.884882, actvprof=,0.025281, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.965996, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.171908, id=,S03, PRDE,actvstrat=,-0.719992, actvprof=,0.009168, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.965996, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.171908, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,0.838296, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.549327, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.248958, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.884882, actvprof=,0.030140, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.177147, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.002181, id=,S03, PRDE,actvstrat=,-0.719992, actvprof=,0.010973, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.177147, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.002181, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.267552, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.595277, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.299200, id=,B06, PRDE,actvstrat=,-0.013039, actvprof=,1.908545, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.888654, id=,S03, PRDE,actvstrat=,0.973153, actvprof=,1.314591, id=,S06, PRDE,actvstrat=,-0.639632, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.384213, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.908545, best_B_strat=,-0.013039, best_S_id=,S02, best_S_prof=,2.888654, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.267552, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.595277, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.314879, id=,B06, PRDE,actvstrat=,-0.013039, actvprof=,1.974276, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.857242, id=,S03, PRDE,actvstrat=,0.973153, actvprof=,1.252986, id=,S06, PRDE,actvstrat=,-0.639632, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.384213, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.974276, best_B_strat=,-0.013039, best_S_id=,S02, best_S_prof=,2.857242, best_S_strat=,1.000000, 
