t=,75600, id=,B00, PRDE,actvstrat=,-0.188917, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.375174, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.313533, actvprof=,0.201953, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.019292, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.000208, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.507882, id=,S04, PRDE,actvstrat=,-0.271761, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.019292, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.000208, best_S_strat=,1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.188917, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.375174, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.313533, actvprof=,0.203197, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.078932, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.956041, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.528785, id=,S04, PRDE,actvstrat=,-0.271761, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.078932, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.956041, best_S_strat=,1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.018679, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.418592, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.585066, id=,B06, PRDE,actvstrat=,0.953272, actvprof=,3.035960, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.836035, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.892621, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.230287, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.035960, best_B_strat=,0.953272, best_S_id=,S01, best_S_prof=,4.836035, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.018679, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.418592, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.602394, id=,B06, PRDE,actvstrat=,0.953272, actvprof=,3.064369, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.796628, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.855615, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.229449, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.064369, best_B_strat=,0.953272, best_S_id=,S01, best_S_prof=,4.796628, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.314472, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.018679, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.144175, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.559809, id=,S01, PRDE,actvstrat=,0.964425, actvprof=,6.296461, id=,S02, PRDE,actvstrat=,-0.313379, actvprof=,0.578921, id=,S04, PRDE,actvstrat=,0.726593, actvprof=,0.505306, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.559809, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,6.296461, best_S_strat=,0.964425, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.314472, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.018679, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.167779, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.578761, id=,S01, PRDE,actvstrat=,0.964425, actvprof=,6.306572, id=,S02, PRDE,actvstrat=,-0.313379, actvprof=,0.584865, id=,S04, PRDE,actvstrat=,0.726593, actvprof=,0.528059, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.578761, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,6.306572, best_S_strat=,0.964425, 
t=,97200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.741968, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.964756, actvprof=,0.180841, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.763810, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,2.954012, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.220051, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.039724, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.763810, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.954012, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.741968, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.964756, actvprof=,0.201810, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.785794, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,2.946728, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.195303, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.038195, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.785794, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.946728, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.178248, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.964756, actvprof=,0.193069, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.938329, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.703868, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.827349, id=,S04, PRDE,actvstrat=,0.445865, actvprof=,0.018057, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.595749, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.938329, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.703868, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.178248, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.964756, actvprof=,0.190840, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.934442, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.701101, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.803257, id=,S04, PRDE,actvstrat=,0.445865, actvprof=,0.021667, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.595749, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.934442, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.701101, best_S_strat=,1.000000, 
t=,111600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.929512, actvprof=,0.067782, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,4.425030, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.284950, id=,S02, PRDE,actvstrat=,-0.284107, actvprof=,0.041947, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.031947, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.425030, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.284950, best_S_strat=,1.000000, 
