t=,75600, id=,B01, PRDE,actvstrat=,-0.941896, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.151186, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.034615, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.735385, actvprof=,0.452525, id=,B09, PRDE,actvstrat=,-0.769669, actvprof=,5.955053, id=,S02, PRDE,actvstrat=,-0.861727, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.041947, id=,S05, PRDE,actvstrat=,-0.088024, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.333249, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.432108, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.955053, best_B_strat=,-0.769669, best_S_id=,S04, best_S_prof=,0.041947, best_S_strat=,-1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.941896, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.151186, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.034615, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.735385, actvprof=,0.436404, id=,B09, PRDE,actvstrat=,-0.769669, actvprof=,5.785895, id=,S02, PRDE,actvstrat=,-0.861727, actvprof=,0.002222, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.028195, id=,S05, PRDE,actvstrat=,-0.088024, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.333249, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.432108, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.785895, best_B_strat=,-0.769669, best_S_id=,S04, best_S_prof=,0.028195, best_S_strat=,-1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.894483, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.581542, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.956684, actvprof=,0.675325, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.038267, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.079728, id=,S04, PRDE,actvstrat=,0.771829, actvprof=,0.289187, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.009167, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.038267, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.079728, best_S_strat=,1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.894483, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.581542, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,0.956684, actvprof=,0.556964, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.844404, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.188340, id=,S04, PRDE,actvstrat=,0.771829, actvprof=,0.335984, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.011528, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.844404, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.188340, best_S_strat=,1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.491093, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.240706, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.021560, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.607449, actvprof=,0.049726, id=,B09, PRDE,actvstrat=,0.961216, actvprof=,7.499132, id=,S02, PRDE,actvstrat=,-0.358886, actvprof=,0.337246, id=,S04, PRDE,actvstrat=,-0.716989, actvprof=,0.007501, id=,S05, PRDE,actvstrat=,-0.160319, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,0.008565, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.499132, best_B_strat=,0.961216, best_S_id=,S02, best_S_prof=,0.337246, best_S_strat=,-0.358886, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.491093, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.240706, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.021560, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.607449, actvprof=,0.055557, id=,B09, PRDE,actvstrat=,0.961216, actvprof=,7.556373, id=,S02, PRDE,actvstrat=,-0.358886, actvprof=,0.330150, id=,S04, PRDE,actvstrat=,-0.716989, actvprof=,0.006111, id=,S05, PRDE,actvstrat=,-0.160319, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S09, PRDE,actvstrat=,0.008565, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.556373, best_B_strat=,0.961216, best_S_id=,S02, best_S_prof=,0.330150, best_S_strat=,-0.358886, 
t=,97200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,0.137641, actvprof=,1.326203, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,9.066185, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.219599, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.035558, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,-0.178115, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.869727, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,9.066185, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.219599, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002361, id=,B05, PRDE,actvstrat=,0.137641, actvprof=,1.276155, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,9.129345, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.240633, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.042779, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.007778, id=,S08, PRDE,actvstrat=,-0.178115, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.869727, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,9.129345, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.240633, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.743343, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.843216, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.121396, id=,B09, PRDE,actvstrat=,0.067800, actvprof=,5.002222, id=,S02, PRDE,actvstrat=,-0.450734, actvprof=,0.362520, id=,S04, PRDE,actvstrat=,0.139064, actvprof=,0.226401, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.067782, id=,S08, PRDE,actvstrat=,-0.987773, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.980238, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.002222, best_B_strat=,0.067800, best_S_id=,S02, best_S_prof=,0.362520, best_S_strat=,-0.450734, 
t=,108000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.743343, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.843216, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.183617, id=,B09, PRDE,actvstrat=,0.067800, actvprof=,5.020313, id=,S02, PRDE,actvstrat=,-0.450734, actvprof=,0.424459, id=,S04, PRDE,actvstrat=,0.139064, actvprof=,0.215146, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.055002, id=,S08, PRDE,actvstrat=,-0.987773, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.980238, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.020313, best_B_strat=,0.067800, best_S_id=,S02, best_S_prof=,0.424459, best_S_strat=,-0.450734, 
t=,111600, id=,B01, PRDE,actvstrat=,-0.340602, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.858942, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,0.548368, actvprof=,1.130634, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,8.189735, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.057435, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.063893, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.189735, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.057435, best_S_strat=,1.000000, 
