t=,75600, id=,B02, PRDE,actvstrat=,-0.582013, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.369428, actvprof=,0.022224, id=,B05, PRDE,actvstrat=,0.794215, actvprof=,0.519773, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,1.354021, id=,B09, PRDE,actvstrat=,0.270535, actvprof=,5.190227, id=,S02, PRDE,actvstrat=,0.940940, actvprof=,3.872321, id=,S04, PRDE,actvstrat=,0.107821, actvprof=,0.245857, id=,S05, PRDE,actvstrat=,-0.036607, actvprof=,0.025280, id=,S06, PRDE,actvstrat=,0.232052, actvprof=,0.019446, id=,S08, PRDE,actvstrat=,0.101907, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.190227, best_B_strat=,0.270535, best_S_id=,S02, best_S_prof=,3.872321, best_S_strat=,0.940940, 
t=,79200, id=,B02, PRDE,actvstrat=,-0.582013, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.369428, actvprof=,0.016529, id=,B05, PRDE,actvstrat=,0.794215, actvprof=,0.559333, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,1.461321, id=,B09, PRDE,actvstrat=,0.270535, actvprof=,5.103859, id=,S02, PRDE,actvstrat=,0.940940, actvprof=,3.876022, id=,S04, PRDE,actvstrat=,0.107821, actvprof=,0.234734, id=,S05, PRDE,actvstrat=,-0.036607, actvprof=,0.023196, id=,S06, PRDE,actvstrat=,0.232052, actvprof=,0.019306, id=,S08, PRDE,actvstrat=,0.101907, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.103859, best_B_strat=,0.270535, best_S_id=,S02, best_S_prof=,3.876022, best_S_strat=,0.940940, 
t=,82800, id=,B02, PRDE,actvstrat=,0.008003, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.504010, actvprof=,0.171408, id=,B05, PRDE,actvstrat=,-0.514066, actvprof=,0.230303, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,2.568341, id=,B09, PRDE,actvstrat=,-0.848730, actvprof=,3.547061, id=,S02, PRDE,actvstrat=,0.890594, actvprof=,2.476386, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.062785, id=,S05, PRDE,actvstrat=,0.699897, actvprof=,0.015002, id=,S06, PRDE,actvstrat=,-0.499510, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.118349, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.547061, best_B_strat=,-0.848730, best_S_id=,S02, best_S_prof=,2.476386, best_S_strat=,0.890594, 
t=,86400, id=,B02, PRDE,actvstrat=,0.008003, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.504010, actvprof=,0.160981, id=,B05, PRDE,actvstrat=,-0.514066, actvprof=,0.255986, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,2.534724, id=,B09, PRDE,actvstrat=,-0.848730, actvprof=,3.653536, id=,S02, PRDE,actvstrat=,0.890594, actvprof=,2.559448, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.079449, id=,S05, PRDE,actvstrat=,0.699897, actvprof=,0.017084, id=,S06, PRDE,actvstrat=,-0.499510, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.118349, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.653536, best_B_strat=,-0.848730, best_S_id=,S02, best_S_prof=,2.559448, best_S_strat=,0.890594, 
t=,90000, id=,B02, PRDE,actvstrat=,0.797292, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.828549, actvprof=,0.128629, id=,B05, PRDE,actvstrat=,-0.274281, actvprof=,0.128073, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,1.988610, id=,B09, PRDE,actvstrat=,0.854738, actvprof=,6.563412, id=,S02, PRDE,actvstrat=,0.890594, actvprof=,3.362411, id=,S04, PRDE,actvstrat=,0.515582, actvprof=,0.200583, id=,S05, PRDE,actvstrat=,0.679442, actvprof=,0.088068, id=,S06, PRDE,actvstrat=,-0.623742, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.118349, actvprof=,0.001945, best_B_id=,B09, best_B_prof=,6.563412, best_B_strat=,0.854738, best_S_id=,S02, best_S_prof=,3.362411, best_S_strat=,0.890594, 
t=,93600, id=,B02, PRDE,actvstrat=,0.797292, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.828549, actvprof=,0.135982, id=,B05, PRDE,actvstrat=,-0.274281, actvprof=,0.128342, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,1.889020, id=,B09, PRDE,actvstrat=,0.854738, actvprof=,6.620043, id=,S02, PRDE,actvstrat=,0.890594, actvprof=,3.375929, id=,S04, PRDE,actvstrat=,0.515582, actvprof=,0.235989, id=,S05, PRDE,actvstrat=,0.679442, actvprof=,0.096257, id=,S06, PRDE,actvstrat=,-0.623742, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,0.118349, actvprof=,0.000972, best_B_id=,B09, best_B_prof=,6.620043, best_B_strat=,0.854738, best_S_id=,S02, best_S_prof=,3.375929, best_S_strat=,0.890594, 
t=,97200, id=,B02, PRDE,actvstrat=,0.617358, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.504010, actvprof=,0.084456, id=,B05, PRDE,actvstrat=,-0.738182, actvprof=,0.158355, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,1.862203, id=,B09, PRDE,actvstrat=,0.270535, actvprof=,6.036950, id=,S02, PRDE,actvstrat=,0.940940, actvprof=,3.498264, id=,S04, PRDE,actvstrat=,-0.796211, actvprof=,0.012502, id=,S05, PRDE,actvstrat=,-0.036607, actvprof=,0.028893, id=,S06, PRDE,actvstrat=,-0.718232, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,-0.281153, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.036950, best_B_strat=,0.270535, best_S_id=,S02, best_S_prof=,3.498264, best_S_strat=,0.940940, 
t=,100800, id=,B02, PRDE,actvstrat=,0.617358, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.504010, actvprof=,0.084311, id=,B05, PRDE,actvstrat=,-0.738182, actvprof=,0.154594, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,1.792763, id=,B09, PRDE,actvstrat=,0.270535, actvprof=,5.854851, id=,S02, PRDE,actvstrat=,0.940940, actvprof=,3.493437, id=,S04, PRDE,actvstrat=,-0.796211, actvprof=,0.010001, id=,S05, PRDE,actvstrat=,-0.036607, actvprof=,0.027919, id=,S06, PRDE,actvstrat=,-0.718232, actvprof=,0.004723, id=,S08, PRDE,actvstrat=,-0.281153, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.854851, best_B_strat=,0.270535, best_S_id=,S02, best_S_prof=,3.493437, best_S_strat=,0.940940, 
t=,104400, id=,B02, PRDE,actvstrat=,0.617358, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.504010, actvprof=,0.257262, id=,B05, PRDE,actvstrat=,0.050027, actvprof=,0.853186, id=,B06, PRDE,actvstrat=,-0.492935, actvprof=,1.270750, id=,B09, PRDE,actvstrat=,-0.848730, actvprof=,4.178138, id=,S02, PRDE,actvstrat=,0.940940, actvprof=,2.378419, id=,S04, PRDE,actvstrat=,0.515582, actvprof=,0.030005, id=,S05, PRDE,actvstrat=,0.699897, actvprof=,0.006112, id=,S06, PRDE,actvstrat=,0.232052, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.767362, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.178138, best_B_strat=,-0.848730, best_S_id=,S02, best_S_prof=,2.378419, best_S_strat=,0.940940, 
t=,108000, id=,B02, PRDE,actvstrat=,0.617358, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.504010, actvprof=,0.279468, id=,B05, PRDE,actvstrat=,0.050027, actvprof=,0.899797, id=,B06, PRDE,actvstrat=,-0.492935, actvprof=,1.342473, id=,B09, PRDE,actvstrat=,-0.848730, actvprof=,4.101731, id=,S02, PRDE,actvstrat=,0.940940, actvprof=,2.330611, id=,S04, PRDE,actvstrat=,0.515582, actvprof=,0.040003, id=,S05, PRDE,actvstrat=,0.699897, actvprof=,0.005000, id=,S06, PRDE,actvstrat=,0.232052, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.767362, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.101731, best_B_strat=,-0.848730, best_S_id=,S02, best_S_prof=,2.330611, best_S_strat=,0.940940, 
