t=,75600, id=,B00, PRDE,actvstrat=,-0.848031, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.313883, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.078642, actvprof=,0.033337, id=,B06, PRDE,actvstrat=,0.229585, actvprof=,1.891573, id=,B09, PRDE,actvstrat=,-0.787574, actvprof=,4.285972, id=,S00, PRDE,actvstrat=,0.773787, actvprof=,5.715278, id=,S02, PRDE,actvstrat=,-0.449314, actvprof=,0.301974, id=,S05, PRDE,actvstrat=,0.080948, actvprof=,0.010834, id=,S06, PRDE,actvstrat=,0.439315, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,-0.980747, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.285972, best_B_strat=,-0.787574, best_S_id=,S00, best_S_prof=,5.715278, best_S_strat=,0.773787, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.848031, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.313883, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.078642, actvprof=,0.033196, id=,B06, PRDE,actvstrat=,0.229585, actvprof=,1.853979, id=,B09, PRDE,actvstrat=,-0.787574, actvprof=,4.279236, id=,S00, PRDE,actvstrat=,0.773787, actvprof=,5.598328, id=,S02, PRDE,actvstrat=,-0.449314, actvprof=,0.343211, id=,S05, PRDE,actvstrat=,0.080948, actvprof=,0.006806, id=,S06, PRDE,actvstrat=,0.439315, actvprof=,0.001528, id=,S07, PRDE,actvstrat=,-0.980747, actvprof=,0.001528, best_B_id=,B09, best_B_prof=,4.279236, best_B_strat=,-0.787574, best_S_id=,S00, best_S_prof=,5.598328, best_S_strat=,0.773787, 
t=,82800, id=,B00, PRDE,actvstrat=,0.731038, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.690294, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.658151, actvprof=,0.007223, id=,B06, PRDE,actvstrat=,-0.805585, actvprof=,0.654786, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.781312, id=,S00, PRDE,actvstrat=,0.265785, actvprof=,3.653411, id=,S02, PRDE,actvstrat=,0.083790, actvprof=,0.919534, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.781312, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.653411, best_S_strat=,0.265785, 
t=,86400, id=,B00, PRDE,actvstrat=,0.731038, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.690294, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.658151, actvprof=,0.005139, id=,B06, PRDE,actvstrat=,-0.805585, actvprof=,0.631281, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.605370, id=,S00, PRDE,actvstrat=,0.265785, actvprof=,3.375025, id=,S02, PRDE,actvstrat=,0.083790, actvprof=,0.882404, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.605370, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.375025, best_S_strat=,0.265785, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.697230, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.544900, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.951757, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.630919, actvprof=,0.703957, id=,B09, PRDE,actvstrat=,0.287785, actvprof=,4.337644, id=,S00, PRDE,actvstrat=,-0.131333, actvprof=,2.001306, id=,S02, PRDE,actvstrat=,-0.205958, actvprof=,0.471990, id=,S05, PRDE,actvstrat=,-0.178054, actvprof=,0.002500, id=,S06, PRDE,actvstrat=,0.129173, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,0.412931, actvprof=,0.004723, best_B_id=,B09, best_B_prof=,4.337644, best_B_strat=,0.287785, best_S_id=,S00, best_S_prof=,2.001306, best_S_strat=,-0.131333, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.697230, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.544900, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.951757, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,0.630919, actvprof=,0.700312, id=,B09, PRDE,actvstrat=,0.287785, actvprof=,4.382019, id=,S00, PRDE,actvstrat=,-0.131333, actvprof=,2.015376, id=,S02, PRDE,actvstrat=,-0.205958, actvprof=,0.509608, id=,S05, PRDE,actvstrat=,-0.178054, actvprof=,0.002083, id=,S06, PRDE,actvstrat=,0.129173, actvprof=,0.005834, id=,S07, PRDE,actvstrat=,0.412931, actvprof=,0.003056, best_B_id=,B09, best_B_prof=,4.382019, best_B_strat=,0.287785, best_S_id=,S00, best_S_prof=,2.015376, best_S_strat=,-0.131333, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.985410, actvprof=,0.025280, id=,B06, PRDE,actvstrat=,0.289256, actvprof=,1.579876, id=,B09, PRDE,actvstrat=,-0.815307, actvprof=,3.921215, id=,S00, PRDE,actvstrat=,-0.020226, actvprof=,2.104649, id=,S02, PRDE,actvstrat=,-0.303422, actvprof=,0.153348, id=,S05, PRDE,actvstrat=,0.836230, actvprof=,0.008056, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.921215, best_B_strat=,-0.815307, best_S_id=,S00, best_S_prof=,2.104649, best_S_strat=,-0.020226, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.985410, actvprof=,0.017223, id=,B06, PRDE,actvstrat=,0.289256, actvprof=,1.527019, id=,B09, PRDE,actvstrat=,-0.815307, actvprof=,3.667817, id=,S00, PRDE,actvstrat=,-0.020226, actvprof=,2.095796, id=,S02, PRDE,actvstrat=,-0.303422, actvprof=,0.182648, id=,S05, PRDE,actvstrat=,0.836230, actvprof=,0.006111, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.667817, best_B_strat=,-0.815307, best_S_id=,S00, best_S_prof=,2.095796, best_S_strat=,-0.020226, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.515590, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.646758, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.570013, actvprof=,0.028614, id=,B06, PRDE,actvstrat=,-0.404252, actvprof=,1.064548, id=,B09, PRDE,actvstrat=,-0.815307, actvprof=,4.325976, id=,S00, PRDE,actvstrat=,0.156344, actvprof=,2.509966, id=,S02, PRDE,actvstrat=,-0.984806, actvprof=,0.070285, id=,S05, PRDE,actvstrat=,0.160619, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.903686, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,0.641033, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.325976, best_B_strat=,-0.815307, best_S_id=,S00, best_S_prof=,2.509966, best_S_strat=,0.156344, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.515590, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.646758, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.570013, actvprof=,0.028057, id=,B06, PRDE,actvstrat=,-0.404252, actvprof=,1.002271, id=,B09, PRDE,actvstrat=,-0.815307, actvprof=,4.444105, id=,S00, PRDE,actvstrat=,0.156344, actvprof=,2.433868, id=,S02, PRDE,actvstrat=,-0.984806, actvprof=,0.068337, id=,S05, PRDE,actvstrat=,0.160619, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.903686, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.641033, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.444105, best_B_strat=,-0.815307, best_S_id=,S00, best_S_prof=,2.433868, best_S_strat=,0.156344, 
