t=,79200, id=,B00, PRDE,actvstrat=,0.614919, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.359339, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.013855, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.037712, actvprof=,0.017639, id=,B08, PRDE,actvstrat=,0.144034, actvprof=,4.464707, id=,S03, PRDE,actvstrat=,-0.020725, actvprof=,0.444040, id=,S04, PRDE,actvstrat=,-0.833994, actvprof=,0.004028, id=,S06, PRDE,actvstrat=,0.747110, actvprof=,0.004861, id=,S07, PRDE,actvstrat=,-0.151293, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.101536, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.464707, best_B_strat=,0.144034, best_S_id=,S03, best_S_prof=,0.444040, best_S_strat=,-0.020725, 
t=,82800, id=,B00, PRDE,actvstrat=,0.691238, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.593581, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.006970, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.120020, actvprof=,0.125563, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,7.172621, id=,S03, PRDE,actvstrat=,0.256331, actvprof=,0.241402, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.106395, id=,S06, PRDE,actvstrat=,0.248405, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,-0.410757, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.982457, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,7.172621, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,0.241402, best_S_strat=,0.256331, 
t=,86400, id=,B00, PRDE,actvstrat=,0.691238, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.593581, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.006970, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.120020, actvprof=,0.167227, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,7.260757, id=,S03, PRDE,actvstrat=,0.256331, actvprof=,0.182783, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.099864, id=,S06, PRDE,actvstrat=,0.248405, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.410757, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.982457, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,7.260757, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,0.182783, best_S_strat=,0.256331, 
t=,90000, id=,B00, PRDE,actvstrat=,0.106829, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.157387, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.142610, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.910573, actvprof=,0.023890, id=,B08, PRDE,actvstrat=,0.733283, actvprof=,5.796155, id=,S03, PRDE,actvstrat=,0.686756, actvprof=,1.127285, id=,S04, PRDE,actvstrat=,0.603958, actvprof=,0.146397, id=,S06, PRDE,actvstrat=,0.265693, actvprof=,0.004445, id=,S07, PRDE,actvstrat=,0.111372, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.809218, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.796155, best_B_strat=,0.733283, best_S_id=,S03, best_S_prof=,1.127285, best_S_strat=,0.686756, 
t=,93600, id=,B00, PRDE,actvstrat=,0.106829, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.157387, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.142610, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.910573, actvprof=,0.021806, id=,B08, PRDE,actvstrat=,0.733283, actvprof=,5.613350, id=,S03, PRDE,actvstrat=,0.686756, actvprof=,1.211978, id=,S04, PRDE,actvstrat=,0.603958, actvprof=,0.193616, id=,S06, PRDE,actvstrat=,0.265693, actvprof=,0.004722, id=,S07, PRDE,actvstrat=,0.111372, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.809218, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.613350, best_B_strat=,0.733283, best_S_id=,S03, best_S_prof=,1.211978, best_S_strat=,0.686756, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.721314, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.524663, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.206822, actvprof=,0.017223, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.146453, id=,S03, PRDE,actvstrat=,0.464450, actvprof=,0.882549, id=,S04, PRDE,actvstrat=,-0.095878, actvprof=,0.022779, id=,S06, PRDE,actvstrat=,-0.793771, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-0.379004, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.146453, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,0.882549, best_S_strat=,0.464450, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.721314, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.524663, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,-0.206822, actvprof=,0.029306, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.018639, id=,S03, PRDE,actvstrat=,0.464450, actvprof=,0.927665, id=,S04, PRDE,actvstrat=,-0.095878, actvprof=,0.038196, id=,S06, PRDE,actvstrat=,-0.793771, actvprof=,0.001250, id=,S07, PRDE,actvstrat=,-0.379004, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.018639, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,0.927665, best_S_strat=,0.464450, 
t=,104400, id=,B00, PRDE,actvstrat=,0.803620, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.593581, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.438190, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.192443, actvprof=,0.047780, id=,B08, PRDE,actvstrat=,0.113676, actvprof=,4.530807, id=,S03, PRDE,actvstrat=,0.232707, actvprof=,0.621979, id=,S04, PRDE,actvstrat=,0.614625, actvprof=,0.176676, id=,S06, PRDE,actvstrat=,0.090668, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-0.379004, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.795629, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.530807, best_B_strat=,0.113676, best_S_id=,S03, best_S_prof=,0.621979, best_S_strat=,0.232707, 
t=,108000, id=,B00, PRDE,actvstrat=,0.803620, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.593581, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.438190, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.192443, actvprof=,0.034445, id=,B08, PRDE,actvstrat=,0.113676, actvprof=,4.553460, id=,S03, PRDE,actvstrat=,0.232707, actvprof=,0.586127, id=,S04, PRDE,actvstrat=,0.614625, actvprof=,0.144448, id=,S06, PRDE,actvstrat=,0.090668, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,-0.379004, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.795629, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.553460, best_B_strat=,0.113676, best_S_id=,S03, best_S_prof=,0.586127, best_S_strat=,0.232707, 
t=,111600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.047202, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.328056, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,0.025608, actvprof=,0.095561, id=,B08, PRDE,actvstrat=,0.920165, actvprof=,6.782599, id=,S03, PRDE,actvstrat=,-0.704357, actvprof=,0.045003, id=,S04, PRDE,actvstrat=,0.973673, actvprof=,0.188899, id=,S06, PRDE,actvstrat=,0.139001, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.279354, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.537091, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.782599, best_B_strat=,0.920165, best_S_id=,S04, best_S_prof=,0.188899, best_S_strat=,0.973673, 
