t=,75600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.676777, actvprof=,0.138343, id=,B06, PRDE,actvstrat=,0.114622, actvprof=,1.506216, id=,B07, PRDE,actvstrat=,0.212592, actvprof=,3.167164, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.913744, id=,S01, PRDE,actvstrat=,-0.350942, actvprof=,0.773665, id=,S03, PRDE,actvstrat=,0.639264, actvprof=,0.676436, id=,S06, PRDE,actvstrat=,0.952222, actvprof=,0.025280, id=,S07, PRDE,actvstrat=,0.766562, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,0.900479, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.913744, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,0.773665, best_S_strat=,-0.350942, 
t=,79200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.676777, actvprof=,0.121810, id=,B06, PRDE,actvstrat=,0.114622, actvprof=,1.555748, id=,B07, PRDE,actvstrat=,0.212592, actvprof=,3.156360, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.908122, id=,S01, PRDE,actvstrat=,-0.350942, actvprof=,0.763638, id=,S03, PRDE,actvstrat=,0.639264, actvprof=,0.667245, id=,S06, PRDE,actvstrat=,0.952222, actvprof=,0.027640, id=,S07, PRDE,actvstrat=,0.766562, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,0.900479, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.908122, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,0.763638, best_S_strat=,-0.350942, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.835081, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.161877, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.595072, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.494701, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.074104, id=,S03, PRDE,actvstrat=,0.824458, actvprof=,1.654050, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.029170, id=,S07, PRDE,actvstrat=,0.750584, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,-0.452235, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.494701, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.074104, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.785449, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.165090, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.604872, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.537870, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.040627, id=,S03, PRDE,actvstrat=,0.824458, actvprof=,1.708266, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.041807, id=,S07, PRDE,actvstrat=,0.750584, actvprof=,0.001528, id=,S09, PRDE,actvstrat=,-0.452235, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.537870, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.040627, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.777823, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.316157, actvprof=,0.888142, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.108913, id=,B07, PRDE,actvstrat=,-0.330494, actvprof=,2.579417, id=,B08, PRDE,actvstrat=,0.831578, actvprof=,6.410345, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.414596, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.279569, id=,S06, PRDE,actvstrat=,0.265057, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,0.449780, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.144472, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.410345, best_B_strat=,0.831578, best_S_id=,S01, best_S_prof=,4.414596, best_S_strat=,1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.777823, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.316157, actvprof=,0.889488, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.057788, id=,B07, PRDE,actvstrat=,-0.330494, actvprof=,2.541929, id=,B08, PRDE,actvstrat=,0.831578, actvprof=,6.478232, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.396325, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.303258, id=,S06, PRDE,actvstrat=,0.265057, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.449780, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.144472, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.478232, best_B_strat=,0.831578, best_S_id=,S01, best_S_prof=,4.396325, best_S_strat=,1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.603201, actvprof=,0.742850, id=,B06, PRDE,actvstrat=,-0.382989, actvprof=,1.941300, id=,B07, PRDE,actvstrat=,-0.581420, actvprof=,3.536177, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,7.277374, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.348103, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.429208, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.009445, id=,S07, PRDE,actvstrat=,0.398341, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,7.277374, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.348103, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.603201, actvprof=,0.735036, id=,B06, PRDE,actvstrat=,-0.382989, actvprof=,1.920649, id=,B07, PRDE,actvstrat=,-0.581420, actvprof=,3.488086, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,7.371747, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.317383, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.412937, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.006528, id=,S07, PRDE,actvstrat=,0.398341, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,7.371747, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.317383, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.013696, id=,B06, PRDE,actvstrat=,-0.892212, actvprof=,0.159458, id=,B07, PRDE,actvstrat=,-0.581420, actvprof=,1.869045, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.939662, id=,S01, PRDE,actvstrat=,0.561575, actvprof=,3.330278, id=,S03, PRDE,actvstrat=,-0.507540, actvprof=,0.048060, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.023057, id=,S07, PRDE,actvstrat=,0.750584, actvprof=,0.000556, id=,S09, PRDE,actvstrat=,-0.452235, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.939662, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.330278, best_S_strat=,0.561575, 
t=,108000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.003521, id=,B06, PRDE,actvstrat=,-0.892212, actvprof=,0.178064, id=,B07, PRDE,actvstrat=,-0.581420, actvprof=,1.803560, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.933483, id=,S01, PRDE,actvstrat=,0.561575, actvprof=,3.400165, id=,S03, PRDE,actvstrat=,-0.507540, actvprof=,0.049169, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.018195, id=,S07, PRDE,actvstrat=,0.750584, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,-0.452235, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.933483, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.400165, best_S_strat=,0.561575, 
t=,111600, id=,B00, PRDE,actvstrat=,0.074260, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.952315, id=,B06, PRDE,actvstrat=,-0.299930, actvprof=,0.742850, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.252636, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.858625, id=,S01, PRDE,actvstrat=,-0.546394, actvprof=,0.711736, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.972970, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.022224, id=,S07, PRDE,actvstrat=,0.972914, actvprof=,0.006945, id=,S09, PRDE,actvstrat=,-0.410184, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.858625, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.972970, best_S_strat=,-1.000000, 
