t=,79200, id=,B00, PRDE,actvstrat=,0.568559, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.356533, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.846664, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.151544, actvprof=,0.751960, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.180066, id=,S01, PRDE,actvstrat=,-0.600127, actvprof=,1.608922, id=,S02, PRDE,actvstrat=,0.494412, actvprof=,2.785336, id=,S04, PRDE,actvstrat=,0.920786, actvprof=,1.128218, id=,S05, PRDE,actvstrat=,0.466747, actvprof=,0.020417, id=,S08, PRDE,actvstrat=,0.787907, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.180066, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.785336, best_S_strat=,0.494412, 
t=,82800, id=,B00, PRDE,actvstrat=,0.723833, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.441491, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.890162, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.038224, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.882940, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.667806, id=,S05, PRDE,actvstrat=,0.574971, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,0.614943, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.890162, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.038224, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,0.723833, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.432395, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.881165, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.075334, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.839914, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.695426, id=,S05, PRDE,actvstrat=,0.574971, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,0.614943, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.881165, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.075334, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,0.878775, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.998190, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.014294, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.406428, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.843968, id=,S01, PRDE,actvstrat=,-0.307055, actvprof=,2.031445, id=,S02, PRDE,actvstrat=,0.592644, actvprof=,3.481208, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.561432, id=,S05, PRDE,actvstrat=,0.631390, actvprof=,0.062502, id=,S08, PRDE,actvstrat=,-0.995608, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.843968, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.481208, best_S_strat=,0.592644, 
t=,93600, id=,B00, PRDE,actvstrat=,0.878775, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.998190, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.014294, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.379880, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.837956, id=,S01, PRDE,actvstrat=,-0.307055, actvprof=,1.916832, id=,S02, PRDE,actvstrat=,0.592644, actvprof=,3.559911, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.546410, id=,S05, PRDE,actvstrat=,0.631390, actvprof=,0.065001, id=,S08, PRDE,actvstrat=,-0.995608, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.837956, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.559911, best_S_strat=,0.592644, 
t=,97200, id=,B00, PRDE,actvstrat=,0.764892, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.009014, id=,B07, PRDE,actvstrat=,0.627480, actvprof=,4.462964, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.441852, id=,S02, PRDE,actvstrat=,0.957624, actvprof=,2.689834, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.239454, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.082503, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.462964, best_B_strat=,0.627480, best_S_id=,S01, best_S_prof=,4.441852, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,0.764892, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.009507, id=,B07, PRDE,actvstrat=,0.627480, actvprof=,4.380925, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.404536, id=,S02, PRDE,actvstrat=,0.957624, actvprof=,2.668389, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.217227, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.082363, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.380925, best_B_strat=,0.627480, best_S_id=,S01, best_S_prof=,4.404536, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.018475, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.866286, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.742704, actvprof=,0.838912, id=,B07, PRDE,actvstrat=,0.192973, actvprof=,1.511153, id=,S01, PRDE,actvstrat=,0.377159, actvprof=,4.540959, id=,S02, PRDE,actvstrat=,0.675690, actvprof=,3.825384, id=,S04, PRDE,actvstrat=,-0.670707, actvprof=,0.066113, id=,S05, PRDE,actvstrat=,-0.879633, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.220932, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.511153, best_B_strat=,0.192973, best_S_id=,S01, best_S_prof=,4.540959, best_S_strat=,0.377159, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.018475, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.866286, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.742704, actvprof=,0.826545, id=,B07, PRDE,actvstrat=,0.192973, actvprof=,1.508643, id=,S01, PRDE,actvstrat=,0.377159, actvprof=,4.500233, id=,S02, PRDE,actvstrat=,0.675690, actvprof=,3.898276, id=,S04, PRDE,actvstrat=,-0.670707, actvprof=,0.060696, id=,S05, PRDE,actvstrat=,-0.879633, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.220932, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.508643, best_B_strat=,0.192973, best_S_id=,S01, best_S_prof=,4.500233, best_S_strat=,0.377159, 
t=,111600, id=,B00, PRDE,actvstrat=,-0.493517, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.895398, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.397961, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.283512, id=,S02, PRDE,actvstrat=,0.811581, actvprof=,2.687612, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.497799, id=,S05, PRDE,actvstrat=,-0.295861, actvprof=,0.012778, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.397961, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.283512, best_S_strat=,-1.000000, 
