t=,75600, id=,B00, PRDE,actvstrat=,-0.997129, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.044867, actvprof=,0.003056, id=,B06, PRDE,actvstrat=,0.898833, actvprof=,2.248458, id=,B07, PRDE,actvstrat=,-0.085869, actvprof=,2.149564, id=,B09, PRDE,actvstrat=,0.863794, actvprof=,6.819823, id=,S00, PRDE,actvstrat=,-0.338219, actvprof=,1.966220, id=,S02, PRDE,actvstrat=,0.669512, actvprof=,2.591255, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.665037, id=,S06, PRDE,actvstrat=,-0.461257, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.221088, actvprof=,0.002778, best_B_id=,B09, best_B_prof=,6.819823, best_B_strat=,0.863794, best_S_id=,S02, best_S_prof=,2.591255, best_S_strat=,0.669512, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.997129, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.044867, actvprof=,0.002917, id=,B06, PRDE,actvstrat=,0.898833, actvprof=,2.249661, id=,B07, PRDE,actvstrat=,-0.085869, actvprof=,2.107573, id=,B09, PRDE,actvstrat=,0.863794, actvprof=,6.841488, id=,S00, PRDE,actvstrat=,-0.338219, actvprof=,1.921178, id=,S02, PRDE,actvstrat=,0.669512, actvprof=,2.493420, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.627105, id=,S06, PRDE,actvstrat=,-0.461257, actvprof=,0.007222, id=,S07, PRDE,actvstrat=,0.221088, actvprof=,0.004028, best_B_id=,B09, best_B_prof=,6.841488, best_B_strat=,0.863794, best_S_id=,S02, best_S_prof=,2.493420, best_S_strat=,0.669512, 
t=,82800, id=,B00, PRDE,actvstrat=,0.178471, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.724078, id=,B07, PRDE,actvstrat=,-0.512739, actvprof=,2.097090, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.801375, id=,S00, PRDE,actvstrat=,0.351866, actvprof=,3.815821, id=,S02, PRDE,actvstrat=,-0.925093, actvprof=,0.175568, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.265574, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.029446, id=,S07, PRDE,actvstrat=,0.202490, actvprof=,0.001111, best_B_id=,B09, best_B_prof=,7.801375, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.815821, best_S_strat=,0.351866, 
t=,86400, id=,B00, PRDE,actvstrat=,0.178471, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000972, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.788013, id=,B07, PRDE,actvstrat=,-0.512739, actvprof=,2.136046, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.851523, id=,S00, PRDE,actvstrat=,0.351866, actvprof=,3.854856, id=,S02, PRDE,actvstrat=,-0.925093, actvprof=,0.196396, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.246814, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.023056, id=,S07, PRDE,actvstrat=,0.202490, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,7.851523, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.854856, best_S_strat=,0.351866, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.997375, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.196702, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.671232, actvprof=,1.042572, id=,B07, PRDE,actvstrat=,-0.512739, actvprof=,2.414612, id=,B09, PRDE,actvstrat=,-0.767922, actvprof=,5.062018, id=,S00, PRDE,actvstrat=,-0.717882, actvprof=,1.192305, id=,S02, PRDE,actvstrat=,-0.245329, actvprof=,0.270019, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.092506, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.197281, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.062018, best_B_strat=,-0.767922, best_S_id=,S00, best_S_prof=,1.192305, best_S_strat=,-0.717882, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.997375, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.196702, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.671232, actvprof=,1.036557, id=,B07, PRDE,actvstrat=,-0.512739, actvprof=,2.552849, id=,B09, PRDE,actvstrat=,-0.767922, actvprof=,5.053890, id=,S00, PRDE,actvstrat=,-0.717882, actvprof=,1.171005, id=,S02, PRDE,actvstrat=,-0.245329, actvprof=,0.254452, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.097642, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.197281, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.053890, best_B_strat=,-0.767922, best_S_id=,S00, best_S_prof=,1.171005, best_S_strat=,-0.717882, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.819941, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.361137, actvprof=,0.025280, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.872074, id=,B07, PRDE,actvstrat=,0.255817, actvprof=,2.751858, id=,B09, PRDE,actvstrat=,-0.155424, actvprof=,4.758386, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.522397, id=,S02, PRDE,actvstrat=,0.860808, actvprof=,3.332731, id=,S04, PRDE,actvstrat=,0.115441, actvprof=,0.134454, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.028613, id=,S07, PRDE,actvstrat=,-0.115937, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.758386, best_B_strat=,-0.155424, best_S_id=,S00, best_S_prof=,6.522397, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.819941, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.361137, actvprof=,0.026390, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.844092, id=,B07, PRDE,actvstrat=,0.255817, actvprof=,2.687316, id=,B09, PRDE,actvstrat=,-0.155424, actvprof=,4.741831, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.539116, id=,S02, PRDE,actvstrat=,0.860808, actvprof=,3.290253, id=,S04, PRDE,actvstrat=,0.115441, actvprof=,0.130560, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.031668, id=,S07, PRDE,actvstrat=,-0.115937, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.741831, best_B_strat=,-0.155424, best_S_id=,S00, best_S_prof=,6.539116, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.819941, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.710507, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.109619, actvprof=,0.412801, id=,B07, PRDE,actvstrat=,0.255817, actvprof=,2.334852, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.725374, id=,S00, PRDE,actvstrat=,0.334497, actvprof=,4.311628, id=,S02, PRDE,actvstrat=,-0.850217, actvprof=,0.151675, id=,S04, PRDE,actvstrat=,0.413080, actvprof=,0.183344, id=,S06, PRDE,actvstrat=,0.899506, actvprof=,0.038613, id=,S07, PRDE,actvstrat=,0.894908, actvprof=,0.015001, best_B_id=,B09, best_B_prof=,6.725374, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.311628, best_S_strat=,0.334497, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.819941, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.710507, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.109619, actvprof=,0.451405, id=,B07, PRDE,actvstrat=,0.255817, actvprof=,2.307163, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.683427, id=,S00, PRDE,actvstrat=,0.334497, actvprof=,4.323067, id=,S02, PRDE,actvstrat=,-0.850217, actvprof=,0.162089, id=,S04, PRDE,actvstrat=,0.413080, actvprof=,0.181395, id=,S06, PRDE,actvstrat=,0.899506, actvprof=,0.053613, id=,S07, PRDE,actvstrat=,0.894908, actvprof=,0.017917, best_B_id=,B09, best_B_prof=,6.683427, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.323067, best_S_strat=,0.334497, 
