t=,75600, id=,B02, PRDE,actvstrat=,0.500053, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.050504, actvprof=,0.003889, id=,B05, PRDE,actvstrat=,0.408398, actvprof=,0.917576, id=,B06, PRDE,actvstrat=,-0.906808, actvprof=,0.445037, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,5.781871, id=,S00, PRDE,actvstrat=,0.776691, actvprof=,5.758535, id=,S02, PRDE,actvstrat=,-0.375858, actvprof=,0.545879, id=,S05, PRDE,actvstrat=,-0.827983, actvprof=,0.021946, id=,S06, PRDE,actvstrat=,-0.530157, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.350697, actvprof=,0.001945, best_B_id=,B09, best_B_prof=,5.781871, best_B_strat=,-0.247459, best_S_id=,S00, best_S_prof=,5.758535, best_S_strat=,0.776691, 
t=,79200, id=,B02, PRDE,actvstrat=,0.500053, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.050504, actvprof=,0.006806, id=,B05, PRDE,actvstrat=,0.408398, actvprof=,0.891287, id=,B06, PRDE,actvstrat=,-0.906808, actvprof=,0.398906, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,5.843160, id=,S00, PRDE,actvstrat=,0.776691, actvprof=,5.711349, id=,S02, PRDE,actvstrat=,-0.375858, actvprof=,0.477659, id=,S05, PRDE,actvstrat=,-0.827983, actvprof=,0.015834, id=,S06, PRDE,actvstrat=,-0.530157, actvprof=,0.002361, id=,S07, PRDE,actvstrat=,-0.350697, actvprof=,0.000972, best_B_id=,B09, best_B_prof=,5.843160, best_B_strat=,-0.247459, best_S_id=,S00, best_S_prof=,5.711349, best_S_strat=,0.776691, 
t=,82800, id=,B02, PRDE,actvstrat=,-0.222845, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.050504, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-0.752543, actvprof=,0.190571, id=,B06, PRDE,actvstrat=,-0.801077, actvprof=,0.606162, id=,B09, PRDE,actvstrat=,-0.245192, actvprof=,5.816874, id=,S00, PRDE,actvstrat=,-0.320246, actvprof=,1.947107, id=,S02, PRDE,actvstrat=,-0.385157, actvprof=,0.386977, id=,S05, PRDE,actvstrat=,0.618309, actvprof=,0.013890, id=,S06, PRDE,actvstrat=,0.185188, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,-0.311653, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.816874, best_B_strat=,-0.245192, best_S_id=,S00, best_S_prof=,1.947107, best_S_strat=,-0.320246, 
t=,86400, id=,B02, PRDE,actvstrat=,-0.222845, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.050504, actvprof=,0.000139, id=,B05, PRDE,actvstrat=,-0.752543, actvprof=,0.189036, id=,B06, PRDE,actvstrat=,-0.801077, actvprof=,0.637388, id=,B09, PRDE,actvstrat=,-0.245192, actvprof=,5.853022, id=,S00, PRDE,actvstrat=,-0.320246, actvprof=,1.916191, id=,S02, PRDE,actvstrat=,-0.385157, actvprof=,0.372516, id=,S05, PRDE,actvstrat=,0.618309, actvprof=,0.015556, id=,S06, PRDE,actvstrat=,0.185188, actvprof=,0.001806, id=,S07, PRDE,actvstrat=,-0.311653, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.853022, best_B_strat=,-0.245192, best_S_id=,S00, best_S_prof=,1.916191, best_S_strat=,-0.320246, 
t=,90000, id=,B02, PRDE,actvstrat=,0.500053, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.717265, actvprof=,0.005278, id=,B05, PRDE,actvstrat=,0.065776, actvprof=,0.456983, id=,B06, PRDE,actvstrat=,-0.361460, actvprof=,0.763953, id=,B09, PRDE,actvstrat=,-0.245192, actvprof=,5.332111, id=,S00, PRDE,actvstrat=,-0.252351, actvprof=,2.300747, id=,S02, PRDE,actvstrat=,-0.278896, actvprof=,0.652277, id=,S05, PRDE,actvstrat=,0.618309, actvprof=,0.028336, id=,S06, PRDE,actvstrat=,0.185188, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,0.218870, actvprof=,0.000833, best_B_id=,B09, best_B_prof=,5.332111, best_B_strat=,-0.245192, best_S_id=,S00, best_S_prof=,2.300747, best_S_strat=,-0.252351, 
t=,93600, id=,B02, PRDE,actvstrat=,0.500053, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.717265, actvprof=,0.004028, id=,B05, PRDE,actvstrat=,0.065776, actvprof=,0.497660, id=,B06, PRDE,actvstrat=,-0.361460, actvprof=,0.814478, id=,B09, PRDE,actvstrat=,-0.245192, actvprof=,5.261469, id=,S00, PRDE,actvstrat=,-0.252351, actvprof=,2.157451, id=,S02, PRDE,actvstrat=,-0.278896, actvprof=,0.576413, id=,S05, PRDE,actvstrat=,0.618309, actvprof=,0.034446, id=,S06, PRDE,actvstrat=,0.185188, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,0.218870, actvprof=,0.000417, best_B_id=,B09, best_B_prof=,5.261469, best_B_strat=,-0.245192, best_S_id=,S00, best_S_prof=,2.157451, best_S_strat=,-0.252351, 
t=,97200, id=,B02, PRDE,actvstrat=,-0.830718, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.932898, actvprof=,0.003334, id=,B05, PRDE,actvstrat=,-0.138750, actvprof=,0.364197, id=,B06, PRDE,actvstrat=,-0.801077, actvprof=,0.635609, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,5.916604, id=,S00, PRDE,actvstrat=,-0.590028, actvprof=,1.834042, id=,S02, PRDE,actvstrat=,-0.375858, actvprof=,0.334472, id=,S05, PRDE,actvstrat=,-0.071026, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.973159, actvprof=,0.020835, id=,S07, PRDE,actvstrat=,-0.663662, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.916604, best_B_strat=,-0.247459, best_S_id=,S00, best_S_prof=,1.834042, best_S_strat=,-0.590028, 
t=,100800, id=,B02, PRDE,actvstrat=,-0.830718, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.932898, actvprof=,0.001806, id=,B05, PRDE,actvstrat=,-0.138750, actvprof=,0.327930, id=,B06, PRDE,actvstrat=,-0.801077, actvprof=,0.617526, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,6.061503, id=,S00, PRDE,actvstrat=,-0.590028, actvprof=,1.914246, id=,S02, PRDE,actvstrat=,-0.375858, actvprof=,0.380433, id=,S05, PRDE,actvstrat=,-0.071026, actvprof=,0.000972, id=,S06, PRDE,actvstrat=,-0.973159, actvprof=,0.016112, id=,S07, PRDE,actvstrat=,-0.663662, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.061503, best_B_strat=,-0.247459, best_S_id=,S00, best_S_prof=,1.914246, best_S_strat=,-0.590028, 
t=,104400, id=,B02, PRDE,actvstrat=,-0.830718, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.510167, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.605543, actvprof=,0.171959, id=,B06, PRDE,actvstrat=,-0.801077, actvprof=,0.497541, id=,B09, PRDE,actvstrat=,0.192775, actvprof=,6.771398, id=,S00, PRDE,actvstrat=,-0.252351, actvprof=,2.171848, id=,S02, PRDE,actvstrat=,-0.385157, actvprof=,0.433925, id=,S05, PRDE,actvstrat=,-0.071026, actvprof=,0.033058, id=,S06, PRDE,actvstrat=,0.241086, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,-0.350697, actvprof=,0.001667, best_B_id=,B09, best_B_prof=,6.771398, best_B_strat=,0.192775, best_S_id=,S00, best_S_prof=,2.171848, best_S_strat=,-0.252351, 
t=,108000, id=,B02, PRDE,actvstrat=,-0.830718, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.510167, actvprof=,0.001528, id=,B05, PRDE,actvstrat=,-0.605543, actvprof=,0.170979, id=,B06, PRDE,actvstrat=,-0.801077, actvprof=,0.522938, id=,B09, PRDE,actvstrat=,0.192775, actvprof=,6.795283, id=,S00, PRDE,actvstrat=,-0.252351, actvprof=,2.163423, id=,S02, PRDE,actvstrat=,-0.385157, actvprof=,0.434046, id=,S05, PRDE,actvstrat=,-0.071026, actvprof=,0.019862, id=,S06, PRDE,actvstrat=,0.241086, actvprof=,0.007084, id=,S07, PRDE,actvstrat=,-0.350697, actvprof=,0.003056, best_B_id=,B09, best_B_prof=,6.795283, best_B_strat=,0.192775, best_S_id=,S00, best_S_prof=,2.163423, best_S_strat=,-0.252351, 
