t=,75600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.020834, id=,B04, PRDE,actvstrat=,0.877787, actvprof=,0.119729, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.851992, id=,B07, PRDE,actvstrat=,0.437176, actvprof=,3.348797, id=,S00, PRDE,actvstrat=,0.047608, actvprof=,3.768265, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.098894, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.777877, id=,S08, PRDE,actvstrat=,0.034895, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.348797, best_B_strat=,0.437176, best_S_id=,S01, best_S_prof=,5.098894, best_S_strat=,1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.019028, id=,B04, PRDE,actvstrat=,0.877787, actvprof=,0.110143, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.820445, id=,B07, PRDE,actvstrat=,0.437176, actvprof=,3.337338, id=,S00, PRDE,actvstrat=,0.047608, actvprof=,3.727629, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.169902, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.869926, id=,S08, PRDE,actvstrat=,0.034895, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.337338, best_B_strat=,0.437176, best_S_id=,S01, best_S_prof=,5.169902, best_S_strat=,1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,0.054733, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.728951, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,0.901250, actvprof=,0.234464, id=,B05, PRDE,actvstrat=,0.215496, actvprof=,0.550879, id=,B07, PRDE,actvstrat=,0.437176, actvprof=,3.468900, id=,S00, PRDE,actvstrat=,-0.126269, actvprof=,2.241020, id=,S01, PRDE,actvstrat=,0.884111, actvprof=,4.620941, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.448454, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.697328, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.468900, best_B_strat=,0.437176, best_S_id=,S01, best_S_prof=,4.620941, best_S_strat=,0.884111, 
t=,86400, id=,B01, PRDE,actvstrat=,0.054733, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.728951, actvprof=,0.003750, id=,B04, PRDE,actvstrat=,0.901250, actvprof=,0.199590, id=,B05, PRDE,actvstrat=,0.215496, actvprof=,0.496823, id=,B07, PRDE,actvstrat=,0.437176, actvprof=,3.469704, id=,S00, PRDE,actvstrat=,-0.126269, actvprof=,1.728116, id=,S01, PRDE,actvstrat=,0.884111, actvprof=,4.575020, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.546304, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.697328, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.469704, best_B_strat=,0.437176, best_S_id=,S01, best_S_prof=,4.575020, best_S_strat=,0.884111, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.683322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.901250, actvprof=,0.143067, id=,B05, PRDE,actvstrat=,0.215496, actvprof=,0.591994, id=,B07, PRDE,actvstrat=,0.437176, actvprof=,3.658916, id=,S00, PRDE,actvstrat=,0.047608, actvprof=,1.988221, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.175348, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.521516, id=,S08, PRDE,actvstrat=,-0.488167, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.791761, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.658916, best_B_strat=,0.437176, best_S_id=,S01, best_S_prof=,4.175348, best_S_strat=,-1.000000, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.683322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,0.901250, actvprof=,0.144589, id=,B05, PRDE,actvstrat=,0.215496, actvprof=,0.575857, id=,B07, PRDE,actvstrat=,0.437176, actvprof=,3.793908, id=,S00, PRDE,actvstrat=,0.047608, actvprof=,2.192036, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.143645, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.482284, id=,S08, PRDE,actvstrat=,-0.488167, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.791761, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.793908, best_B_strat=,0.437176, best_S_id=,S01, best_S_prof=,4.143645, best_S_strat=,-1.000000, 
t=,97200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.007223, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.781732, id=,B07, PRDE,actvstrat=,0.437176, actvprof=,3.023585, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.452204, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.134039, id=,S03, PRDE,actvstrat=,-0.521929, actvprof=,0.063894, id=,S08, PRDE,actvstrat=,0.339040, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.791761, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.023585, best_B_strat=,0.437176, best_S_id=,S00, best_S_prof=,6.452204, best_S_strat=,-1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.005139, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.751837, id=,B07, PRDE,actvstrat=,0.437176, actvprof=,3.001792, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.596108, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.198828, id=,S03, PRDE,actvstrat=,-0.521929, actvprof=,0.069725, id=,S08, PRDE,actvstrat=,0.339040, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.791761, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.001792, best_B_strat=,0.437176, best_S_id=,S00, best_S_prof=,6.596108, best_S_strat=,-1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,0.054733, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.029724, id=,B04, PRDE,actvstrat=,-0.557460, actvprof=,0.057504, id=,B05, PRDE,actvstrat=,0.357736, actvprof=,0.960344, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.678936, id=,S00, PRDE,actvstrat=,0.159067, actvprof=,2.002083, id=,S01, PRDE,actvstrat=,0.884111, actvprof=,3.802486, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.955900, id=,S08, PRDE,actvstrat=,-0.390881, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.791761, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.678936, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.802486, best_S_strat=,0.884111, 
t=,108000, id=,B01, PRDE,actvstrat=,0.054733, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.032779, id=,B04, PRDE,actvstrat=,-0.557460, actvprof=,0.040002, id=,B05, PRDE,actvstrat=,0.357736, actvprof=,0.956568, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.723808, id=,S00, PRDE,actvstrat=,0.159067, actvprof=,1.970638, id=,S01, PRDE,actvstrat=,0.884111, actvprof=,3.767935, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.986569, id=,S08, PRDE,actvstrat=,-0.390881, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.791761, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.723808, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.767935, best_S_strat=,0.884111, 
