t=,75600, id=,B01, PRDE,actvstrat=,-0.585697, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.344574, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.999457, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.593937, actvprof=,0.065558, id=,B07, PRDE,actvstrat=,0.215221, actvprof=,4.307124, id=,S01, PRDE,actvstrat=,0.203589, actvprof=,1.605900, id=,S05, PRDE,actvstrat=,0.400964, actvprof=,0.005556, id=,S06, PRDE,actvstrat=,0.534557, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.685706, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.307124, best_B_strat=,0.215221, best_S_id=,S01, best_S_prof=,1.605900, best_S_strat=,0.203589, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.585697, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.344574, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.999457, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,-0.593937, actvprof=,0.059723, id=,B07, PRDE,actvstrat=,0.215221, actvprof=,4.214086, id=,S01, PRDE,actvstrat=,0.203589, actvprof=,1.695024, id=,S05, PRDE,actvstrat=,0.400964, actvprof=,0.004583, id=,S06, PRDE,actvstrat=,0.534557, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,0.685706, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.214086, best_B_strat=,0.215221, best_S_id=,S01, best_S_prof=,1.695024, best_S_strat=,0.203589, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.188540, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.373979, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.009722, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.459229, id=,S01, PRDE,actvstrat=,-0.602254, actvprof=,0.766122, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.016389, id=,S06, PRDE,actvstrat=,0.329762, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,-0.713710, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.459229, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,0.766122, best_S_strat=,-0.602254, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.188540, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.373979, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.011111, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.366063, id=,S01, PRDE,actvstrat=,-0.602254, actvprof=,0.767794, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.025139, id=,S06, PRDE,actvstrat=,0.329762, actvprof=,0.000694, id=,S07, PRDE,actvstrat=,-0.713710, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.366063, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,0.767794, best_S_strat=,-0.602254, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.187023, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.478316, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.997848, actvprof=,0.003333, id=,B07, PRDE,actvstrat=,0.607611, actvprof=,3.236802, id=,S01, PRDE,actvstrat=,-0.199333, actvprof=,1.215328, id=,S05, PRDE,actvstrat=,-0.143523, actvprof=,0.009723, id=,S06, PRDE,actvstrat=,0.329762, actvprof=,0.005834, id=,S07, PRDE,actvstrat=,-0.705011, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.193969, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.236802, best_B_strat=,0.607611, best_S_id=,S01, best_S_prof=,1.215328, best_S_strat=,-0.199333, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.187023, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.478316, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.997848, actvprof=,0.004445, id=,B07, PRDE,actvstrat=,0.607611, actvprof=,3.232267, id=,S01, PRDE,actvstrat=,-0.199333, actvprof=,1.223767, id=,S05, PRDE,actvstrat=,-0.143523, actvprof=,0.006945, id=,S06, PRDE,actvstrat=,0.329762, actvprof=,0.002917, id=,S07, PRDE,actvstrat=,-0.705011, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.193969, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.232267, best_B_strat=,0.607611, best_S_id=,S01, best_S_prof=,1.223767, best_S_strat=,-0.199333, 
t=,97200, id=,B01, PRDE,actvstrat=,0.250153, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,-0.443886, actvprof=,0.092782, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.716905, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.960443, id=,S05, PRDE,actvstrat=,-0.061633, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.009445, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.328307, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.716905, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.960443, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,0.250153, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.004028, id=,B04, PRDE,actvstrat=,-0.443886, actvprof=,0.094308, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.698035, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.977027, id=,S05, PRDE,actvstrat=,-0.061633, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.009306, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.328307, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.698035, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.977027, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.021541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.166610, actvprof=,0.124450, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.122713, id=,S01, PRDE,actvstrat=,0.203589, actvprof=,2.006750, id=,S05, PRDE,actvstrat=,-0.143523, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.014723, id=,S07, PRDE,actvstrat=,-0.466436, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.328307, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.122713, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.006750, best_S_strat=,0.203589, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.021541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.166610, actvprof=,0.114586, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,5.058161, id=,S01, PRDE,actvstrat=,0.203589, actvprof=,1.962263, id=,S05, PRDE,actvstrat=,-0.143523, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.012084, id=,S07, PRDE,actvstrat=,-0.466436, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.328307, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.058161, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,1.962263, best_S_strat=,0.203589, 
