t=,75600, id=,B00, PRDE,actvstrat=,0.711383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.463072, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.143522, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.079806, actvprof=,3.161009, id=,B08, PRDE,actvstrat=,-0.359918, actvprof=,5.271960, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.212401, id=,S05, PRDE,actvstrat=,0.793848, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.642385, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.126678, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.980224, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.271960, best_B_strat=,-0.359918, best_S_id=,S00, best_S_prof=,3.212401, best_S_strat=,0.570223, 
t=,79200, id=,B00, PRDE,actvstrat=,0.711383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.463072, actvprof=,0.000694, id=,B03, PRDE,actvstrat=,-0.143522, actvprof=,0.002639, id=,B06, PRDE,actvstrat=,0.079806, actvprof=,3.204950, id=,B08, PRDE,actvstrat=,-0.359918, actvprof=,5.421678, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.120781, id=,S05, PRDE,actvstrat=,0.793848, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,0.642385, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.126678, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.980224, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.421678, best_B_strat=,-0.359918, best_S_id=,S00, best_S_prof=,3.120781, best_S_strat=,0.570223, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.996700, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.906968, actvprof=,0.004445, id=,B03, PRDE,actvstrat=,0.365024, actvprof=,0.011945, id=,B06, PRDE,actvstrat=,-0.299720, actvprof=,2.249847, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.568365, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.347408, id=,S05, PRDE,actvstrat=,0.112404, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-0.275106, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.568365, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,3.347408, best_S_strat=,0.570223, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.996700, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.906968, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,0.365024, actvprof=,0.011250, id=,B06, PRDE,actvstrat=,-0.299720, actvprof=,2.255340, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.658907, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.221895, id=,S05, PRDE,actvstrat=,0.112404, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,-0.275106, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.658907, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,3.221895, best_S_strat=,0.570223, 
t=,90000, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.776266, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.616703, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.079806, actvprof=,1.791211, id=,B08, PRDE,actvstrat=,-0.492440, actvprof=,4.193844, id=,S00, PRDE,actvstrat=,-0.958945, actvprof=,0.058337, id=,S05, PRDE,actvstrat=,0.112404, actvprof=,0.005834, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.835768, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.059139, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.193844, best_B_strat=,-0.492440, best_S_id=,S00, best_S_prof=,0.058337, best_S_strat=,-0.958945, 
t=,93600, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.776266, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.616703, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.079806, actvprof=,1.957415, id=,B08, PRDE,actvstrat=,-0.492440, actvprof=,4.251507, id=,S00, PRDE,actvstrat=,-0.958945, actvprof=,0.074447, id=,S05, PRDE,actvstrat=,0.112404, actvprof=,0.004445, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.835768, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.059139, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.251507, best_B_strat=,-0.492440, best_S_id=,S00, best_S_prof=,0.074447, best_S_strat=,-0.958945, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.996700, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.906968, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.022020, actvprof=,0.014723, id=,B06, PRDE,actvstrat=,-0.299720, actvprof=,2.179843, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.496416, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.562698, id=,S05, PRDE,actvstrat=,0.112404, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.275106, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.565729, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.496416, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,3.562698, best_S_strat=,0.570223, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.996700, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.906968, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,0.022020, actvprof=,0.010556, id=,B06, PRDE,actvstrat=,-0.299720, actvprof=,2.212284, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.573210, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.360510, id=,S05, PRDE,actvstrat=,0.112404, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-0.275106, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.565729, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.573210, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,3.360510, best_S_strat=,0.570223, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.996700, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.730813, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.365024, actvprof=,0.027224, id=,B06, PRDE,actvstrat=,-0.299720, actvprof=,2.309573, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.743930, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.141841, id=,S05, PRDE,actvstrat=,0.793848, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.743930, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,3.141841, best_S_strat=,0.570223, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.996700, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.730813, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.365024, actvprof=,0.021667, id=,B06, PRDE,actvstrat=,-0.299720, actvprof=,2.130754, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.447651, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.336482, id=,S05, PRDE,actvstrat=,0.793848, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.447651, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,3.336482, best_S_strat=,0.570223, 
