t=,79200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.888196, actvprof=,0.012917, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.072086, id=,B09, PRDE,actvstrat=,-0.165053, actvprof=,5.374075, id=,S02, PRDE,actvstrat=,-0.820373, actvprof=,0.217369, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.624883, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.034862, id=,S07, PRDE,actvstrat=,0.944165, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,0.918478, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.374075, best_B_strat=,-0.165053, best_S_id=,S04, best_S_prof=,0.624883, best_S_strat=,-1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.015556, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.881605, id=,B09, PRDE,actvstrat=,-0.930092, actvprof=,2.011501, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.398800, id=,S04, PRDE,actvstrat=,0.226267, actvprof=,0.139174, id=,S05, PRDE,actvstrat=,-0.975973, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.834346, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.881605, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.398800, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.020140, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.881524, id=,B09, PRDE,actvstrat=,-0.930092, actvprof=,2.025070, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.411368, id=,S04, PRDE,actvstrat=,0.226267, actvprof=,0.118754, id=,S05, PRDE,actvstrat=,-0.975973, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.834346, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.881524, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.411368, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,0.919273, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.811855, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.987515, actvprof=,0.196403, id=,B07, PRDE,actvstrat=,-0.963375, actvprof=,0.808112, id=,B09, PRDE,actvstrat=,-0.288451, actvprof=,6.030419, id=,S02, PRDE,actvstrat=,0.829547, actvprof=,2.574345, id=,S04, PRDE,actvstrat=,0.921083, actvprof=,0.073061, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.011945, id=,S07, PRDE,actvstrat=,-0.452568, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.323086, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.030419, best_B_strat=,-0.288451, best_S_id=,S02, best_S_prof=,2.574345, best_S_strat=,0.829547, 
t=,93600, id=,B00, PRDE,actvstrat=,0.919273, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.811855, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.987515, actvprof=,0.232647, id=,B07, PRDE,actvstrat=,-0.963375, actvprof=,0.824334, id=,B09, PRDE,actvstrat=,-0.288451, actvprof=,6.108823, id=,S02, PRDE,actvstrat=,0.829547, actvprof=,2.527449, id=,S04, PRDE,actvstrat=,0.921083, actvprof=,0.065975, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.011528, id=,S07, PRDE,actvstrat=,-0.452568, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.323086, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.108823, best_B_strat=,-0.288451, best_S_id=,S02, best_S_prof=,2.527449, best_S_strat=,0.829547, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.615072, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.009445, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.069449, id=,B09, PRDE,actvstrat=,-0.133121, actvprof=,5.422321, id=,S02, PRDE,actvstrat=,0.458113, actvprof=,2.091256, id=,S04, PRDE,actvstrat=,-0.917568, actvprof=,0.010834, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.059449, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.422321, best_B_strat=,-0.133121, best_S_id=,S02, best_S_prof=,2.091256, best_S_strat=,0.458113, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.615072, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.007917, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.090003, id=,B09, PRDE,actvstrat=,-0.133121, actvprof=,5.425188, id=,S02, PRDE,actvstrat=,0.458113, actvprof=,2.026737, id=,S04, PRDE,actvstrat=,-0.917568, actvprof=,0.012917, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.058891, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.425188, best_B_strat=,-0.133121, best_S_id=,S02, best_S_prof=,2.026737, best_S_strat=,0.458113, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.984372, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.778280, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.005000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.512466, id=,B09, PRDE,actvstrat=,0.088947, actvprof=,5.411765, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.155011, id=,S04, PRDE,actvstrat=,-0.650543, actvprof=,0.027780, id=,S05, PRDE,actvstrat=,-0.083163, actvprof=,0.019724, id=,S07, PRDE,actvstrat=,0.675026, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.512266, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.411765, best_B_strat=,0.088947, best_S_id=,S02, best_S_prof=,4.155011, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.984372, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.778280, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.006250, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.422897, id=,B09, PRDE,actvstrat=,0.088947, actvprof=,5.279628, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.217924, id=,S04, PRDE,actvstrat=,-0.650543, actvprof=,0.034723, id=,S05, PRDE,actvstrat=,-0.083163, actvprof=,0.021251, id=,S07, PRDE,actvstrat=,0.675026, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,0.512266, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.279628, best_B_strat=,0.088947, best_S_id=,S02, best_S_prof=,4.217924, best_S_strat=,1.000000, 
t=,111600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.208345, id=,B07, PRDE,actvstrat=,-0.154769, actvprof=,2.344852, id=,B09, PRDE,actvstrat=,-0.626716, actvprof=,5.089449, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.850714, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.340852, id=,S05, PRDE,actvstrat=,-0.558966, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.089449, best_B_strat=,-0.626716, best_S_id=,S02, best_S_prof=,2.850714, best_S_strat=,-1.000000, 
t=,115200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.232923, id=,B07, PRDE,actvstrat=,-0.154769, actvprof=,2.450068, id=,B09, PRDE,actvstrat=,-0.626716, actvprof=,5.183755, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.843135, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.308897, id=,S05, PRDE,actvstrat=,-0.558966, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.183755, best_B_strat=,-0.626716, best_S_id=,S02, best_S_prof=,2.843135, best_S_strat=,-1.000000, 
