t=,75600, id=,B00, PRDE,actvstrat=,-0.276833, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.192482, actvprof=,0.473082, id=,B08, PRDE,actvstrat=,-0.451821, actvprof=,4.349686, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.965331, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.502695, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.320573, id=,S06, PRDE,actvstrat=,0.873326, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.570985, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.965331, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.502695, best_S_strat=,0.814326, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.276833, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.192482, actvprof=,0.483208, id=,B08, PRDE,actvstrat=,-0.451821, actvprof=,4.318592, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,6.061418, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.502458, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.341259, id=,S06, PRDE,actvstrat=,0.873326, actvprof=,0.001528, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.570985, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.061418, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.502458, best_S_strat=,0.814326, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.006667, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.786710, id=,B08, PRDE,actvstrat=,-0.451821, actvprof=,3.747708, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.544475, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,4.154120, id=,S03, PRDE,actvstrat=,0.477302, actvprof=,0.459192, id=,S06, PRDE,actvstrat=,0.100735, actvprof=,0.003334, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.544475, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,4.154120, best_S_strat=,0.814326, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.830990, id=,B08, PRDE,actvstrat=,-0.451821, actvprof=,3.761606, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.437474, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,4.055501, id=,S03, PRDE,actvstrat=,0.477302, actvprof=,0.427509, id=,S06, PRDE,actvstrat=,0.100735, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.437474, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,4.055501, best_S_strat=,0.814326, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.003334, id=,B05, PRDE,actvstrat=,-0.437241, actvprof=,0.304461, id=,B08, PRDE,actvstrat=,-0.451821, actvprof=,4.330796, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.987833, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.781877, id=,S03, PRDE,actvstrat=,0.477302, actvprof=,0.252236, id=,S06, PRDE,actvstrat=,0.873326, actvprof=,0.006389, id=,S07, PRDE,actvstrat=,0.474615, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.987833, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.781877, best_S_strat=,0.814326, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,-0.437241, actvprof=,0.317092, id=,B08, PRDE,actvstrat=,-0.451821, actvprof=,4.338315, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,6.059057, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.741215, id=,S03, PRDE,actvstrat=,0.477302, actvprof=,0.235007, id=,S06, PRDE,actvstrat=,0.873326, actvprof=,0.003195, id=,S07, PRDE,actvstrat=,0.474615, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.059057, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.741215, best_S_strat=,0.814326, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.861992, id=,B08, PRDE,actvstrat=,-0.376798, actvprof=,3.800211, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.360853, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.969943, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.591700, id=,S06, PRDE,actvstrat=,0.100735, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.360853, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.969943, best_S_strat=,0.814326, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.369652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.004306, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.877524, id=,B08, PRDE,actvstrat=,-0.376798, actvprof=,3.759827, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.557377, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,4.019001, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.597655, id=,S06, PRDE,actvstrat=,0.100735, actvprof=,0.002639, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.001528, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.557377, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,4.019001, best_S_strat=,0.814326, 
t=,104400, id=,B00, PRDE,actvstrat=,0.829124, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.013334, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.978123, id=,B08, PRDE,actvstrat=,-0.376798, actvprof=,3.862213, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.615668, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.848045, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.565873, id=,S06, PRDE,actvstrat=,0.100735, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.615668, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.848045, best_S_strat=,0.814326, 
t=,108000, id=,B00, PRDE,actvstrat=,0.829124, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.841738, actvprof=,0.010834, id=,B05, PRDE,actvstrat=,0.500025, actvprof=,0.935456, id=,B08, PRDE,actvstrat=,-0.376798, actvprof=,3.895023, id=,B09, PRDE,actvstrat=,-0.338726, actvprof=,5.686487, id=,S01, PRDE,actvstrat=,0.814326, actvprof=,3.940303, id=,S03, PRDE,actvstrat=,0.689398, actvprof=,0.572385, id=,S06, PRDE,actvstrat=,0.100735, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,0.455388, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.236859, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.686487, best_B_strat=,-0.338726, best_S_id=,S01, best_S_prof=,3.940303, best_S_strat=,0.814326, 
