t=,75600, id=,B02, PRDE,actvstrat=,-0.435152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.732488, actvprof=,0.146679, id=,B05, PRDE,actvstrat=,0.999063, actvprof=,0.883963, id=,B07, PRDE,actvstrat=,-0.280759, actvprof=,2.134067, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.026530, id=,S01, PRDE,actvstrat=,0.845622, actvprof=,4.399533, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.700781, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.469289, id=,S04, PRDE,actvstrat=,-0.380865, actvprof=,0.038614, id=,S08, PRDE,actvstrat=,-0.237108, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.026530, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.399533, best_S_strat=,0.845622, 
t=,79200, id=,B02, PRDE,actvstrat=,-0.435152, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,-0.732488, actvprof=,0.121811, id=,B05, PRDE,actvstrat=,0.999063, actvprof=,0.830173, id=,B07, PRDE,actvstrat=,-0.280759, actvprof=,2.240788, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.021043, id=,S01, PRDE,actvstrat=,0.845622, actvprof=,4.356015, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.711780, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.518535, id=,S04, PRDE,actvstrat=,-0.380865, actvprof=,0.045696, id=,S08, PRDE,actvstrat=,-0.237108, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.021043, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.356015, best_S_strat=,0.845622, 
t=,82800, id=,B02, PRDE,actvstrat=,-0.947669, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.077786, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.150239, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.717080, id=,S01, PRDE,actvstrat=,-0.789345, actvprof=,1.405990, id=,S02, PRDE,actvstrat=,-0.189359, actvprof=,1.241805, id=,S03, PRDE,actvstrat=,-0.899193, actvprof=,0.094455, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.756028, id=,S08, PRDE,actvstrat=,0.779779, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.717080, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,1.756028, best_S_strat=,1.000000, 
t=,86400, id=,B02, PRDE,actvstrat=,-0.947669, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.078477, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.142758, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.770487, id=,S01, PRDE,actvstrat=,-0.789345, actvprof=,1.379799, id=,S02, PRDE,actvstrat=,-0.189359, actvprof=,1.251736, id=,S03, PRDE,actvstrat=,-0.899193, actvprof=,0.089727, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.747319, id=,S08, PRDE,actvstrat=,0.779779, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.770487, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,1.747319, best_S_strat=,1.000000, 
t=,90000, id=,B02, PRDE,actvstrat=,-0.134670, actvprof=,0.001945, id=,B04, PRDE,actvstrat=,-0.063576, actvprof=,0.088344, id=,B05, PRDE,actvstrat=,0.307822, actvprof=,0.988179, id=,B07, PRDE,actvstrat=,-0.459537, actvprof=,2.322790, id=,B08, PRDE,actvstrat=,-0.415169, actvprof=,4.029670, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.093289, id=,S02, PRDE,actvstrat=,0.826605, actvprof=,2.166104, id=,S03, PRDE,actvstrat=,-0.796375, actvprof=,0.012224, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.195580, id=,S08, PRDE,actvstrat=,-0.315409, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.029670, best_B_strat=,-0.415169, best_S_id=,S01, best_S_prof=,4.093289, best_S_strat=,1.000000, 
t=,93600, id=,B02, PRDE,actvstrat=,-0.134670, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.063576, actvprof=,0.085839, id=,B05, PRDE,actvstrat=,0.307822, actvprof=,0.948254, id=,B07, PRDE,actvstrat=,-0.459537, actvprof=,2.324312, id=,B08, PRDE,actvstrat=,-0.415169, actvprof=,3.935107, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.072338, id=,S02, PRDE,actvstrat=,0.826605, actvprof=,2.147356, id=,S03, PRDE,actvstrat=,-0.796375, actvprof=,0.012501, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.172789, id=,S08, PRDE,actvstrat=,-0.315409, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.935107, best_B_strat=,-0.415169, best_S_id=,S01, best_S_prof=,4.072338, best_S_strat=,1.000000, 
t=,97200, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.144465, id=,B05, PRDE,actvstrat=,-0.026732, actvprof=,0.286706, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.001945, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.694680, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.744270, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.179608, id=,S03, PRDE,actvstrat=,-0.968312, actvprof=,0.550910, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.256980, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.694680, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.744270, best_S_strat=,-1.000000, 
t=,100800, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.145705, id=,B05, PRDE,actvstrat=,-0.026732, actvprof=,0.283492, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.022502, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.710258, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.697826, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.181054, id=,S03, PRDE,actvstrat=,-0.968312, actvprof=,0.564345, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.250156, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.710258, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.697826, best_S_strat=,-1.000000, 
t=,104400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.009168, id=,B05, PRDE,actvstrat=,0.986385, actvprof=,0.029726, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.885262, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.519933, id=,S01, PRDE,actvstrat=,0.170864, actvprof=,4.532018, id=,S02, PRDE,actvstrat=,0.345158, actvprof=,3.146826, id=,S03, PRDE,actvstrat=,-0.846415, actvprof=,0.197250, id=,S04, PRDE,actvstrat=,-0.902672, actvprof=,0.027782, id=,S08, PRDE,actvstrat=,-0.377831, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.519933, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.532018, best_S_strat=,0.170864, 
t=,108000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.011390, id=,B05, PRDE,actvstrat=,0.986385, actvprof=,0.027363, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.918189, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.527606, id=,S01, PRDE,actvstrat=,0.170864, actvprof=,4.387527, id=,S02, PRDE,actvstrat=,0.345158, actvprof=,3.161470, id=,S03, PRDE,actvstrat=,-0.846415, actvprof=,0.157094, id=,S04, PRDE,actvstrat=,-0.902672, actvprof=,0.041947, id=,S08, PRDE,actvstrat=,-0.377831, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.527606, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.387527, best_S_strat=,0.170864, 
