t=,75600, id=,B00, PRDE,actvstrat=,0.761195, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.689005, actvprof=,0.733364, id=,B05, PRDE,actvstrat=,-0.298777, actvprof=,0.800867, id=,B06, PRDE,actvstrat=,-0.344283, actvprof=,2.116199, id=,B07, PRDE,actvstrat=,-0.888479, actvprof=,1.772852, id=,S04, PRDE,actvstrat=,0.247775, actvprof=,0.003333, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,0.503798, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.513395, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.291563, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.116199, best_B_strat=,-0.344283, best_S_id=,S05, best_S_prof=,0.003611, best_S_strat=,1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,0.761195, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.689005, actvprof=,0.699042, id=,B05, PRDE,actvstrat=,-0.298777, actvprof=,0.777794, id=,B06, PRDE,actvstrat=,-0.344283, actvprof=,2.066571, id=,B07, PRDE,actvstrat=,-0.888479, actvprof=,1.761981, id=,S04, PRDE,actvstrat=,0.247775, actvprof=,0.001667, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.002639, id=,S07, PRDE,actvstrat=,0.503798, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.513395, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.291563, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.066571, best_B_strat=,-0.344283, best_S_id=,S05, best_S_prof=,0.002639, best_S_strat=,1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.042383, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.072780, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.055585, id=,B06, PRDE,actvstrat=,-0.032671, actvprof=,1.413928, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.224284, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.559182, id=,S05, PRDE,actvstrat=,-0.846113, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.918645, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.405133, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.224284, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.559182, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.042383, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.082501, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.089182, id=,B06, PRDE,actvstrat=,-0.032671, actvprof=,1.346824, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.241031, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.515285, id=,S05, PRDE,actvstrat=,-0.846113, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.918645, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.405133, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.241031, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.515285, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.026132, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.486948, actvprof=,0.098617, id=,B05, PRDE,actvstrat=,0.713744, actvprof=,1.229235, id=,B06, PRDE,actvstrat=,0.872553, actvprof=,3.065448, id=,B07, PRDE,actvstrat=,-0.909444, actvprof=,0.660870, id=,S04, PRDE,actvstrat=,-0.823130, actvprof=,0.001389, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.030835, id=,S07, PRDE,actvstrat=,-0.229223, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.356736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.521050, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.065448, best_B_strat=,0.872553, best_S_id=,S05, best_S_prof=,0.030835, best_S_strat=,1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.026132, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.486948, actvprof=,0.095280, id=,B05, PRDE,actvstrat=,0.713744, actvprof=,1.227534, id=,B06, PRDE,actvstrat=,0.872553, actvprof=,3.064946, id=,B07, PRDE,actvstrat=,-0.909444, actvprof=,0.665435, id=,S04, PRDE,actvstrat=,-0.823130, actvprof=,0.000694, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.033056, id=,S07, PRDE,actvstrat=,-0.229223, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.356736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.521050, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.064946, best_B_strat=,0.872553, best_S_id=,S05, best_S_prof=,0.033056, best_S_strat=,1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.034446, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.780321, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.163176, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.707428, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.723374, id=,S05, PRDE,actvstrat=,0.894226, actvprof=,0.073060, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.396400, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.707428, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.723374, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.029723, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.784455, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.202531, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.677412, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.749594, id=,S05, PRDE,actvstrat=,0.894226, actvprof=,0.060556, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.396400, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.677412, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,0.749594, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,0.771883, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.567837, actvprof=,0.005278, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.298905, id=,B06, PRDE,actvstrat=,0.637512, actvprof=,1.220623, id=,B07, PRDE,actvstrat=,0.574900, actvprof=,2.715429, id=,S04, PRDE,actvstrat=,0.626822, actvprof=,0.515584, id=,S05, PRDE,actvstrat=,-0.613455, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,0.471119, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.405133, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.715429, best_B_strat=,0.574900, best_S_id=,S04, best_S_prof=,0.515584, best_S_strat=,0.626822, 
t=,108000, id=,B00, PRDE,actvstrat=,0.771883, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.567837, actvprof=,0.005695, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.389455, id=,B06, PRDE,actvstrat=,0.637512, actvprof=,1.307814, id=,B07, PRDE,actvstrat=,0.574900, actvprof=,2.800217, id=,S04, PRDE,actvstrat=,0.626822, actvprof=,0.484458, id=,S05, PRDE,actvstrat=,-0.613455, actvprof=,0.000694, id=,S07, PRDE,actvstrat=,0.471119, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.405133, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.800217, best_B_strat=,0.574900, best_S_id=,S04, best_S_prof=,0.484458, best_S_strat=,0.626822, 
t=,111600, id=,B00, PRDE,actvstrat=,0.318592, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.095839, id=,B05, PRDE,actvstrat=,-0.837979, actvprof=,0.047780, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.078504, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.791377, id=,S04, PRDE,actvstrat=,0.947673, actvprof=,0.191955, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.051392, id=,S07, PRDE,actvstrat=,-0.222476, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.305840, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.791377, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.191955, best_S_strat=,0.947673, 
