t=,79200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.854283, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.080563, actvprof=,0.001528, id=,B05, PRDE,actvstrat=,-0.079779, actvprof=,0.092918, id=,B07, PRDE,actvstrat=,0.442720, actvprof=,2.459340, id=,S00, PRDE,actvstrat=,0.502306, actvprof=,5.341741, id=,S02, PRDE,actvstrat=,0.418106, actvprof=,2.212392, id=,S04, PRDE,actvstrat=,-0.701806, actvprof=,0.016667, id=,S05, PRDE,actvstrat=,-0.482972, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.842029, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.459340, best_B_strat=,0.442720, best_S_id=,S00, best_S_prof=,5.341741, best_S_strat=,0.502306, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.518728, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.650453, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,0.228568, actvprof=,0.210845, id=,B07, PRDE,actvstrat=,-0.103219, actvprof=,1.748153, id=,S00, PRDE,actvstrat=,0.489067, actvprof=,5.034446, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.961609, id=,S04, PRDE,actvstrat=,-0.106315, actvprof=,0.046947, id=,S05, PRDE,actvstrat=,-0.017046, actvprof=,0.006667, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.748153, best_B_strat=,-0.103219, best_S_id=,S00, best_S_prof=,5.034446, best_S_strat=,0.489067, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.518728, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,0.650453, actvprof=,0.005556, id=,B05, PRDE,actvstrat=,0.228568, actvprof=,0.245840, id=,B07, PRDE,actvstrat=,-0.103219, actvprof=,1.751993, id=,S00, PRDE,actvstrat=,0.489067, actvprof=,4.853051, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.921637, id=,S04, PRDE,actvstrat=,-0.106315, actvprof=,0.031112, id=,S05, PRDE,actvstrat=,-0.017046, actvprof=,0.005833, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.751993, best_B_strat=,-0.103219, best_S_id=,S00, best_S_prof=,4.853051, best_S_strat=,0.489067, 
t=,90000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.968259, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.688663, actvprof=,0.077227, id=,B07, PRDE,actvstrat=,-0.711048, actvprof=,1.410634, id=,S00, PRDE,actvstrat=,-0.218483, actvprof=,1.689261, id=,S02, PRDE,actvstrat=,0.446763, actvprof=,1.983166, id=,S04, PRDE,actvstrat=,-0.106315, actvprof=,0.010278, id=,S05, PRDE,actvstrat=,0.124353, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.596951, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.410634, best_B_strat=,-0.711048, best_S_id=,S02, best_S_prof=,1.983166, best_S_strat=,0.446763, 
t=,93600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.968259, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.688663, actvprof=,0.061946, id=,B07, PRDE,actvstrat=,-0.711048, actvprof=,1.292536, id=,S00, PRDE,actvstrat=,-0.218483, actvprof=,1.788105, id=,S02, PRDE,actvstrat=,0.446763, actvprof=,2.001028, id=,S04, PRDE,actvstrat=,-0.106315, actvprof=,0.011250, id=,S05, PRDE,actvstrat=,0.124353, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,0.596951, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.292536, best_B_strat=,-0.711048, best_S_id=,S02, best_S_prof=,2.001028, best_S_strat=,0.446763, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.628607, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.040836, id=,B07, PRDE,actvstrat=,0.994168, actvprof=,2.526529, id=,S00, PRDE,actvstrat=,-0.737847, actvprof=,2.095950, id=,S02, PRDE,actvstrat=,-0.630191, actvprof=,0.742541, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.779543, id=,S05, PRDE,actvstrat=,-0.589569, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,0.687439, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.526529, best_B_strat=,0.994168, best_S_id=,S00, best_S_prof=,2.095950, best_S_strat=,-0.737847, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.628607, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.041668, id=,B07, PRDE,actvstrat=,0.994168, actvprof=,2.546043, id=,S00, PRDE,actvstrat=,-0.737847, actvprof=,1.983111, id=,S02, PRDE,actvstrat=,-0.630191, actvprof=,0.862941, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.755465, id=,S05, PRDE,actvstrat=,-0.589569, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,0.687439, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.546043, best_B_strat=,0.994168, best_S_id=,S00, best_S_prof=,1.983111, best_S_strat=,-0.737847, 
t=,104400, id=,B00, PRDE,actvstrat=,0.039282, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.707723, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.650453, actvprof=,0.005556, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.026668, id=,B07, PRDE,actvstrat=,0.371680, actvprof=,1.841213, id=,S00, PRDE,actvstrat=,0.058109, actvprof=,4.455803, id=,S02, PRDE,actvstrat=,-0.996253, actvprof=,1.682593, id=,S04, PRDE,actvstrat=,-0.054633, actvprof=,0.147786, id=,S05, PRDE,actvstrat=,0.223451, actvprof=,0.018057, id=,S08, PRDE,actvstrat=,0.750607, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.841213, best_B_strat=,0.371680, best_S_id=,S00, best_S_prof=,4.455803, best_S_strat=,0.058109, 
t=,108000, id=,B00, PRDE,actvstrat=,0.039282, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.707723, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.650453, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.021667, id=,B07, PRDE,actvstrat=,0.371680, actvprof=,1.811161, id=,S00, PRDE,actvstrat=,0.058109, actvprof=,4.422484, id=,S02, PRDE,actvstrat=,-0.996253, actvprof=,1.646435, id=,S04, PRDE,actvstrat=,-0.054633, actvprof=,0.128615, id=,S05, PRDE,actvstrat=,0.223451, actvprof=,0.015973, id=,S08, PRDE,actvstrat=,0.750607, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.811161, best_B_strat=,0.371680, best_S_id=,S00, best_S_prof=,4.422484, best_S_strat=,0.058109, 
t=,111600, id=,B00, PRDE,actvstrat=,-0.253171, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.022023, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.800387, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,0.053510, actvprof=,0.075004, id=,B07, PRDE,actvstrat=,-0.298200, actvprof=,1.190622, id=,S00, PRDE,actvstrat=,-0.477895, actvprof=,2.079282, id=,S02, PRDE,actvstrat=,0.399189, actvprof=,2.127896, id=,S04, PRDE,actvstrat=,-0.500360, actvprof=,0.025835, id=,S05, PRDE,actvstrat=,0.617037, actvprof=,0.011112, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.190622, best_B_strat=,-0.298200, best_S_id=,S02, best_S_prof=,2.127896, best_S_strat=,0.399189, 
