t=,79200, id=,B00, PRDE,actvstrat=,-0.116315, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.778617, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.617719, actvprof=,0.003195, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.012639, id=,B06, PRDE,actvstrat=,-0.386937, actvprof=,0.664194, id=,S01, PRDE,actvstrat=,0.855008, actvprof=,5.272581, id=,S03, PRDE,actvstrat=,0.397810, actvprof=,0.925177, id=,S04, PRDE,actvstrat=,0.328215, actvprof=,0.093893, id=,S05, PRDE,actvstrat=,0.655250, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,-0.038872, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.664194, best_B_strat=,-0.386937, best_S_id=,S01, best_S_prof=,5.272581, best_S_strat=,0.855008, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.053076, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.778216, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.327787, actvprof=,0.017224, id=,B04, PRDE,actvstrat=,-0.939749, actvprof=,0.032781, id=,B06, PRDE,actvstrat=,-0.816420, actvprof=,0.953982, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.361716, id=,S03, PRDE,actvstrat=,0.559448, actvprof=,0.491714, id=,S04, PRDE,actvstrat=,0.448400, actvprof=,0.024169, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.175988, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.953982, best_B_strat=,-0.816420, best_S_id=,S01, best_S_prof=,3.361716, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.053076, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.778216, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,-0.327787, actvprof=,0.012223, id=,B04, PRDE,actvstrat=,-0.939749, actvprof=,0.023196, id=,B06, PRDE,actvstrat=,-0.816420, actvprof=,0.929490, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.432945, id=,S03, PRDE,actvstrat=,0.559448, actvprof=,0.491968, id=,S04, PRDE,actvstrat=,0.448400, actvprof=,0.025835, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.175988, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.929490, best_B_strat=,-0.816420, best_S_id=,S01, best_S_prof=,3.432945, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.260041, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.778216, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.173387, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.939749, actvprof=,0.014446, id=,B06, PRDE,actvstrat=,0.654400, actvprof=,1.337074, id=,S01, PRDE,actvstrat=,-0.483192, actvprof=,2.149376, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.650813, id=,S04, PRDE,actvstrat=,0.403379, actvprof=,0.411429, id=,S05, PRDE,actvstrat=,0.050397, actvprof=,0.010834, id=,S08, PRDE,actvstrat=,0.204380, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.337074, best_B_strat=,0.654400, best_S_id=,S03, best_S_prof=,2.650813, best_S_strat=,1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.260041, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.778216, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.173387, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.939749, actvprof=,0.014584, id=,B06, PRDE,actvstrat=,0.654400, actvprof=,1.321981, id=,S01, PRDE,actvstrat=,-0.483192, actvprof=,2.167144, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.660491, id=,S04, PRDE,actvstrat=,0.403379, actvprof=,0.384594, id=,S05, PRDE,actvstrat=,0.050397, actvprof=,0.010417, id=,S08, PRDE,actvstrat=,0.204380, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.321981, best_B_strat=,0.654400, best_S_id=,S03, best_S_prof=,2.660491, best_S_strat=,1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,-0.249834, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.802999, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.009445, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.433292, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.906866, id=,S03, PRDE,actvstrat=,0.030785, actvprof=,0.678399, id=,S04, PRDE,actvstrat=,0.393771, actvprof=,0.121956, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.031392, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.433292, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.906866, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-0.249834, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.802999, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.007084, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.423451, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.861625, id=,S03, PRDE,actvstrat=,0.030785, actvprof=,0.681839, id=,S04, PRDE,actvstrat=,0.393771, actvprof=,0.124589, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.037085, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.423451, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.861625, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-0.053076, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.802999, actvprof=,0.029725, id=,B04, PRDE,actvstrat=,0.167277, actvprof=,0.273638, id=,B06, PRDE,actvstrat=,-0.582157, actvprof=,1.443474, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.302543, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.950648, id=,S04, PRDE,actvstrat=,0.403379, actvprof=,0.015835, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,0.578333, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.443474, best_B_strat=,-0.582157, best_S_id=,S01, best_S_prof=,3.302543, best_S_strat=,-1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,-0.053076, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.802999, actvprof=,0.021529, id=,B04, PRDE,actvstrat=,0.167277, actvprof=,0.263763, id=,B06, PRDE,actvstrat=,-0.582157, actvprof=,1.424791, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.267798, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.996715, id=,S04, PRDE,actvstrat=,0.403379, actvprof=,0.022640, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,0.578333, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.424791, best_B_strat=,-0.582157, best_S_id=,S01, best_S_prof=,3.267798, best_S_strat=,-1.000000, 
t=,111600, id=,B00, PRDE,actvstrat=,-0.042869, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.003612, id=,B03, PRDE,actvstrat=,-0.173387, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.192390, actvprof=,0.060840, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.178853, id=,S01, PRDE,actvstrat=,0.453182, actvprof=,3.737915, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.926881, id=,S04, PRDE,actvstrat=,0.664827, actvprof=,0.330592, id=,S05, PRDE,actvstrat=,0.272839, actvprof=,0.019724, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.178853, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.737915, best_S_strat=,0.453182, 
