t=,75600, id=,B01, PRDE,actvstrat=,0.163240, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.286021, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.824366, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.330610, actvprof=,2.325375, id=,B09, PRDE,actvstrat=,0.904164, actvprof=,8.324236, id=,S03, PRDE,actvstrat=,-0.953656, actvprof=,0.048058, id=,S06, PRDE,actvstrat=,-0.585637, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.830099, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.528372, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.047297, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.324236, best_B_strat=,0.904164, best_S_id=,S03, best_S_prof=,0.048058, best_S_strat=,-0.953656, 
t=,79200, id=,B01, PRDE,actvstrat=,0.163240, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.286021, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.824366, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.330610, actvprof=,2.393800, id=,B09, PRDE,actvstrat=,0.904164, actvprof=,8.505594, id=,S03, PRDE,actvstrat=,-0.953656, actvprof=,0.042779, id=,S06, PRDE,actvstrat=,-0.585637, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.830099, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.528372, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.047297, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.505594, best_B_strat=,0.904164, best_S_id=,S03, best_S_prof=,0.042779, best_S_strat=,-0.953656, 
t=,82800, id=,B01, PRDE,actvstrat=,0.494325, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.039757, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.806503, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,0.426340, actvprof=,3.489590, id=,B09, PRDE,actvstrat=,0.038311, actvprof=,7.756990, id=,S03, PRDE,actvstrat=,-0.998743, actvprof=,0.677806, id=,S06, PRDE,actvstrat=,-0.585637, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.201910, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.756990, best_B_strat=,0.038311, best_S_id=,S03, best_S_prof=,0.677806, best_S_strat=,-0.998743, 
t=,86400, id=,B01, PRDE,actvstrat=,0.494325, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.039757, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.806503, actvprof=,0.002083, id=,B06, PRDE,actvstrat=,0.426340, actvprof=,3.755634, id=,B09, PRDE,actvstrat=,0.038311, actvprof=,7.921971, id=,S03, PRDE,actvstrat=,-0.998743, actvprof=,0.511538, id=,S06, PRDE,actvstrat=,-0.585637, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000694, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.201910, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.921971, best_B_strat=,0.038311, best_S_id=,S03, best_S_prof=,0.511538, best_S_strat=,-0.998743, 
t=,90000, id=,B01, PRDE,actvstrat=,0.328783, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.305553, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.806503, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.142391, actvprof=,2.459269, id=,B09, PRDE,actvstrat=,0.038311, actvprof=,6.873620, id=,S03, PRDE,actvstrat=,0.586058, actvprof=,0.307235, id=,S06, PRDE,actvstrat=,-0.585637, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.081434, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.276288, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.572718, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.873620, best_B_strat=,0.038311, best_S_id=,S03, best_S_prof=,0.307235, best_S_strat=,0.586058, 
t=,93600, id=,B01, PRDE,actvstrat=,0.328783, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.305553, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.806503, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.142391, actvprof=,2.411995, id=,B09, PRDE,actvstrat=,0.038311, actvprof=,6.965006, id=,S03, PRDE,actvstrat=,0.586058, actvprof=,0.306395, id=,S06, PRDE,actvstrat=,-0.585637, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.081434, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.276288, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.572718, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.965006, best_B_strat=,0.038311, best_S_id=,S03, best_S_prof=,0.306395, best_S_strat=,0.586058, 
t=,97200, id=,B01, PRDE,actvstrat=,0.278539, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.360398, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.889599, actvprof=,0.001389, id=,B06, PRDE,actvstrat=,0.159202, actvprof=,2.546424, id=,B09, PRDE,actvstrat=,0.038311, actvprof=,7.322879, id=,S03, PRDE,actvstrat=,0.549988, actvprof=,0.190003, id=,S06, PRDE,actvstrat=,-0.653132, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.700141, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,0.572718, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.322879, best_B_strat=,0.038311, best_S_id=,S03, best_S_prof=,0.190003, best_S_strat=,0.549988, 
t=,100800, id=,B01, PRDE,actvstrat=,0.278539, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.360398, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.889599, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,0.159202, actvprof=,2.614499, id=,B09, PRDE,actvstrat=,0.038311, actvprof=,7.293207, id=,S03, PRDE,actvstrat=,0.549988, actvprof=,0.196393, id=,S06, PRDE,actvstrat=,-0.653132, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.700141, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,0.572718, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.293207, best_B_strat=,0.038311, best_S_id=,S03, best_S_prof=,0.196393, best_S_strat=,0.549988, 
t=,104400, id=,B01, PRDE,actvstrat=,0.243106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.234470, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.167533, actvprof=,0.010278, id=,B06, PRDE,actvstrat=,0.388982, actvprof=,3.727604, id=,B09, PRDE,actvstrat=,-0.932960, actvprof=,4.733187, id=,S03, PRDE,actvstrat=,-0.998743, actvprof=,0.388066, id=,S06, PRDE,actvstrat=,0.089187, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.700141, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.572718, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.733187, best_B_strat=,-0.932960, best_S_id=,S03, best_S_prof=,0.388066, best_S_strat=,-0.998743, 
t=,108000, id=,B01, PRDE,actvstrat=,0.243106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.234470, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.167533, actvprof=,0.013750, id=,B06, PRDE,actvstrat=,0.388982, actvprof=,3.812467, id=,B09, PRDE,actvstrat=,-0.932960, actvprof=,4.708603, id=,S03, PRDE,actvstrat=,-0.998743, actvprof=,0.368344, id=,S06, PRDE,actvstrat=,0.089187, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.700141, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.572718, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.708603, best_B_strat=,-0.932960, best_S_id=,S03, best_S_prof=,0.368344, best_S_strat=,-0.998743, 
