t=,75600, id=,B01, PRDE,actvstrat=,0.840372, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.374761, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-0.168605, actvprof=,0.174176, id=,B05, PRDE,actvstrat=,0.533311, actvprof=,1.748986, id=,B06, PRDE,actvstrat=,0.147652, actvprof=,2.668204, id=,S04, PRDE,actvstrat=,0.874055, actvprof=,0.173621, id=,S05, PRDE,actvstrat=,-0.227239, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.901688, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,-0.334464, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.536577, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.668204, best_B_strat=,0.147652, best_S_id=,S04, best_S_prof=,0.173621, best_S_strat=,0.874055, 
t=,79200, id=,B01, PRDE,actvstrat=,0.840372, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.374761, actvprof=,0.002083, id=,B04, PRDE,actvstrat=,-0.168605, actvprof=,0.157227, id=,B05, PRDE,actvstrat=,0.533311, actvprof=,1.624351, id=,B06, PRDE,actvstrat=,0.147652, actvprof=,2.541876, id=,S04, PRDE,actvstrat=,0.874055, actvprof=,0.173199, id=,S05, PRDE,actvstrat=,-0.227239, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.901688, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-0.334464, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.536577, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.541876, best_B_strat=,0.147652, best_S_id=,S04, best_S_prof=,0.173199, best_S_strat=,0.874055, 
t=,82800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.020510, actvprof=,0.113617, id=,B04, PRDE,actvstrat=,-0.404573, actvprof=,0.492250, id=,B05, PRDE,actvstrat=,-0.903404, actvprof=,0.436691, id=,B06, PRDE,actvstrat=,-0.724881, actvprof=,3.003500, id=,S04, PRDE,actvstrat=,-0.427669, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.946461, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.324993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.543919, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.003500, best_B_strat=,-0.724881, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,-0.427669, 
t=,86400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.020510, actvprof=,0.095697, id=,B04, PRDE,actvstrat=,-0.404573, actvprof=,0.419734, id=,B05, PRDE,actvstrat=,-0.903404, actvprof=,0.358899, id=,B06, PRDE,actvstrat=,-0.724881, actvprof=,2.665491, id=,S04, PRDE,actvstrat=,-0.427669, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.946461, actvprof=,0.000139, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.324993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.543919, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.665491, best_B_strat=,-0.724881, best_S_id=,S05, best_S_prof=,0.000139, best_S_strat=,0.946461, 
t=,90000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.379559, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.930781, actvprof=,0.203895, id=,B05, PRDE,actvstrat=,0.495034, actvprof=,0.903636, id=,B06, PRDE,actvstrat=,-0.681353, actvprof=,0.942248, id=,S04, PRDE,actvstrat=,0.874055, actvprof=,0.144171, id=,S05, PRDE,actvstrat=,0.119200, actvprof=,0.003056, id=,S06, PRDE,actvstrat=,-0.252592, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.434563, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.119571, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.942248, best_B_strat=,-0.681353, best_S_id=,S04, best_S_prof=,0.144171, best_S_strat=,0.874055, 
t=,93600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.379559, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.930781, actvprof=,0.221394, id=,B05, PRDE,actvstrat=,0.495034, actvprof=,0.982104, id=,B06, PRDE,actvstrat=,-0.681353, actvprof=,0.980854, id=,S04, PRDE,actvstrat=,0.874055, actvprof=,0.125280, id=,S05, PRDE,actvstrat=,0.119200, actvprof=,0.001528, id=,S06, PRDE,actvstrat=,-0.252592, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.434563, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.119571, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.982104, best_B_strat=,0.495034, best_S_id=,S04, best_S_prof=,0.125280, best_S_strat=,0.874055, 
t=,97200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.173591, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.747028, actvprof=,0.267789, id=,B05, PRDE,actvstrat=,0.018594, actvprof=,0.757254, id=,B06, PRDE,actvstrat=,0.185601, actvprof=,2.164257, id=,S04, PRDE,actvstrat=,-0.723267, actvprof=,0.000556, id=,S05, PRDE,actvstrat=,0.927174, actvprof=,0.013056, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.509612, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.774969, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.164257, best_B_strat=,0.185601, best_S_id=,S05, best_S_prof=,0.013056, best_S_strat=,0.927174, 
t=,100800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.173591, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.747028, actvprof=,0.238340, id=,B05, PRDE,actvstrat=,0.018594, actvprof=,0.734465, id=,B06, PRDE,actvstrat=,0.185601, actvprof=,2.118531, id=,S04, PRDE,actvstrat=,-0.723267, actvprof=,0.001667, id=,S05, PRDE,actvstrat=,0.927174, actvprof=,0.009584, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S07, PRDE,actvstrat=,-0.509612, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.774969, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.118531, best_B_strat=,0.185601, best_S_id=,S05, best_S_prof=,0.009584, best_S_strat=,0.927174, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.572535, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.961095, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.771959, actvprof=,0.218071, id=,B05, PRDE,actvstrat=,-0.245454, actvprof=,0.304466, id=,B06, PRDE,actvstrat=,0.228868, actvprof=,1.949302, id=,S04, PRDE,actvstrat=,0.409754, actvprof=,0.079728, id=,S05, PRDE,actvstrat=,0.471827, actvprof=,0.022779, id=,S06, PRDE,actvstrat=,0.048781, actvprof=,0.005000, id=,S07, PRDE,actvstrat=,-0.834229, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.820542, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.949302, best_B_strat=,0.228868, best_S_id=,S04, best_S_prof=,0.079728, best_S_strat=,0.409754, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.572535, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.961095, actvprof=,0.002083, id=,B04, PRDE,actvstrat=,0.771959, actvprof=,0.194729, id=,B05, PRDE,actvstrat=,-0.245454, actvprof=,0.282371, id=,B06, PRDE,actvstrat=,0.228868, actvprof=,1.904233, id=,S04, PRDE,actvstrat=,0.409754, actvprof=,0.079586, id=,S05, PRDE,actvstrat=,0.471827, actvprof=,0.018890, id=,S06, PRDE,actvstrat=,0.048781, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-0.834229, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.820542, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.904233, best_B_strat=,0.228868, best_S_id=,S04, best_S_prof=,0.079586, best_S_strat=,0.409754, 
