t=,75600, id=,B01, PRDE,actvstrat=,-0.219322, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.350877, id=,B06, PRDE,actvstrat=,0.564328, actvprof=,0.725091, id=,B07, PRDE,actvstrat=,-0.400802, actvprof=,0.817047, id=,B08, PRDE,actvstrat=,0.992282, actvprof=,4.168021, id=,S00, PRDE,actvstrat=,-0.141202, actvprof=,2.130266, id=,S01, PRDE,actvstrat=,-0.709738, actvprof=,0.771485, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.716173, id=,S04, PRDE,actvstrat=,0.268317, actvprof=,0.265311, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.168021, best_B_strat=,0.992282, best_S_id=,S03, best_S_prof=,2.716173, best_S_strat=,1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.219322, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.400858, id=,B06, PRDE,actvstrat=,0.564328, actvprof=,0.740880, id=,B07, PRDE,actvstrat=,-0.400802, actvprof=,0.784632, id=,B08, PRDE,actvstrat=,0.992282, actvprof=,4.163177, id=,S00, PRDE,actvstrat=,-0.141202, actvprof=,2.102354, id=,S01, PRDE,actvstrat=,-0.709738, actvprof=,0.871304, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.678223, id=,S04, PRDE,actvstrat=,0.268317, actvprof=,0.260850, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.163177, best_B_strat=,0.992282, best_S_id=,S03, best_S_prof=,2.678223, best_S_strat=,1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,0.551171, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.216679, actvprof=,0.084454, id=,B06, PRDE,actvstrat=,-0.408876, actvprof=,0.255028, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.200078, id=,B08, PRDE,actvstrat=,-0.365804, actvprof=,2.331648, id=,S00, PRDE,actvstrat=,-0.355613, actvprof=,1.326814, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.057506, id=,S03, PRDE,actvstrat=,-0.591417, actvprof=,0.065285, id=,S04, PRDE,actvstrat=,-0.680327, actvprof=,0.024447, id=,S09, PRDE,actvstrat=,-0.306770, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.200078, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.057506, best_S_strat=,-1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,0.551171, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.216679, actvprof=,0.087089, id=,B06, PRDE,actvstrat=,-0.408876, actvprof=,0.241821, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.233535, id=,B08, PRDE,actvstrat=,-0.365804, actvprof=,2.357925, id=,S00, PRDE,actvstrat=,-0.355613, actvprof=,1.281886, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.044343, id=,S03, PRDE,actvstrat=,-0.591417, actvprof=,0.077088, id=,S04, PRDE,actvstrat=,-0.680327, actvprof=,0.015418, id=,S09, PRDE,actvstrat=,-0.306770, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.233535, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.044343, best_S_strat=,-1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.797124, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.058764, actvprof=,0.111958, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.953730, id=,B07, PRDE,actvstrat=,-0.381951, actvprof=,0.793988, id=,B08, PRDE,actvstrat=,-0.430651, actvprof=,1.780223, id=,S00, PRDE,actvstrat=,-0.210477, actvprof=,1.655485, id=,S01, PRDE,actvstrat=,-0.878330, actvprof=,0.130850, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.603103, id=,S04, PRDE,actvstrat=,-0.136825, actvprof=,0.063897, id=,S09, PRDE,actvstrat=,0.504200, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.780223, best_B_strat=,-0.430651, best_S_id=,S03, best_S_prof=,2.603103, best_S_strat=,1.000000, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.797124, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.058764, actvprof=,0.114452, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.964644, id=,B07, PRDE,actvstrat=,-0.381951, actvprof=,0.804495, id=,B08, PRDE,actvstrat=,-0.430651, actvprof=,1.775389, id=,S00, PRDE,actvstrat=,-0.210477, actvprof=,1.594405, id=,S01, PRDE,actvstrat=,-0.878330, actvprof=,0.149454, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.523491, id=,S04, PRDE,actvstrat=,-0.136825, actvprof=,0.060143, id=,S09, PRDE,actvstrat=,0.504200, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.775389, best_B_strat=,-0.430651, best_S_id=,S03, best_S_prof=,2.523491, best_S_strat=,1.000000, 
t=,97200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.256743, actvprof=,0.204192, id=,B06, PRDE,actvstrat=,0.291547, actvprof=,1.722715, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.741579, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.899904, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.297176, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.366379, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.629926, id=,S04, PRDE,actvstrat=,0.839362, actvprof=,0.193635, id=,S09, PRDE,actvstrat=,-0.063271, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.899904, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.297176, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.256743, actvprof=,0.182235, id=,B06, PRDE,actvstrat=,0.291547, actvprof=,1.703313, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.853045, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.889298, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.339329, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.263491, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.650531, id=,S04, PRDE,actvstrat=,0.839362, actvprof=,0.182929, id=,S09, PRDE,actvstrat=,-0.063271, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.889298, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.339329, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-0.730029, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.662289, actvprof=,0.058618, id=,B06, PRDE,actvstrat=,0.877898, actvprof=,0.625634, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.589365, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.269298, id=,S00, PRDE,actvstrat=,-0.355613, actvprof=,2.003862, id=,S01, PRDE,actvstrat=,-0.745107, actvprof=,1.190704, id=,S03, PRDE,actvstrat=,0.676740, actvprof=,2.358073, id=,S04, PRDE,actvstrat=,-0.301879, actvprof=,0.135017, id=,S09, PRDE,actvstrat=,-0.754135, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.269298, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,2.358073, best_S_strat=,0.676740, 
t=,108000, id=,B01, PRDE,actvstrat=,-0.730029, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.662289, actvprof=,0.062227, id=,B06, PRDE,actvstrat=,0.877898, actvprof=,0.602264, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.570665, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.259115, id=,S00, PRDE,actvstrat=,-0.355613, actvprof=,1.984999, id=,S01, PRDE,actvstrat=,-0.745107, actvprof=,1.047712, id=,S03, PRDE,actvstrat=,0.676740, actvprof=,2.351413, id=,S04, PRDE,actvstrat=,-0.301879, actvprof=,0.135148, id=,S09, PRDE,actvstrat=,-0.754135, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.259115, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,2.351413, best_S_strat=,0.676740, 
