t=,75600, id=,B01, PRDE,actvstrat=,0.707624, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.295123, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.854233, actvprof=,0.086670, id=,B06, PRDE,actvstrat=,0.470627, actvprof=,2.048141, id=,B09, PRDE,actvstrat=,0.913905, actvprof=,7.587261, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.919649, id=,S03, PRDE,actvstrat=,0.266514, actvprof=,0.447241, id=,S06, PRDE,actvstrat=,0.195172, actvprof=,0.011389, id=,S07, PRDE,actvstrat=,-0.061224, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.587261, best_B_strat=,0.913905, best_S_id=,S01, best_S_prof=,4.919649, best_S_strat=,-1.000000, 
t=,79200, id=,B01, PRDE,actvstrat=,0.707624, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.295123, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.854233, actvprof=,0.084030, id=,B06, PRDE,actvstrat=,0.470627, actvprof=,2.057557, id=,B09, PRDE,actvstrat=,0.913905, actvprof=,7.521181, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.818051, id=,S03, PRDE,actvstrat=,0.266514, actvprof=,0.465568, id=,S06, PRDE,actvstrat=,0.195172, actvprof=,0.005695, id=,S07, PRDE,actvstrat=,-0.061224, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.521181, best_B_strat=,0.913905, best_S_id=,S01, best_S_prof=,4.818051, best_S_strat=,-1.000000, 
t=,82800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.229108, actvprof=,0.082505, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.164898, id=,B09, PRDE,actvstrat=,-0.559708, actvprof=,5.674482, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.280238, id=,S03, PRDE,actvstrat=,0.726034, actvprof=,0.645869, id=,S06, PRDE,actvstrat=,0.130826, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.169002, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.674482, best_B_strat=,-0.559708, best_S_id=,S01, best_S_prof=,4.280238, best_S_strat=,-1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.229108, actvprof=,0.071669, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.212311, id=,B09, PRDE,actvstrat=,-0.559708, actvprof=,5.784188, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.282758, id=,S03, PRDE,actvstrat=,0.726034, actvprof=,0.597655, id=,S06, PRDE,actvstrat=,0.130826, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.169002, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.784188, best_B_strat=,-0.559708, best_S_id=,S01, best_S_prof=,4.282758, best_S_strat=,-1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.597920, actvprof=,0.557793, id=,B06, PRDE,actvstrat=,-0.161133, actvprof=,2.127281, id=,B09, PRDE,actvstrat=,-0.150474, actvprof=,7.223256, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.715381, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.572794, id=,S06, PRDE,actvstrat=,0.370579, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.994554, actvprof=,0.000556, id=,S09, PRDE,actvstrat=,-0.669298, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.223256, best_B_strat=,-0.150474, best_S_id=,S01, best_S_prof=,3.715381, best_S_strat=,1.000000, 
t=,93600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.597920, actvprof=,0.534320, id=,B06, PRDE,actvstrat=,-0.161133, actvprof=,2.153671, id=,B09, PRDE,actvstrat=,-0.150474, actvprof=,7.208395, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.755521, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.608489, id=,S06, PRDE,actvstrat=,0.370579, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.994554, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,-0.669298, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.208395, best_B_strat=,-0.150474, best_S_id=,S01, best_S_prof=,3.755521, best_S_strat=,1.000000, 
t=,97200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,0.766567, actvprof=,0.591675, id=,B06, PRDE,actvstrat=,-0.624058, actvprof=,1.618911, id=,B09, PRDE,actvstrat=,-0.134289, actvprof=,6.833984, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.822553, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.638064, id=,S06, PRDE,actvstrat=,0.252071, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S09, PRDE,actvstrat=,0.356232, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.833984, best_B_strat=,-0.134289, best_S_id=,S01, best_S_prof=,3.822553, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.766567, actvprof=,0.543206, id=,B06, PRDE,actvstrat=,-0.624058, actvprof=,1.619756, id=,B09, PRDE,actvstrat=,-0.134289, actvprof=,6.861810, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.892998, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.665292, id=,S06, PRDE,actvstrat=,0.252071, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S09, PRDE,actvstrat=,0.356232, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.861810, best_B_strat=,-0.134289, best_S_id=,S01, best_S_prof=,3.892998, best_S_strat=,1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.229108, actvprof=,0.054447, id=,B06, PRDE,actvstrat=,0.475356, actvprof=,2.340686, id=,B09, PRDE,actvstrat=,0.290989, actvprof=,6.833157, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.443858, id=,S03, PRDE,actvstrat=,-0.267138, actvprof=,0.050281, id=,S06, PRDE,actvstrat=,0.252071, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.684525, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.678642, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.833157, best_B_strat=,0.290989, best_S_id=,S01, best_S_prof=,4.443858, best_S_strat=,-1.000000, 
t=,108000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.229108, actvprof=,0.070697, id=,B06, PRDE,actvstrat=,0.475356, actvprof=,2.423556, id=,B09, PRDE,actvstrat=,0.290989, actvprof=,7.099413, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.369457, id=,S03, PRDE,actvstrat=,-0.267138, actvprof=,0.060280, id=,S06, PRDE,actvstrat=,0.252071, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.684525, actvprof=,0.000417, id=,S09, PRDE,actvstrat=,0.678642, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.099413, best_B_strat=,0.290989, best_S_id=,S01, best_S_prof=,4.369457, best_S_strat=,-1.000000, 
