t=,75600, id=,B02, PRDE,actvstrat=,-0.717146, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.008889, id=,B06, PRDE,actvstrat=,-0.819884, actvprof=,0.227235, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,3.193511, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,5.305295, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,0.991444, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.357798, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.039724, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.022779, id=,S08, PRDE,actvstrat=,0.897566, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.305295, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,0.991444, best_S_strat=,-0.500149, 
t=,79200, id=,B02, PRDE,actvstrat=,-0.717146, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.011945, id=,B06, PRDE,actvstrat=,-0.819884, actvprof=,0.258759, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,3.294976, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,5.355186, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.022258, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.335151, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.028612, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.014306, id=,S08, PRDE,actvstrat=,0.897566, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.355186, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,1.022258, best_S_strat=,-0.500149, 
t=,82800, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.072505, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.789847, id=,B07, PRDE,actvstrat=,-0.001609, actvprof=,2.296271, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,5.040350, id=,S02, PRDE,actvstrat=,0.751163, actvprof=,3.437739, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.474477, id=,S05, PRDE,actvstrat=,0.005938, actvprof=,0.054726, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.022502, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.040350, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,3.437739, best_S_strat=,0.751163, 
t=,86400, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.070558, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.787840, id=,B07, PRDE,actvstrat=,-0.001609, actvprof=,2.287996, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,5.175319, id=,S02, PRDE,actvstrat=,0.751163, actvprof=,3.496094, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.461266, id=,S05, PRDE,actvstrat=,0.005938, actvprof=,0.055141, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.015417, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.175319, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,3.496094, best_S_strat=,0.751163, 
t=,90000, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.056949, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.476234, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.601606, id=,B09, PRDE,actvstrat=,0.398030, actvprof=,5.761591, id=,S02, PRDE,actvstrat=,0.751163, actvprof=,3.817263, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.660888, id=,S05, PRDE,actvstrat=,0.005938, actvprof=,0.048615, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.026391, id=,S08, PRDE,actvstrat=,-0.264026, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.761591, best_B_strat=,0.398030, best_S_id=,S02, best_S_prof=,3.817263, best_S_strat=,0.751163, 
t=,93600, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.062503, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.476867, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.556912, id=,B09, PRDE,actvstrat=,0.398030, actvprof=,5.660930, id=,S02, PRDE,actvstrat=,0.751163, actvprof=,3.785019, id=,S04, PRDE,actvstrat=,0.541599, actvprof=,0.657805, id=,S05, PRDE,actvstrat=,0.005938, actvprof=,0.060975, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.027918, id=,S08, PRDE,actvstrat=,-0.264026, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.660930, best_B_strat=,0.398030, best_S_id=,S02, best_S_prof=,3.785019, best_S_strat=,0.751163, 
t=,97200, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.005834, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.407812, id=,B07, PRDE,actvstrat=,-0.001609, actvprof=,2.229352, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,5.446009, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.096202, id=,S04, PRDE,actvstrat=,-0.839452, actvprof=,0.088896, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.040281, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.005000, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.446009, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,1.096202, best_S_strat=,-0.500149, 
t=,100800, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.007084, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.390572, id=,B07, PRDE,actvstrat=,-0.001609, actvprof=,2.132589, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,5.221745, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.164771, id=,S04, PRDE,actvstrat=,-0.839452, actvprof=,0.082920, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.045974, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.006667, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.221745, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,1.164771, best_S_strat=,-0.500149, 
t=,104400, id=,B02, PRDE,actvstrat=,-0.717146, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.638826, actvprof=,0.062503, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.632846, id=,B07, PRDE,actvstrat=,-0.001609, actvprof=,1.968971, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,5.144103, id=,S02, PRDE,actvstrat=,0.751163, actvprof=,3.362085, id=,S04, PRDE,actvstrat=,-0.839452, actvprof=,0.133894, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.061114, id=,S06, PRDE,actvstrat=,0.964443, actvprof=,0.051947, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.144103, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,3.362085, best_S_strat=,0.751163, 
t=,108000, id=,B02, PRDE,actvstrat=,-0.717146, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.638826, actvprof=,0.061530, id=,B06, PRDE,actvstrat=,0.692323, actvprof=,1.677709, id=,B07, PRDE,actvstrat=,-0.001609, actvprof=,2.038696, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,5.045905, id=,S02, PRDE,actvstrat=,0.751163, actvprof=,3.380558, id=,S04, PRDE,actvstrat=,-0.839452, actvprof=,0.100143, id=,S05, PRDE,actvstrat=,0.401273, actvprof=,0.067503, id=,S06, PRDE,actvstrat=,0.964443, actvprof=,0.055280, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.045905, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,3.380558, best_S_strat=,0.751163, 
t=,111600, id=,B02, PRDE,actvstrat=,0.176361, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.955048, actvprof=,0.005000, id=,B06, PRDE,actvstrat=,-0.507606, actvprof=,0.265578, id=,B07, PRDE,actvstrat=,0.559759, actvprof=,2.653277, id=,B09, PRDE,actvstrat=,-0.013714, actvprof=,4.803178, id=,S02, PRDE,actvstrat=,-0.500149, actvprof=,1.318999, id=,S04, PRDE,actvstrat=,-0.839452, actvprof=,0.078618, id=,S05, PRDE,actvstrat=,0.005938, actvprof=,0.022224, id=,S06, PRDE,actvstrat=,0.458554, actvprof=,0.011945, id=,S08, PRDE,actvstrat=,-0.667011, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.803178, best_B_strat=,-0.013714, best_S_id=,S02, best_S_prof=,1.318999, best_S_strat=,-0.500149, 
