t=,75600, id=,B01, PRDE,actvstrat=,0.621652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.746606, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.918089, actvprof=,0.002500, id=,B07, PRDE,actvstrat=,-0.619625, actvprof=,0.553657, id=,B08, PRDE,actvstrat=,0.795092, actvprof=,4.217296, id=,S00, PRDE,actvstrat=,0.084729, actvprof=,3.660861, id=,S01, PRDE,actvstrat=,-0.271329, actvprof=,1.209267, id=,S03, PRDE,actvstrat=,-0.031147, actvprof=,0.481429, id=,S05, PRDE,actvstrat=,-0.583664, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.567725, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.217296, best_B_strat=,0.795092, best_S_id=,S00, best_S_prof=,3.660861, best_S_strat=,0.084729, 
t=,79200, id=,B01, PRDE,actvstrat=,0.621652, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.746606, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,0.918089, actvprof=,0.006806, id=,B07, PRDE,actvstrat=,-0.619625, actvprof=,0.550717, id=,B08, PRDE,actvstrat=,0.795092, actvprof=,4.162673, id=,S00, PRDE,actvstrat=,0.084729, actvprof=,3.651124, id=,S01, PRDE,actvstrat=,-0.271329, actvprof=,1.045044, id=,S03, PRDE,actvstrat=,-0.031147, actvprof=,0.495437, id=,S05, PRDE,actvstrat=,-0.583664, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.567725, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.162673, best_B_strat=,0.795092, best_S_id=,S00, best_S_prof=,3.651124, best_S_strat=,0.084729, 
t=,82800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.405404, actvprof=,0.011668, id=,B04, PRDE,actvstrat=,-0.202291, actvprof=,0.016390, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.819124, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.334250, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.796205, id=,S01, PRDE,actvstrat=,0.407917, actvprof=,3.245826, id=,S03, PRDE,actvstrat=,0.326030, actvprof=,0.843404, id=,S05, PRDE,actvstrat=,-0.993537, actvprof=,0.137234, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.334250, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.796205, best_S_strat=,1.000000, 
t=,86400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-0.405404, actvprof=,0.005834, id=,B04, PRDE,actvstrat=,-0.202291, actvprof=,0.020834, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.752457, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.231675, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.794437, id=,S01, PRDE,actvstrat=,0.407917, actvprof=,3.230251, id=,S03, PRDE,actvstrat=,0.326030, actvprof=,0.894753, id=,S05, PRDE,actvstrat=,-0.993537, actvprof=,0.135838, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.231675, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.794437, best_S_strat=,1.000000, 
t=,90000, id=,B01, PRDE,actvstrat=,-0.241416, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.899236, actvprof=,0.003611, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.018307, id=,B08, PRDE,actvstrat=,0.931720, actvprof=,4.753729, id=,S00, PRDE,actvstrat=,-0.455809, actvprof=,1.158985, id=,S01, PRDE,actvstrat=,-0.533146, actvprof=,0.541156, id=,S03, PRDE,actvstrat=,0.590021, actvprof=,1.137317, id=,S05, PRDE,actvstrat=,0.987128, actvprof=,0.241965, id=,S09, PRDE,actvstrat=,0.193999, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.753729, best_B_strat=,0.931720, best_S_id=,S00, best_S_prof=,1.158985, best_S_strat=,-0.455809, 
t=,93600, id=,B01, PRDE,actvstrat=,-0.241416, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.899236, actvprof=,0.006945, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.990402, id=,B08, PRDE,actvstrat=,0.931720, actvprof=,4.688806, id=,S00, PRDE,actvstrat=,-0.455809, actvprof=,1.224634, id=,S01, PRDE,actvstrat=,-0.533146, actvprof=,0.576135, id=,S03, PRDE,actvstrat=,0.590021, actvprof=,1.176716, id=,S05, PRDE,actvstrat=,0.987128, actvprof=,0.240843, id=,S09, PRDE,actvstrat=,0.193999, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.688806, best_B_strat=,0.931720, best_S_id=,S00, best_S_prof=,1.224634, best_S_strat=,-0.455809, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.449160, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.236792, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.043893, id=,B07, PRDE,actvstrat=,-0.733886, actvprof=,1.457344, id=,B08, PRDE,actvstrat=,0.330109, actvprof=,4.951802, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.943551, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.669556, id=,S03, PRDE,actvstrat=,-0.147691, actvprof=,0.056116, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.041115, id=,S09, PRDE,actvstrat=,0.222834, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.951802, best_B_strat=,0.330109, best_S_id=,S00, best_S_prof=,5.943551, best_S_strat=,-1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.449160, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.236792, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.042502, id=,B07, PRDE,actvstrat=,-0.733886, actvprof=,1.447421, id=,B08, PRDE,actvstrat=,0.330109, actvprof=,4.946178, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.859966, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.661861, id=,S03, PRDE,actvstrat=,-0.147691, actvprof=,0.062503, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.040002, id=,S09, PRDE,actvstrat=,0.222834, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.946178, best_B_strat=,0.330109, best_S_id=,S00, best_S_prof=,5.859966, best_S_strat=,-1.000000, 
t=,104400, id=,B01, PRDE,actvstrat=,0.705215, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.913497, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.505722, actvprof=,0.047226, id=,B07, PRDE,actvstrat=,-0.295287, actvprof=,2.448260, id=,B08, PRDE,actvstrat=,0.330109, actvprof=,5.583799, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.194044, id=,S01, PRDE,actvstrat=,-0.867575, actvprof=,0.016112, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.163708, id=,S05, PRDE,actvstrat=,0.994917, actvprof=,0.055282, id=,S09, PRDE,actvstrat=,0.840388, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.583799, best_B_strat=,0.330109, best_S_id=,S00, best_S_prof=,5.194044, best_S_strat=,-1.000000, 
t=,108000, id=,B01, PRDE,actvstrat=,0.705215, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.913497, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.505722, actvprof=,0.043196, id=,B07, PRDE,actvstrat=,-0.295287, actvprof=,2.502465, id=,B08, PRDE,actvstrat=,0.330109, actvprof=,5.575649, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.149520, id=,S01, PRDE,actvstrat=,-0.867575, actvprof=,0.031668, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.221023, id=,S05, PRDE,actvstrat=,0.994917, actvprof=,0.045557, id=,S09, PRDE,actvstrat=,0.840388, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.575649, best_B_strat=,0.330109, best_S_id=,S00, best_S_prof=,5.149520, best_S_strat=,-1.000000, 
