t=,79200, id=,B00, PRDE,actvstrat=,-0.463082, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.757880, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.812103, actvprof=,0.266130, id=,B08, PRDE,actvstrat=,0.682745, actvprof=,4.820474, id=,B09, PRDE,actvstrat=,-0.637393, actvprof=,4.245434, id=,S00, PRDE,actvstrat=,-0.896390, actvprof=,0.147788, id=,S01, PRDE,actvstrat=,0.020288, actvprof=,1.825127, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.748246, id=,S05, PRDE,actvstrat=,-0.275511, actvprof=,0.004723, id=,S08, PRDE,actvstrat=,0.864332, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.820474, best_B_strat=,0.682745, best_S_id=,S01, best_S_prof=,1.825127, best_S_strat=,0.020288, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.654008, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.000508, actvprof=,0.888772, id=,B08, PRDE,actvstrat=,0.311576, actvprof=,4.220206, id=,B09, PRDE,actvstrat=,-0.790505, actvprof=,3.624543, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.923194, id=,S01, PRDE,actvstrat=,0.055647, actvprof=,1.935072, id=,S04, PRDE,actvstrat=,0.840281, actvprof=,0.408129, id=,S05, PRDE,actvstrat=,0.866617, actvprof=,0.050287, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.220206, best_B_strat=,0.311576, best_S_id=,S00, best_S_prof=,6.923194, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.654008, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.000508, actvprof=,0.904943, id=,B08, PRDE,actvstrat=,0.311576, actvprof=,4.098564, id=,B09, PRDE,actvstrat=,-0.790505, actvprof=,3.530735, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.883121, id=,S01, PRDE,actvstrat=,0.055647, actvprof=,1.924201, id=,S04, PRDE,actvstrat=,0.840281, actvprof=,0.391702, id=,S05, PRDE,actvstrat=,0.866617, actvprof=,0.054727, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.098564, best_B_strat=,0.311576, best_S_id=,S00, best_S_prof=,6.883121, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.514395, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.534468, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.850929, actvprof=,1.149374, id=,B08, PRDE,actvstrat=,-0.269908, actvprof=,1.900899, id=,B09, PRDE,actvstrat=,0.675557, actvprof=,5.445983, id=,S00, PRDE,actvstrat=,0.903352, actvprof=,7.473572, id=,S01, PRDE,actvstrat=,0.834277, actvprof=,5.651298, id=,S04, PRDE,actvstrat=,-0.513202, actvprof=,0.035562, id=,S05, PRDE,actvstrat=,0.029699, actvprof=,0.027783, id=,S08, PRDE,actvstrat=,0.456792, actvprof=,0.002223, best_B_id=,B09, best_B_prof=,5.445983, best_B_strat=,0.675557, best_S_id=,S00, best_S_prof=,7.473572, best_S_strat=,0.903352, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.514395, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.534468, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.850929, actvprof=,1.143159, id=,B08, PRDE,actvstrat=,-0.269908, actvprof=,1.895310, id=,B09, PRDE,actvstrat=,0.675557, actvprof=,5.420767, id=,S00, PRDE,actvstrat=,0.903352, actvprof=,7.456506, id=,S01, PRDE,actvstrat=,0.834277, actvprof=,5.640509, id=,S04, PRDE,actvstrat=,-0.513202, actvprof=,0.042226, id=,S05, PRDE,actvstrat=,0.029699, actvprof=,0.031114, id=,S08, PRDE,actvstrat=,0.456792, actvprof=,0.001111, best_B_id=,B09, best_B_prof=,5.420767, best_B_strat=,0.675557, best_S_id=,S00, best_S_prof=,7.456506, best_S_strat=,0.903352, 
t=,97200, id=,B00, PRDE,actvstrat=,0.932697, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.128725, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.115232, actvprof=,1.413569, id=,B08, PRDE,actvstrat=,0.644404, actvprof=,5.179197, id=,B09, PRDE,actvstrat=,-0.423366, actvprof=,4.906651, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.417736, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.875257, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.707618, id=,S05, PRDE,actvstrat=,-0.140194, actvprof=,0.004723, id=,S08, PRDE,actvstrat=,0.399397, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.179197, best_B_strat=,0.644404, best_S_id=,S00, best_S_prof=,6.417736, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,0.932697, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.128725, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.115232, actvprof=,1.375402, id=,B08, PRDE,actvstrat=,0.644404, actvprof=,5.059901, id=,B09, PRDE,actvstrat=,-0.423366, actvprof=,4.792377, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.395161, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.882107, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.725482, id=,S05, PRDE,actvstrat=,-0.140194, actvprof=,0.004862, id=,S08, PRDE,actvstrat=,0.399397, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.059901, best_B_strat=,0.644404, best_S_id=,S00, best_S_prof=,6.395161, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,0.893367, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.117780, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.475489, actvprof=,0.175307, id=,B08, PRDE,actvstrat=,0.378976, actvprof=,3.479747, id=,B09, PRDE,actvstrat=,0.332125, actvprof=,5.004723, id=,S00, PRDE,actvstrat=,0.784019, actvprof=,7.066456, id=,S01, PRDE,actvstrat=,-0.673996, actvprof=,0.771795, id=,S04, PRDE,actvstrat=,-0.982668, actvprof=,0.252542, id=,S05, PRDE,actvstrat=,-0.016746, actvprof=,0.013336, id=,S08, PRDE,actvstrat=,-0.930105, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.004723, best_B_strat=,0.332125, best_S_id=,S00, best_S_prof=,7.066456, best_S_strat=,0.784019, 
t=,108000, id=,B00, PRDE,actvstrat=,0.893367, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.117780, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.475489, actvprof=,0.197101, id=,B08, PRDE,actvstrat=,0.378976, actvprof=,3.388084, id=,B09, PRDE,actvstrat=,0.332125, actvprof=,5.005035, id=,S00, PRDE,actvstrat=,0.784019, actvprof=,6.873815, id=,S01, PRDE,actvstrat=,-0.673996, actvprof=,0.770903, id=,S04, PRDE,actvstrat=,-0.982668, actvprof=,0.288498, id=,S05, PRDE,actvstrat=,-0.016746, actvprof=,0.015557, id=,S08, PRDE,actvstrat=,-0.930105, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.005035, best_B_strat=,0.332125, best_S_id=,S00, best_S_prof=,6.873815, best_S_strat=,0.784019, 
t=,111600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.780095, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.164407, actvprof=,0.259769, id=,B08, PRDE,actvstrat=,0.794005, actvprof=,4.624724, id=,B09, PRDE,actvstrat=,0.231283, actvprof=,4.921722, id=,S00, PRDE,actvstrat=,-0.235578, actvprof=,1.471099, id=,S01, PRDE,actvstrat=,-0.670638, actvprof=,0.836262, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.293567, id=,S05, PRDE,actvstrat=,0.593438, actvprof=,0.040007, id=,S08, PRDE,actvstrat=,0.383728, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.921722, best_B_strat=,0.231283, best_S_id=,S00, best_S_prof=,1.471099, best_S_strat=,-0.235578, 
