t=,75600, id=,B00, PRDE,actvstrat=,-0.542485, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.442852, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.818924, actvprof=,0.136395, id=,B09, PRDE,actvstrat=,0.818183, actvprof=,6.216370, id=,S00, PRDE,actvstrat=,-0.685492, actvprof=,0.883926, id=,S01, PRDE,actvstrat=,0.109688, actvprof=,2.371210, id=,S02, PRDE,actvstrat=,0.962777, actvprof=,4.612970, id=,S04, PRDE,actvstrat=,0.533339, actvprof=,0.325014, id=,S07, PRDE,actvstrat=,-0.997235, actvprof=,0.007500, best_B_id=,B09, best_B_prof=,6.216370, best_B_strat=,0.818183, best_S_id=,S02, best_S_prof=,4.612970, best_S_strat=,0.962777, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.542485, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.442852, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.818924, actvprof=,0.140420, id=,B09, PRDE,actvstrat=,0.818183, actvprof=,6.196101, id=,S00, PRDE,actvstrat=,-0.685492, actvprof=,0.927380, id=,S01, PRDE,actvstrat=,0.109688, actvprof=,2.447690, id=,S02, PRDE,actvstrat=,0.962777, actvprof=,4.560651, id=,S04, PRDE,actvstrat=,0.533339, actvprof=,0.309173, id=,S07, PRDE,actvstrat=,-0.997235, actvprof=,0.007778, best_B_id=,B09, best_B_prof=,6.196101, best_B_strat=,0.818183, best_S_id=,S02, best_S_prof=,4.560651, best_S_strat=,0.962777, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.448861, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.670593, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.997055, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.305628, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.097505, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.128563, id=,S04, PRDE,actvstrat=,-0.128393, actvprof=,0.019723, id=,S07, PRDE,actvstrat=,0.032715, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.997055, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.305628, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.448861, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.604183, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.920887, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.392539, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.099864, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.163866, id=,S04, PRDE,actvstrat=,-0.128393, actvprof=,0.013473, id=,S07, PRDE,actvstrat=,0.032715, actvprof=,0.001111, best_B_id=,B09, best_B_prof=,6.920887, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.392539, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,0.664675, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.780587, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083724, actvprof=,0.059448, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.592588, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.614256, id=,S01, PRDE,actvstrat=,-0.863437, actvprof=,0.079727, id=,S02, PRDE,actvstrat=,-0.689706, actvprof=,0.291127, id=,S04, PRDE,actvstrat=,-0.789441, actvprof=,0.008334, id=,S07, PRDE,actvstrat=,-0.405931, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.592588, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.614256, best_S_strat=,-1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,0.664675, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.780587, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.083724, actvprof=,0.060696, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.547821, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.757965, id=,S01, PRDE,actvstrat=,-0.863437, actvprof=,0.115559, id=,S02, PRDE,actvstrat=,-0.689706, actvprof=,0.361399, id=,S04, PRDE,actvstrat=,-0.789441, actvprof=,0.014167, id=,S07, PRDE,actvstrat=,-0.405931, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.547821, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.757965, best_S_strat=,-1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.972935, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,-0.092738, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.393316, actvprof=,0.465026, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.400133, id=,S00, PRDE,actvstrat=,-0.159833, actvprof=,0.956998, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.993555, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.576032, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.417801, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.400133, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,3.993555, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.972935, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.092738, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.393316, actvprof=,0.489875, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.290758, id=,S00, PRDE,actvstrat=,-0.159833, actvprof=,1.147671, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.993028, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.603989, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.428901, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.290758, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,3.993028, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.250161, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.804984, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.819490, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.814267, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.175399, id=,S01, PRDE,actvstrat=,0.286966, actvprof=,2.155675, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.960220, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.709762, id=,S07, PRDE,actvstrat=,0.698964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.814267, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.175399, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.250161, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.804984, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.782661, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.782411, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.180616, id=,S01, PRDE,actvstrat=,0.286966, actvprof=,2.242007, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.956360, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.751826, id=,S07, PRDE,actvstrat=,0.698964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.782411, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.180616, best_S_strat=,1.000000, 
