t=,75600, id=,B02, PRDE,actvstrat=,-0.014287, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.152547, actvprof=,0.014167, id=,B06, PRDE,actvstrat=,-0.908953, actvprof=,0.186677, id=,B08, PRDE,actvstrat=,0.373112, actvprof=,5.796711, id=,B09, PRDE,actvstrat=,-0.318880, actvprof=,6.005334, id=,S02, PRDE,actvstrat=,-0.082395, actvprof=,0.135841, id=,S03, PRDE,actvstrat=,0.776603, actvprof=,0.353909, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102700, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.802548, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.005334, best_B_strat=,-0.318880, best_S_id=,S03, best_S_prof=,0.353909, best_S_strat=,0.776603, 
t=,79200, id=,B02, PRDE,actvstrat=,-0.014287, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.152547, actvprof=,0.012500, id=,B06, PRDE,actvstrat=,-0.908953, actvprof=,0.178477, id=,B08, PRDE,actvstrat=,0.373112, actvprof=,5.995028, id=,B09, PRDE,actvstrat=,-0.318880, actvprof=,6.128087, id=,S02, PRDE,actvstrat=,-0.082395, actvprof=,0.137226, id=,S03, PRDE,actvstrat=,0.776603, actvprof=,0.348204, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.102700, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.802548, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.128087, best_B_strat=,-0.318880, best_S_id=,S03, best_S_prof=,0.348204, best_S_strat=,0.776603, 
t=,82800, id=,B02, PRDE,actvstrat=,0.107135, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.171475, actvprof=,0.006945, id=,B06, PRDE,actvstrat=,0.662987, actvprof=,1.520362, id=,B08, PRDE,actvstrat=,0.683351, actvprof=,4.779988, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.926996, id=,S02, PRDE,actvstrat=,0.546071, actvprof=,1.936774, id=,S03, PRDE,actvstrat=,0.031548, actvprof=,0.495861, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.012778, id=,S08, PRDE,actvstrat=,-0.964324, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.926996, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,1.936774, best_S_strat=,0.546071, 
t=,86400, id=,B02, PRDE,actvstrat=,0.107135, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.171475, actvprof=,0.007222, id=,B06, PRDE,actvstrat=,0.662987, actvprof=,1.507820, id=,B08, PRDE,actvstrat=,0.683351, actvprof=,4.792633, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.880580, id=,S02, PRDE,actvstrat=,0.546071, actvprof=,1.947971, id=,S03, PRDE,actvstrat=,0.031548, actvprof=,0.479458, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.009584, id=,S08, PRDE,actvstrat=,-0.964324, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.880580, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,1.947971, best_S_strat=,0.546071, 
t=,90000, id=,B02, PRDE,actvstrat=,0.739463, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.894490, actvprof=,0.015279, id=,B06, PRDE,actvstrat=,-0.562699, actvprof=,0.603653, id=,B08, PRDE,actvstrat=,0.145605, actvprof=,4.415307, id=,B09, PRDE,actvstrat=,-0.131656, actvprof=,5.374540, id=,S02, PRDE,actvstrat=,-0.645064, actvprof=,0.181957, id=,S03, PRDE,actvstrat=,0.309928, actvprof=,0.484756, id=,S06, PRDE,actvstrat=,0.794333, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,0.190353, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.374540, best_B_strat=,-0.131656, best_S_id=,S03, best_S_prof=,0.484756, best_S_strat=,0.309928, 
t=,93600, id=,B02, PRDE,actvstrat=,0.739463, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.894490, actvprof=,0.013195, id=,B06, PRDE,actvstrat=,-0.562699, actvprof=,0.593632, id=,B08, PRDE,actvstrat=,0.145605, actvprof=,4.469461, id=,B09, PRDE,actvstrat=,-0.131656, actvprof=,5.394215, id=,S02, PRDE,actvstrat=,-0.645064, actvprof=,0.171673, id=,S03, PRDE,actvstrat=,0.309928, actvprof=,0.452793, id=,S06, PRDE,actvstrat=,0.794333, actvprof=,0.002639, id=,S08, PRDE,actvstrat=,0.190353, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.394215, best_B_strat=,-0.131656, best_S_id=,S03, best_S_prof=,0.452793, best_S_strat=,0.309928, 
t=,97200, id=,B02, PRDE,actvstrat=,-0.890124, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.004167, id=,B06, PRDE,actvstrat=,-0.403037, actvprof=,0.487534, id=,B08, PRDE,actvstrat=,0.112681, actvprof=,4.279742, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.665185, id=,S02, PRDE,actvstrat=,0.619778, actvprof=,2.044031, id=,S03, PRDE,actvstrat=,-0.162142, actvprof=,0.071949, id=,S06, PRDE,actvstrat=,-0.479993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.695915, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.665185, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.044031, best_S_strat=,0.619778, 
t=,100800, id=,B02, PRDE,actvstrat=,-0.890124, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,-0.403037, actvprof=,0.466961, id=,B08, PRDE,actvstrat=,0.112681, actvprof=,4.217785, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.645092, id=,S02, PRDE,actvstrat=,0.619778, actvprof=,2.016459, id=,S03, PRDE,actvstrat=,-0.162142, actvprof=,0.075280, id=,S06, PRDE,actvstrat=,-0.479993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.695915, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.645092, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.016459, best_S_strat=,0.619778, 
t=,104400, id=,B02, PRDE,actvstrat=,-0.501355, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.679299, actvprof=,0.035002, id=,B06, PRDE,actvstrat=,-0.253934, actvprof=,0.846448, id=,B08, PRDE,actvstrat=,0.563237, actvprof=,5.430655, id=,B09, PRDE,actvstrat=,0.496660, actvprof=,7.028544, id=,S02, PRDE,actvstrat=,0.616881, actvprof=,1.664004, id=,S03, PRDE,actvstrat=,0.052168, actvprof=,0.182235, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.028544, best_B_strat=,0.496660, best_S_id=,S02, best_S_prof=,1.664004, best_S_strat=,0.616881, 
t=,108000, id=,B02, PRDE,actvstrat=,-0.501355, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.679299, actvprof=,0.032223, id=,B06, PRDE,actvstrat=,-0.253934, actvprof=,0.798500, id=,B08, PRDE,actvstrat=,0.563237, actvprof=,5.428244, id=,B09, PRDE,actvstrat=,0.496660, actvprof=,7.084135, id=,S02, PRDE,actvstrat=,0.616881, actvprof=,1.595611, id=,S03, PRDE,actvstrat=,0.052168, actvprof=,0.207368, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.008750, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.084135, best_B_strat=,0.496660, best_S_id=,S02, best_S_prof=,1.595611, best_S_strat=,0.616881, 
