t=,75600, id=,B00, PRDE,actvstrat=,-0.490211, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.227617, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.216108, actvprof=,0.130011, id=,B06, PRDE,actvstrat=,-0.657500, actvprof=,0.305025, id=,B08, PRDE,actvstrat=,0.484494, actvprof=,4.277579, id=,S00, PRDE,actvstrat=,-0.921782, actvprof=,0.035559, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.768814, id=,S02, PRDE,actvstrat=,-0.471944, actvprof=,0.241131, id=,S05, PRDE,actvstrat=,-0.072453, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.703083, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.277579, best_B_strat=,0.484494, best_S_id=,S01, best_S_prof=,5.768814, best_S_strat=,1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.490211, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.227617, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.216108, actvprof=,0.116116, id=,B06, PRDE,actvstrat=,-0.657500, actvprof=,0.269317, id=,B08, PRDE,actvstrat=,0.484494, actvprof=,4.252122, id=,S00, PRDE,actvstrat=,-0.921782, actvprof=,0.040557, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.787463, id=,S02, PRDE,actvstrat=,-0.471944, actvprof=,0.268206, id=,S05, PRDE,actvstrat=,-0.072453, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,0.703083, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.252122, best_B_strat=,0.484494, best_S_id=,S01, best_S_prof=,5.787463, best_S_strat=,1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.371099, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.261963, id=,B06, PRDE,actvstrat=,0.035921, actvprof=,0.537260, id=,B08, PRDE,actvstrat=,0.419856, actvprof=,3.624696, id=,S00, PRDE,actvstrat=,0.620788, actvprof=,5.817348, id=,S01, PRDE,actvstrat=,-0.047031, actvprof=,1.902910, id=,S02, PRDE,actvstrat=,0.568105, actvprof=,2.667407, id=,S05, PRDE,actvstrat=,0.701432, actvprof=,0.056393, id=,S08, PRDE,actvstrat=,-0.611535, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.624696, best_B_strat=,0.419856, best_S_id=,S00, best_S_prof=,5.817348, best_S_strat=,0.620788, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.371099, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.258898, id=,B06, PRDE,actvstrat=,0.035921, actvprof=,0.558908, id=,B08, PRDE,actvstrat=,0.419856, actvprof=,3.644571, id=,S00, PRDE,actvstrat=,0.620788, actvprof=,5.673253, id=,S01, PRDE,actvstrat=,-0.047031, actvprof=,1.838397, id=,S02, PRDE,actvstrat=,0.568105, actvprof=,2.587034, id=,S05, PRDE,actvstrat=,0.701432, actvprof=,0.041946, id=,S08, PRDE,actvstrat=,-0.611535, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.644571, best_B_strat=,0.419856, best_S_id=,S00, best_S_prof=,5.673253, best_S_strat=,0.620788, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.456251, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.501555, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.699926, actvprof=,0.005556, id=,B06, PRDE,actvstrat=,0.478731, actvprof=,0.681446, id=,B08, PRDE,actvstrat=,0.121574, actvprof=,3.041365, id=,S00, PRDE,actvstrat=,-0.790178, actvprof=,0.829236, id=,S01, PRDE,actvstrat=,-0.231709, actvprof=,1.057588, id=,S02, PRDE,actvstrat=,0.257987, actvprof=,1.822374, id=,S05, PRDE,actvstrat=,-0.878724, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.233904, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.041365, best_B_strat=,0.121574, best_S_id=,S02, best_S_prof=,1.822374, best_S_strat=,0.257987, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.456251, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.501555, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.699926, actvprof=,0.009584, id=,B06, PRDE,actvstrat=,0.478731, actvprof=,0.635443, id=,B08, PRDE,actvstrat=,0.121574, actvprof=,2.942206, id=,S00, PRDE,actvstrat=,-0.790178, actvprof=,0.868231, id=,S01, PRDE,actvstrat=,-0.231709, actvprof=,1.183383, id=,S02, PRDE,actvstrat=,0.257987, actvprof=,1.870356, id=,S05, PRDE,actvstrat=,-0.878724, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.233904, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.942206, best_B_strat=,0.121574, best_S_id=,S02, best_S_prof=,1.870356, best_S_strat=,0.257987, 
t=,97200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.191642, actvprof=,0.001945, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.647285, id=,B06, PRDE,actvstrat=,-0.510245, actvprof=,0.301696, id=,B08, PRDE,actvstrat=,0.477683, actvprof=,4.133180, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.284597, id=,S01, PRDE,actvstrat=,-0.415670, actvprof=,0.685344, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.083730, id=,S05, PRDE,actvstrat=,-0.665537, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.968663, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.133180, best_B_strat=,0.477683, best_S_id=,S00, best_S_prof=,7.284597, best_S_strat=,1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.191642, actvprof=,0.000972, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.649194, id=,B06, PRDE,actvstrat=,-0.510245, actvprof=,0.359321, id=,B08, PRDE,actvstrat=,0.477683, actvprof=,4.159340, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.298360, id=,S01, PRDE,actvstrat=,-0.415670, actvprof=,0.625582, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.060447, id=,S05, PRDE,actvstrat=,-0.665537, actvprof=,0.002083, id=,S08, PRDE,actvstrat=,-0.968663, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.159340, best_B_strat=,0.477683, best_S_id=,S00, best_S_prof=,7.298360, best_S_strat=,1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,0.853324, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.191642, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,-0.088554, actvprof=,0.114178, id=,B06, PRDE,actvstrat=,0.021276, actvprof=,1.098162, id=,B08, PRDE,actvstrat=,0.355216, actvprof=,4.340144, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.837609, id=,S01, PRDE,actvstrat=,-0.324169, actvprof=,0.591724, id=,S02, PRDE,actvstrat=,0.568105, actvprof=,1.705999, id=,S05, PRDE,actvstrat=,0.824591, actvprof=,0.045004, id=,S08, PRDE,actvstrat=,-0.611535, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.340144, best_B_strat=,0.355216, best_S_id=,S00, best_S_prof=,6.837609, best_S_strat=,1.000000, 
t=,108000, id=,B00, PRDE,actvstrat=,0.853324, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.191642, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.088554, actvprof=,0.124312, id=,B06, PRDE,actvstrat=,0.021276, actvprof=,1.113526, id=,B08, PRDE,actvstrat=,0.355216, actvprof=,4.395769, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.771579, id=,S01, PRDE,actvstrat=,-0.324169, actvprof=,0.565027, id=,S02, PRDE,actvstrat=,0.568105, actvprof=,1.753974, id=,S05, PRDE,actvstrat=,0.824591, actvprof=,0.042641, id=,S08, PRDE,actvstrat=,-0.611535, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.395769, best_B_strat=,0.355216, best_S_id=,S00, best_S_prof=,6.771579, best_S_strat=,1.000000, 
