t=,75600, id=,B00, PRDE,actvstrat=,-0.502810, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.293322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.140331, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.673548, actvprof=,2.006528, id=,B08, PRDE,actvstrat=,0.581733, actvprof=,5.080075, id=,S00, PRDE,actvstrat=,0.866180, actvprof=,6.582957, id=,S02, PRDE,actvstrat=,-0.061765, actvprof=,0.528092, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.845128, id=,S06, PRDE,actvstrat=,0.395646, actvprof=,0.009723, id=,S07, PRDE,actvstrat=,-0.113985, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.080075, best_B_strat=,0.581733, best_S_id=,S00, best_S_prof=,6.582957, best_S_strat=,0.866180, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.502810, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.293322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.140331, actvprof=,0.001945, id=,B06, PRDE,actvstrat=,0.673548, actvprof=,1.898690, id=,B08, PRDE,actvstrat=,0.581733, actvprof=,5.024376, id=,S00, PRDE,actvstrat=,0.866180, actvprof=,6.566662, id=,S02, PRDE,actvstrat=,-0.061765, actvprof=,0.594053, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.957443, id=,S06, PRDE,actvstrat=,0.395646, actvprof=,0.004861, id=,S07, PRDE,actvstrat=,-0.113985, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.024376, best_B_strat=,0.581733, best_S_id=,S00, best_S_prof=,6.566662, best_S_strat=,0.866180, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.711538, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.930077, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,-0.818274, actvprof=,0.793688, id=,B08, PRDE,actvstrat=,0.941763, actvprof=,6.614810, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.955579, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.414679, id=,S03, PRDE,actvstrat=,-0.480584, actvprof=,0.013612, id=,S06, PRDE,actvstrat=,-0.724112, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.065245, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.614810, best_B_strat=,0.941763, best_S_id=,S00, best_S_prof=,5.955579, best_S_strat=,1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-0.711538, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.930077, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.004028, id=,B06, PRDE,actvstrat=,-0.818274, actvprof=,0.684894, id=,B08, PRDE,actvstrat=,0.941763, actvprof=,6.602682, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.964873, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.474704, id=,S03, PRDE,actvstrat=,-0.480584, actvprof=,0.016390, id=,S06, PRDE,actvstrat=,-0.724112, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.065245, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.602682, best_B_strat=,0.941763, best_S_id=,S00, best_S_prof=,5.964873, best_S_strat=,1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.276186, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.204307, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.050374, actvprof=,0.007223, id=,B06, PRDE,actvstrat=,0.673548, actvprof=,2.746062, id=,B08, PRDE,actvstrat=,-0.493842, actvprof=,3.955885, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.127733, id=,S02, PRDE,actvstrat=,0.523629, actvprof=,1.151485, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.322332, id=,S06, PRDE,actvstrat=,0.395646, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.357495, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.955885, best_B_strat=,-0.493842, best_S_id=,S00, best_S_prof=,6.127733, best_S_strat=,1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,-0.276186, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.204307, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-0.050374, actvprof=,0.003611, id=,B06, PRDE,actvstrat=,0.673548, actvprof=,2.711382, id=,B08, PRDE,actvstrat=,-0.493842, actvprof=,3.808518, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.163494, id=,S02, PRDE,actvstrat=,0.523629, actvprof=,1.172696, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.365205, id=,S06, PRDE,actvstrat=,0.395646, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,-0.357495, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.808518, best_B_strat=,-0.493842, best_S_id=,S00, best_S_prof=,6.163494, best_S_strat=,1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.613906, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.006945, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.270318, id=,B08, PRDE,actvstrat=,-0.423972, actvprof=,4.206242, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.100496, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.918617, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.041768, id=,S06, PRDE,actvstrat=,-0.467160, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.233359, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.206242, best_B_strat=,-0.423972, best_S_id=,S00, best_S_prof=,5.100496, best_S_strat=,-1.000000, 
t=,100800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.613906, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.006250, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.327245, id=,B08, PRDE,actvstrat=,-0.423972, actvprof=,4.149924, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.109971, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.836943, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.075608, id=,S06, PRDE,actvstrat=,-0.467160, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.233359, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.149924, best_B_strat=,-0.423972, best_S_id=,S00, best_S_prof=,5.109971, best_S_strat=,-1.000000, 
t=,104400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.354597, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.233941, actvprof=,1.387357, id=,B08, PRDE,actvstrat=,-0.850418, actvprof=,2.678038, id=,S00, PRDE,actvstrat=,0.445634, actvprof=,3.181143, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.197991, id=,S03, PRDE,actvstrat=,-0.280612, actvprof=,0.017502, id=,S06, PRDE,actvstrat=,-0.329909, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.221168, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.678038, best_B_strat=,-0.850418, best_S_id=,S00, best_S_prof=,3.181143, best_S_strat=,0.445634, 
t=,108000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.354597, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002083, id=,B06, PRDE,actvstrat=,-0.233941, actvprof=,1.332148, id=,B08, PRDE,actvstrat=,-0.850418, actvprof=,2.646518, id=,S00, PRDE,actvstrat=,0.445634, actvprof=,3.289604, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.312057, id=,S03, PRDE,actvstrat=,-0.280612, actvprof=,0.017223, id=,S06, PRDE,actvstrat=,-0.329909, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.221168, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.646518, best_B_strat=,-0.850418, best_S_id=,S00, best_S_prof=,3.289604, best_S_strat=,0.445634, 
